ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0GraphicEffect_Impl@Effects@@QEAA@AEBV01@@Z,public: __cdecl Effects::GraphicEffect_Impl::GraphicEffect_Impl(class Effects::GraphicEffect_Impl const &),method,Effects,GraphicEffect_Impl,GraphicEffect_Impl,class Effects::GraphicEffect_Impl const &,False,False,False,False,False,False,True
2,1,0x1,??0GraphicEffect_Impl@Effects@@QEAA@XZ,public: __cdecl Effects::GraphicEffect_Impl::GraphicEffect_Impl(void),method,Effects,GraphicEffect_Impl,GraphicEffect_Impl,void,False,False,False,False,False,False,True
3,2,0x2,??0ODCSEnvironment2@Effects@@QEAA@$$QEAU01@@Z,public: __cdecl Effects::ODCSEnvironment2::ODCSEnvironment2(struct Effects::ODCSEnvironment2 &&),method,Effects,ODCSEnvironment2,ODCSEnvironment2,struct Effects::ODCSEnvironment2 &&,False,False,False,False,False,False,True
4,3,0x3,??0ODCSEnvironment2@Effects@@QEAA@AEBU01@@Z,public: __cdecl Effects::ODCSEnvironment2::ODCSEnvironment2(struct Effects::ODCSEnvironment2 const &),method,Effects,ODCSEnvironment2,ODCSEnvironment2,struct Effects::ODCSEnvironment2 const &,False,False,False,False,False,False,True
5,4,0x4,??0ODCSEnvironment2@Effects@@QEAA@XZ,public: __cdecl Effects::ODCSEnvironment2::ODCSEnvironment2(void),method,Effects,ODCSEnvironment2,ODCSEnvironment2,void,False,False,False,False,False,False,True
6,5,0x5,??0PipeSmokeProviderProxy@Effects@@QEAA@PEAVDCSSceneProxy@@AEBV?$function@$$A6AMAEBUCollectionInfo@render@@@Z@std@@@Z,"public: __cdecl Effects::PipeSmokeProviderProxy::PipeSmokeProviderProxy(class DCSSceneProxy *, class std::function<float __cdecl(struct render::CollectionInfo const &)> const &)",method,Effects,PipeSmokeProviderProxy,PipeSmokeProviderProxy,"class DCSSceneProxy *, class std::function<float __cdecl(struct render::CollectionInfo const &)> const &",False,False,False,False,False,False,True
7,6,0x6,??1GraphicEffect_Impl@Effects@@UEAA@XZ,public: virtual __cdecl Effects::GraphicEffect_Impl::~GraphicEffect_Impl(void),method,Effects,GraphicEffect_Impl,~GraphicEffect_Impl,void,False,False,True,False,False,False,True
8,7,0x7,??1ODCSEnvironment2@Effects@@UEAA@XZ,public: virtual __cdecl Effects::ODCSEnvironment2::~ODCSEnvironment2(void),method,Effects,ODCSEnvironment2,~ODCSEnvironment2,void,False,False,True,False,False,False,True
9,8,0x8,??4GraphicEffect_Impl@Effects@@QEAAAEAV01@AEBV01@@Z,public: class Effects::GraphicEffect_Impl & __cdecl Effects::GraphicEffect_Impl::operator=(class Effects::GraphicEffect_Impl const &),symbol,,,,,False,False,False,False,False,False,True
10,9,0x9,??4ODCSEnvironment2@Effects@@QEAAAEAU01@$$QEAU01@@Z,public: struct Effects::ODCSEnvironment2 & __cdecl Effects::ODCSEnvironment2::operator=(struct Effects::ODCSEnvironment2 &&),symbol,,,,,False,False,False,False,False,False,True
