ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0F15FM@F15@ExternalFM@@AEAA@XZ,private: __cdecl ExternalFM::F15::F15FM::F15FM(void),method,ExternalFM::F15,F15FM,F15FM,void,False,False,False,False,False,False,True
2,1,0x1,??1F15FM@F15@ExternalFM@@AEAA@XZ,private: __cdecl ExternalFM::F15::F15FM::~F15FM(void),method,ExternalFM::F15,F15FM,~F15FM,void,False,False,False,False,False,False,True
3,2,0x2,??_7F15FM@F15@ExternalFM@@6B@,const ExternalFM::F15::F15FM::`vftable',vftable,,,,,False,False,False,True,False,False,True
4,3,0x3,?GetPitchRatio@F15_EFM_EXPORT@@YANXZ,double __cdecl F15_EFM_EXPORT::GetPitchRatio(void),method,,F15_EFM_EXPORT,GetPitchRatio,void,False,False,False,False,False,False,True
5,4,0x4,?GetRollRatio@F15_EFM_EXPORT@@YANXZ,double __cdecl F15_EFM_EXPORT::GetRollRatio(void),method,,F15_EFM_EXPORT,GetRollRatio,void,False,False,False,False,False,False,True
6,5,0x5,?GetTakeoffTrim@F15_EFM_EXPORT@@YA_NXZ,bool __cdecl F15_EFM_EXPORT::GetTakeoffTrim(void),method,,F15_EFM_EXPORT,GetTakeoffTrim,void,False,False,False,False,False,False,True
7,6,0x6,?OverrideControlDeflections@F15_EFM_EXPORT@@YAX_N@Z,void __cdecl F15_EFM_EXPORT::OverrideControlDeflections(bool),method,,F15_EFM_EXPORT,OverrideControlDeflections,bool,False,False,False,False,False,False,True
8,7,0x7,?SetAileronPos@F15_EFM_EXPORT@@YAXNN@Z,"void __cdecl F15_EFM_EXPORT::SetAileronPos(double, double)",method,,F15_EFM_EXPORT,SetAileronPos,"double, double",False,False,False,False,False,False,True
9,8,0x8,?SetAirbrakePos@F15_EFM_EXPORT@@YAXN@Z,void __cdecl F15_EFM_EXPORT::SetAirbrakePos(double),method,,F15_EFM_EXPORT,SetAirbrakePos,double,False,False,False,False,False,False,True
10,9,0x9,?SetCASEnabled@F15_EFM_EXPORT@@YAX_N00@Z,"void __cdecl F15_EFM_EXPORT::SetCASEnabled(bool, bool, bool)",method,,F15_EFM_EXPORT,SetCASEnabled,"bool, bool, bool",False,False,False,False,False,False,True
11,10,0xA,?SetFlapPos@F15_EFM_EXPORT@@YAXNN@Z,"void __cdecl F15_EFM_EXPORT::SetFlapPos(double, double)",method,,F15_EFM_EXPORT,SetFlapPos,"double, double",False,False,False,False,False,False,True
12,11,0xB,?SetGearPos@F15_EFM_EXPORT@@YAXNNN@Z,"void __cdecl F15_EFM_EXPORT::SetGearPos(double, double, double)",method,,F15_EFM_EXPORT,SetGearPos,"double, double, double",False,False,False,False,False,False,True
13,12,0xC,?SetLeftAilPowered@F15_EFM_EXPORT@@YAX_N@Z,void __cdecl F15_EFM_EXPORT::SetLeftAilPowered(bool),method,,F15_EFM_EXPORT,SetLeftAilPowered,bool,False,False,False,False,False,False,True
14,13,0xD,?SetLeftRudderPowered@F15_EFM_EXPORT@@YAX_N@Z,void __cdecl F15_EFM_EXPORT::SetLeftRudderPowered(bool),method,,F15_EFM_EXPORT,SetLeftRudderPowered,bool,False,False,False,False,False,False,True
15,14,0xE,?SetLeftStabPowered@F15_EFM_EXPORT@@YAX_N@Z,void __cdecl F15_EFM_EXPORT::SetLeftStabPowered(bool),method,,F15_EFM_EXPORT,SetLeftStabPowered,bool,False,False,False,False,False,False,True
16,15,0xF,?SetPitchServo@F15_EFM_EXPORT@@YAXN@Z,void __cdecl F15_EFM_EXPORT::SetPitchServo(double),method,,F15_EFM_EXPORT,SetPitchServo,double,False,False,False,False,False,False,True
17,16,0x10,?SetRightAilPowered@F15_EFM_EXPORT@@YAX_N@Z,void __cdecl F15_EFM_EXPORT::SetRightAilPowered(bool),method,,F15_EFM_EXPORT,SetRightAilPowered,bool,False,False,False,False,False,False,True
