ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0F18FM@F18@ExternalFM@@AEAA@XZ,private: __cdecl ExternalFM::F18::F18FM::F18FM(void),method,ExternalFM::F18,F18FM,F18FM,void,False,False,False,False,False,False,True
2,1,0x1,??1F18FM@F18@ExternalFM@@AEAA@XZ,private: __cdecl ExternalFM::F18::F18FM::~F18FM(void),method,ExternalFM::F18,F18FM,~F18FM,void,False,False,False,False,False,False,True
3,2,0x2,??_7F18FM@F18@ExternalFM@@6B@,const ExternalFM::F18::F18FM::`vftable',vftable,,,,,False,False,False,True,False,False,True
4,3,0x3,?arcadeSimulate@F18FM@F18@ExternalFM@@EEAAXN@Z,private: virtual void __cdecl ExternalFM::F18::F18FM::arcadeSimulate(double),method,ExternalFM::F18,F18FM,arcadeSimulate,double,False,False,True,False,False,False,True
5,4,0x4,?calcCoG_X@F18FM@F18@ExternalFM@@AEAANN@Z,private: double __cdecl ExternalFM::F18::F18FM::calcCoG_X(double),method,ExternalFM::F18,F18FM,calcCoG_X,double,False,False,False,False,False,False,True
6,5,0x5,?calcCoG_X_Percent@F18FM@F18@ExternalFM@@AEAANN@Z,private: double __cdecl ExternalFM::F18::F18FM::calcCoG_X_Percent(double),method,ExternalFM::F18,F18FM,calcCoG_X_Percent,double,False,False,False,False,False,False,True
7,6,0x6,?changeMass@F18FM@F18@ExternalFM@@UEAA_NAEAN000000@Z,"public: virtual bool __cdecl ExternalFM::F18::F18FM::changeMass(double &, double &, double &, double &, double &, double &, double &)",method,ExternalFM::F18,F18FM,changeMass,"double &, double &, double &, double &, double &, double &, double &",False,False,True,False,False,False,True
8,7,0x7,?changePylonsMass@F18FM@F18@ExternalFM@@MEAA_NAEAUDeltaMass@3@@Z,protected: virtual bool __cdecl ExternalFM::F18::F18FM::changePylonsMass(struct ExternalFM::DeltaMass &),method,ExternalFM::F18,F18FM,changePylonsMass,struct ExternalFM::DeltaMass &,False,False,True,False,False,False,True
9,8,0x8,?computeDeformations@F18FM@F18@ExternalFM@@IEAAXN@Z,protected: void __cdecl ExternalFM::F18::F18FM::computeDeformations(double),method,ExternalFM::F18,F18FM,computeDeformations,double,False,False,False,False,False,False,True
10,9,0x9,?configure@F18FM@F18@ExternalFM@@UEAAXPEBD0@Z,"public: virtual void __cdecl ExternalFM::F18::F18FM::configure(char const *, char const *)",method,ExternalFM::F18,F18FM,configure,"char const *, char const *",False,False,True,False,False,False,True
