ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0ACLS@@QEAA@AEBU0@@Z,public: __cdecl ACLS::ACLS(struct ACLS const &),method,,ACLS,ACLS,struct ACLS const &,False,False,False,False,False,False,True
2,1,0x1,??0ACLS@@QEAA@XZ,public: __cdecl ACLS::ACLS(void),method,,ACLS,ACLS,void,False,False,False,False,False,False,True
3,2,0x2,??0ATCAirdromeParams@ResourceProvider@woATC@@QEAA@AEBU012@@Z,public: __cdecl woATC::ResourceProvider::ATCAirdromeParams::ATCAirdromeParams(struct woATC::ResourceProvider::ATCAirdromeParams const &),method,woATC::ResourceProvider,ATCAirdromeParams,ATCAirdromeParams,struct woATC::ResourceProvider::ATCAirdromeParams const &,False,False,False,False,False,False,True
4,3,0x3,??0ATCAirdromeParams@ResourceProvider@woATC@@QEAA@XZ,public: __cdecl woATC::ResourceProvider::ATCAirdromeParams::ATCAirdromeParams(void),method,woATC::ResourceProvider,ATCAirdromeParams,ATCAirdromeParams,void,False,False,False,False,False,False,True
5,4,0x4,??0ATCCommonParams@ResourceProvider@woATC@@QEAA@AEBU012@@Z,public: __cdecl woATC::ResourceProvider::ATCCommonParams::ATCCommonParams(struct woATC::ResourceProvider::ATCCommonParams const &),method,woATC::ResourceProvider,ATCCommonParams,ATCCommonParams,struct woATC::ResourceProvider::ATCCommonParams const &,False,False,False,False,False,False,True
6,5,0x5,??0ATCCommonParams@ResourceProvider@woATC@@QEAA@XZ,public: __cdecl woATC::ResourceProvider::ATCCommonParams::ATCCommonParams(void),method,woATC::ResourceProvider,ATCCommonParams,ATCCommonParams,void,False,False,False,False,False,False,True
7,6,0x6,??0ClientData@@QEAA@$$QEAU0@@Z,public: __cdecl ClientData::ClientData(struct ClientData &&),method,,ClientData,ClientData,struct ClientData &&,False,False,False,False,False,False,True
8,7,0x7,??0ClientData@@QEAA@AEBU0@@Z,public: __cdecl ClientData::ClientData(struct ClientData const &),method,,ClientData,ClientData,struct ClientData const &,False,False,False,False,False,False,True
9,8,0x8,??0ClientData@@QEAA@I@Z,public: __cdecl ClientData::ClientData(unsigned int),method,,ClientData,ClientData,unsigned int,False,False,False,False,False,False,True
10,9,0x9,??0ClientData@@QEAA@XZ,public: __cdecl ClientData::ClientData(void),method,,ClientData,ClientData,void,False,False,False,False,False,False,True
11,10,0xA,??0LSO@@QEAA@AEBU0@@Z,public: __cdecl LSO::LSO(struct LSO const &),method,,LSO,LSO,struct LSO const &,False,False,False,False,False,False,True
12,11,0xB,??0LSO@@QEAA@XZ,public: __cdecl LSO::LSO(void),method,,LSO,LSO,void,False,False,False,False,False,False,True
13,12,0xC,??0MarshalClientData@@QEAA@$$QEAU0@@Z,public: __cdecl MarshalClientData::MarshalClientData(struct MarshalClientData &&),method,,MarshalClientData,MarshalClientData,struct MarshalClientData &&,False,False,False,False,False,False,True
14,13,0xD,??0MarshalClientData@@QEAA@AEBU0@@Z,public: __cdecl MarshalClientData::MarshalClientData(struct MarshalClientData const &),method,,MarshalClientData,MarshalClientData,struct MarshalClientData const &,False,False,False,False,False,False,True
15,14,0xE,??0MarshalClientData@@QEAA@I@Z,public: __cdecl MarshalClientData::MarshalClientData(unsigned int),method,,MarshalClientData,MarshalClientData,unsigned int,False,False,False,False,False,False,True
16,15,0xF,??0MarshalClientData@@QEAA@XZ,public: __cdecl MarshalClientData::MarshalClientData(void),method,,MarshalClientData,MarshalClientData,void,False,False,False,False,False,False,True
17,16,0x10,??0Params@ResourceProvider@wGroundCrewOwner@@QEAA@AEBU012@@Z,public: __cdecl wGroundCrewOwner::ResourceProvider::Params::Params(struct wGroundCrewOwner::ResourceProvider::Params const &),method,wGroundCrewOwner::ResourceProvider,Params,Params,struct wGroundCrewOwner::ResourceProvider::Params const &,False,False,False,False,False,False,True
18,17,0x11,??0Params@ResourceProvider@wGroundCrewOwner@@QEAA@XZ,public: __cdecl wGroundCrewOwner::ResourceProvider::Params::Params(void),method,wGroundCrewOwner::ResourceProvider,Params,Params,void,False,False,False,False,False,False,True
