ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0AmbientCube@environment@@QEAA@XZ,public: __cdecl environment::AmbientCube::AmbientCube(void),method,environment,AmbientCube,AmbientCube,void,False,False,False,False,False,False,True
2,1,0x1,??0Atmosphere@enlight@@QEAA@XZ,public: __cdecl enlight::Atmosphere::Atmosphere(void),method,enlight,Atmosphere,Atmosphere,void,False,False,False,False,False,False,True
3,2,0x2,??0AtmosphereModule@render@@QEAA@$$QEAV01@@Z,public: __cdecl render::AtmosphereModule::AtmosphereModule(class render::AtmosphereModule &&),method,render,AtmosphereModule,AtmosphereModule,class render::AtmosphereModule &&,False,False,False,False,False,False,True
4,3,0x3,??0AtmosphereModule@render@@QEAA@XZ,public: __cdecl render::AtmosphereModule::AtmosphereModule(void),method,render,AtmosphereModule,AtmosphereModule,void,False,False,False,False,False,False,True
5,4,0x4,??0AtmosphereRendererForEnvironment@enlight@@AEAA@AEAVAtmosphere@1@@Z,private: __cdecl enlight::AtmosphereRendererForEnvironment::AtmosphereRendererForEnvironment(class enlight::Atmosphere &),method,enlight,AtmosphereRendererForEnvironment,AtmosphereRendererForEnvironment,class enlight::Atmosphere &,False,False,False,False,False,False,True
6,5,0x5,??0AtmosphereWrapper@enlight@@QEAA@$$QEAV01@@Z,public: __cdecl enlight::AtmosphereWrapper::AtmosphereWrapper(class enlight::AtmosphereWrapper &&),method,enlight,AtmosphereWrapper,AtmosphereWrapper,class enlight::AtmosphereWrapper &&,False,False,False,False,False,False,True
7,6,0x6,??0AtmosphereWrapper@enlight@@QEAA@XZ,public: __cdecl enlight::AtmosphereWrapper::AtmosphereWrapper(void),method,enlight,AtmosphereWrapper,AtmosphereWrapper,void,False,False,False,False,False,False,True
8,7,0x7,??0CloudsFog@@QEAA@MM@Z,"public: __cdecl CloudsFog::CloudsFog(float, float)",method,,CloudsFog,CloudsFog,"float, float",False,False,False,False,False,False,True
9,8,0x8,??0CloudsFog@@QEAA@MMMMM@Z,"public: __cdecl CloudsFog::CloudsFog(float, float, float, float, float)",method,,CloudsFog,CloudsFog,"float, float, float, float, float",False,False,False,False,False,False,True
10,9,0x9,??0ContextBase@GraphicsCore@@QEAA@XZ,public: __cdecl GraphicsCore::ContextBase::ContextBase(void),method,GraphicsCore,ContextBase,ContextBase,void,False,False,False,False,False,False,True
