ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??$PlotBars@C@ImPlot@@YAXPEBDPEBC1HNHH@Z,"void __cdecl ImPlot::PlotBars<signed char>(char const *, signed char const *, signed char const *, int, double, int, int)",function,,,char>,"char const *, signed char const *, signed char const *, int, double, int, int",False,False,False,False,False,False,True
2,1,0x1,??$PlotBars@C@ImPlot@@YAXPEBDPEBCHNNHH@Z,"void __cdecl ImPlot::PlotBars<signed char>(char const *, signed char const *, int, double, double, int, int)",function,,,char>,"char const *, signed char const *, int, double, double, int, int",False,False,False,False,False,False,True
3,2,0x2,??$PlotBars@E@ImPlot@@YAXPEBDPEBE1HNHH@Z,"void __cdecl ImPlot::PlotBars<unsigned char>(char const *, unsigned char const *, unsigned char const *, int, double, int, int)",function,,,char>,"char const *, unsigned char const *, unsigned char const *, int, double, int, int",False,False,False,False,False,False,True
4,3,0x3,??$PlotBars@E@ImPlot@@YAXPEBDPEBEHNNHH@Z,"void __cdecl ImPlot::PlotBars<unsigned char>(char const *, unsigned char const *, int, double, double, int, int)",function,,,char>,"char const *, unsigned char const *, int, double, double, int, int",False,False,False,False,False,False,True
5,4,0x4,??$PlotBars@F@ImPlot@@YAXPEBDPEBF1HNHH@Z,"void __cdecl ImPlot::PlotBars<short>(char const *, short const *, short const *, int, double, int, int)",method,,ImPlot,PlotBars<short>,"char const *, short const *, short const *, int, double, int, int",False,False,False,False,False,False,True
6,5,0x5,??$PlotBars@F@ImPlot@@YAXPEBDPEBFHNNHH@Z,"void __cdecl ImPlot::PlotBars<short>(char const *, short const *, int, double, double, int, int)",method,,ImPlot,PlotBars<short>,"char const *, short const *, int, double, double, int, int",False,False,False,False,False,False,True
7,6,0x6,??$PlotBars@G@ImPlot@@YAXPEBDPEBG1HNHH@Z,"void __cdecl ImPlot::PlotBars<unsigned short>(char const *, unsigned short const *, unsigned short const *, int, double, int, int)",function,,,short>,"char const *, unsigned short const *, unsigned short const *, int, double, int, int",False,False,False,False,False,False,True
8,7,0x7,??$PlotBars@G@ImPlot@@YAXPEBDPEBGHNNHH@Z,"void __cdecl ImPlot::PlotBars<unsigned short>(char const *, unsigned short const *, int, double, double, int, int)",function,,,short>,"char const *, unsigned short const *, int, double, double, int, int",False,False,False,False,False,False,True
9,8,0x8,??$PlotBars@H@ImPlot@@YAXPEBDPEBH1HNHH@Z,"void __cdecl ImPlot::PlotBars<int>(char const *, int const *, int const *, int, double, int, int)",method,,ImPlot,PlotBars<int>,"char const *, int const *, int const *, int, double, int, int",False,False,False,False,False,False,True
10,9,0x9,??$PlotBars@H@ImPlot@@YAXPEBDPEBHHNNHH@Z,"void __cdecl ImPlot::PlotBars<int>(char const *, int const *, int, double, double, int, int)",method,,ImPlot,PlotBars<int>,"char const *, int const *, int, double, double, int, int",False,False,False,False,False,False,True
11,10,0xA,??$PlotBars@I@ImPlot@@YAXPEBDPEBI1HNHH@Z,"void __cdecl ImPlot::PlotBars<unsigned int>(char const *, unsigned int const *, unsigned int const *, int, double, int, int)",function,,,int>,"char const *, unsigned int const *, unsigned int const *, int, double, int, int",False,False,False,False,False,False,True
12,11,0xB,??$PlotBars@I@ImPlot@@YAXPEBDPEBIHNNHH@Z,"void __cdecl ImPlot::PlotBars<unsigned int>(char const *, unsigned int const *, int, double, double, int, int)",function,,,int>,"char const *, unsigned int const *, int, double, double, int, int",False,False,False,False,False,False,True
