ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,?forceShutdown@jconf@@YAXXZ,void __cdecl jconf::forceShutdown(void),method,,jconf,forceShutdown,void,False,False,False,False,False,False,True
2,1,0x1,?getDumps@jconf@@YA?AV?$basic_string@D@ed@@PEAPEBD@Z,class ed::basic_string<char> __cdecl jconf::getDumps(char const **),method,,jconf,getDumps,char const **,False,False,False,False,False,False,True
3,2,0x2,?getIntParameter@jconf@@YAHPEBDH@Z,"int __cdecl jconf::getIntParameter(char const *, int)",method,,jconf,getIntParameter,"char const *, int",False,False,False,False,False,False,True
4,3,0x3,?registerBackendStatCallback@jconf@@YAXP6A?AV?$basic_string@D@ed@@XZ@Z,void __cdecl jconf::registerBackendStatCallback(class ed::basic_string<char> (__cdecl *)(void)),method,,jconf,registerBackendStatCallback,class ed::basic_string<char> (__cdecl *)(void),False,False,False,False,False,False,True
5,4,0x4,?registerBool@jconf@@YAXPEBDV?$tuple@V?$function@$$A6A_NXZ@std@@V?$function@$$A6AX_N@Z@2@@std@@W4RunInThread@1@@Z,"void __cdecl jconf::registerBool(char const *, class std::tuple<class std::function<bool __cdecl(void)>, class std::function<void __cdecl(bool)>>, enum jconf::RunInThread)",method,,jconf,registerBool,"char const *, class std::tuple<class std::function<bool __cdecl(void)>, class std::function<void __cdecl(bool)>>, enum jconf::RunInThread",False,False,False,False,False,False,True
6,5,0x5,?registerColor@jconf@@YAXPEBDAEAVVec3f@osg@@W4RunInThread@1@@Z,"void __cdecl jconf::registerColor(char const *, class osg::Vec3f &, enum jconf::RunInThread)",method,,jconf,registerColor,"char const *, class osg::Vec3f &, enum jconf::RunInThread",False,False,False,False,False,False,True
7,6,0x6,?registerColor@jconf@@YAXPEBDV?$tuple@V?$function@$$A6A?AVVec3f@osg@@XZ@std@@V?$function@$$A6AXAEBVVec3f@osg@@@Z@2@@std@@W4RunInThread@1@@Z,"void __cdecl jconf::registerColor(char const *, class std::tuple<class std::function<class osg::Vec3f __cdecl(void)>, class std::function<void __cdecl(class osg::Vec3f const &)>>, enum jconf::RunInThread)",method,,jconf,registerColor,"char const *, class std::tuple<class std::function<class osg::Vec3f __cdecl(void)>, class std::function<void __cdecl(class osg::Vec3f const &)>>, enum jconf::RunInThread",False,False,False,False,False,False,True
8,7,0x7,?registerCommon@jconf@@YAXPEBDAEBV?$vector@V?$basic_string@D@ed@@V?$allocator@V?$basic_string@D@ed@@@2@@ed@@@Z,"void __cdecl jconf::registerCommon(char const *, class ed::vector<class ed::basic_string<char>, class ed::allocator<class ed::basic_string<char>>> const &)",method,,jconf,registerCommon,"char const *, class ed::vector<class ed::basic_string<char>, class ed::allocator<class ed::basic_string<char>>> const &",False,False,False,False,False,False,True
9,8,0x8,?registerDouble@jconf@@YAXPEBDNNV?$tuple@V?$function@$$A6ANXZ@std@@V?$function@$$A6AXN@Z@2@@std@@W4RunInThread@1@@Z,"void __cdecl jconf::registerDouble(char const *, double, double, class std::tuple<class std::function<double __cdecl(void)>, class std::function<void __cdecl(double)>>, enum jconf::RunInThread)",method,,jconf,registerDouble,"char const *, double, double, class std::tuple<class std::function<double __cdecl(void)>, class std::function<void __cdecl(double)>>, enum jconf::RunInThread",False,False,False,False,False,False,True
10,9,0x9,?registerDropDownList@jconf@@YAXPEBDAEBV?$vector@V?$basic_string@D@ed@@V?$allocator@V?$basic_string@D@ed@@@2@@ed@@V?$function@$$A6AXI@Z@std@@IW4RunInThread@1@@Z,"void __cdecl jconf::registerDropDownList(char const *, class ed::vector<class ed::basic_string<char>, class ed::allocator<class ed::basic_string<char>>> const &, class std::function<void __cdecl(unsigned int)>, unsigned int, enum jconf::RunInThread)",method,,jconf,registerDropDownList,"char const *, class ed::vector<class ed::basic_string<char>, class ed::allocator<class ed::basic_string<char>>> const &, class std::function<void __cdecl(unsigned int)>, unsigned int, enum jconf::RunInThread",False,False,False,False,False,False,True
