ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0AK14P@propulsion@dcswwii@EagleFM@@QEAA@AEBV0123@@Z,public: __cdecl EagleFM::dcswwii::propulsion::AK14P::AK14P(class EagleFM::dcswwii::propulsion::AK14P const &),method,EagleFM::dcswwii::propulsion,AK14P,AK14P,class EagleFM::dcswwii::propulsion::AK14P const &,False,False,False,False,False,False,True
2,1,0x1,??0AK14P@propulsion@dcswwii@EagleFM@@QEAA@PEAVPistonEngine@123@PEAVFuelPipeline@3@PEAVJetNozzle@3@AEAN3@Z,"public: __cdecl EagleFM::dcswwii::propulsion::AK14P::AK14P(class EagleFM::dcswwii::propulsion::PistonEngine *, class EagleFM::FuelPipeline *, class EagleFM::JetNozzle *, double &, double &)",method,EagleFM::dcswwii::propulsion,AK14P,AK14P,"class EagleFM::dcswwii::propulsion::PistonEngine *, class EagleFM::FuelPipeline *, class EagleFM::JetNozzle *, double &, double &",False,False,False,False,False,False,True
3,2,0x2,??0AS1@avGMK1@dcswwii@cockpit@@QEAA@$$QEAV0123@@Z,public: __cdecl cockpit::dcswwii::avGMK1::AS1::AS1(class cockpit::dcswwii::avGMK1::AS1 &&),method,cockpit::dcswwii::avGMK1,AS1,AS1,class cockpit::dcswwii::avGMK1::AS1 &&,False,False,False,False,False,False,True
4,3,0x3,??0AS1@avGMK1@dcswwii@cockpit@@QEAA@AEBV0123@@Z,public: __cdecl cockpit::dcswwii::avGMK1::AS1::AS1(class cockpit::dcswwii::avGMK1::AS1 const &),method,cockpit::dcswwii::avGMK1,AS1,AS1,class cockpit::dcswwii::avGMK1::AS1 const &,False,False,False,False,False,False,True
5,4,0x4,??0AS1@avGMK1@dcswwii@cockpit@@QEAA@XZ,public: __cdecl cockpit::dcswwii::avGMK1::AS1::AS1(void),method,cockpit::dcswwii::avGMK1,AS1,AS1,void,False,False,False,False,False,False,True
6,5,0x5,??0AdvancedTrimTab@trims@dcswwii@EagleFM@@QEAA@$$QEAV0123@@Z,public: __cdecl EagleFM::dcswwii::trims::AdvancedTrimTab::AdvancedTrimTab(class EagleFM::dcswwii::trims::AdvancedTrimTab &&),method,EagleFM::dcswwii::trims,AdvancedTrimTab,AdvancedTrimTab,class EagleFM::dcswwii::trims::AdvancedTrimTab &&,False,False,False,False,False,False,True
7,6,0x6,??0AdvancedTrimTab@trims@dcswwii@EagleFM@@QEAA@AEBV0123@@Z,public: __cdecl EagleFM::dcswwii::trims::AdvancedTrimTab::AdvancedTrimTab(class EagleFM::dcswwii::trims::AdvancedTrimTab const &),method,EagleFM::dcswwii::trims,AdvancedTrimTab,AdvancedTrimTab,class EagleFM::dcswwii::trims::AdvancedTrimTab const &,False,False,False,False,False,False,True
8,7,0x7,??0AdvancedTrimTab@trims@dcswwii@EagleFM@@QEAA@PEAVFlightModel@23@NN@Z,"public: __cdecl EagleFM::dcswwii::trims::AdvancedTrimTab::AdvancedTrimTab(class EagleFM::dcswwii::FlightModel *, double, double)",method,EagleFM::dcswwii::trims,AdvancedTrimTab,AdvancedTrimTab,"class EagleFM::dcswwii::FlightModel *, double, double",False,False,False,False,False,False,True
9,8,0x8,??0BendixStrombergPressureCarburettor666@propulsion@dcswwii@EagleFM@@QEAA@AEBV0123@@Z,public: __cdecl EagleFM::dcswwii::propulsion::BendixStrombergPressureCarburettor666::BendixStrombergPressureCarburettor666(class EagleFM::dcswwii::propulsion::BendixStrombergPressureCarburettor666 const &),method,EagleFM::dcswwii::propulsion,BendixStrombergPressureCarburettor666,BendixStrombergPressureCarburettor666,class EagleFM::dcswwii::propulsion::BendixStrombergPressureCarburettor666 const &,False,False,False,False,False,False,True
10,9,0x9,??0BendixStrombergPressureCarburettor666@propulsion@dcswwii@EagleFM@@QEAA@PEAVPistonEngine@123@PEAVFuelPipeline@3@AEAN222222222@Z,"public: __cdecl EagleFM::dcswwii::propulsion::BendixStrombergPressureCarburettor666::BendixStrombergPressureCarburettor666(class EagleFM::dcswwii::propulsion::PistonEngine *, class EagleFM::FuelPipeline *, double &, double &, double &, double &, double &, double &, double &, double &, double &, double &)",method,EagleFM::dcswwii::propulsion,BendixStrombergPressureCarburettor666,BendixStrombergPressureCarburettor666,"class EagleFM::dcswwii::propulsion::PistonEngine *, class EagleFM::FuelPipeline *, double &, double &, double &, double &, double &, double &, double &, double &, double &, double &",False,False,False,False,False,False,True
11,10,0xA,??0BendixStrombergPressureCarburettor@propulsion@dcswwii@EagleFM@@QEAA@AEBV0123@@Z,public: __cdecl EagleFM::dcswwii::propulsion::BendixStrombergPressureCarburettor::BendixStrombergPressureCarburettor(class EagleFM::dcswwii::propulsion::BendixStrombergPressureCarburettor const &),method,EagleFM::dcswwii::propulsion,BendixStrombergPressureCarburettor,BendixStrombergPressureCarburettor,class EagleFM::dcswwii::propulsion::BendixStrombergPressureCarburettor const &,False,False,False,False,False,False,True
12,11,0xB,??0BendixStrombergPressureCarburettor@propulsion@dcswwii@EagleFM@@QEAA@PEAVPistonEngine@123@PEAVFuelPipeline@3@AEAN22222222@Z,"public: __cdecl EagleFM::dcswwii::propulsion::BendixStrombergPressureCarburettor::BendixStrombergPressureCarburettor(class EagleFM::dcswwii::propulsion::PistonEngine *, class EagleFM::FuelPipeline *, double &, double &, double &, double &, double &, double &, double &, double &, double &)",method,EagleFM::dcswwii::propulsion,BendixStrombergPressureCarburettor,BendixStrombergPressureCarburettor,"class EagleFM::dcswwii::propulsion::PistonEngine *, class EagleFM::FuelPipeline *, double &, double &, double &, double &, double &, double &, double &, double &, double &",False,False,False,False,False,False,True
13,12,0xC,??0BoschInjectorApparatus@propulsion@dcswwii@EagleFM@@QEAA@AEBV0123@@Z,public: __cdecl EagleFM::dcswwii::propulsion::BoschInjectorApparatus::BoschInjectorApparatus(class EagleFM::dcswwii::propulsion::BoschInjectorApparatus const &),method,EagleFM::dcswwii::propulsion,BoschInjectorApparatus,BoschInjectorApparatus,class EagleFM::dcswwii::propulsion::BoschInjectorApparatus const &,False,False,False,False,False,False,True
14,13,0xD,??0BoschInjectorApparatus@propulsion@dcswwii@EagleFM@@QEAA@PEAVPistonEngine@123@PEAVFuelPipeline@3@@Z,"public: __cdecl EagleFM::dcswwii::propulsion::BoschInjectorApparatus::BoschInjectorApparatus(class EagleFM::dcswwii::propulsion::PistonEngine *, class EagleFM::FuelPipeline *)",method,EagleFM::dcswwii::propulsion,BoschInjectorApparatus,BoschInjectorApparatus,"class EagleFM::dcswwii::propulsion::PistonEngine *, class EagleFM::FuelPipeline *",False,False,False,False,False,False,True
15,14,0xE,??0Carburettor@propulsion@dcswwii@EagleFM@@QEAA@AEBV0123@@Z,public: __cdecl EagleFM::dcswwii::propulsion::Carburettor::Carburettor(class EagleFM::dcswwii::propulsion::Carburettor const &),method,EagleFM::dcswwii::propulsion,Carburettor,Carburettor,class EagleFM::dcswwii::propulsion::Carburettor const &,False,False,False,False,False,False,True
16,15,0xF,??0Carburettor@propulsion@dcswwii@EagleFM@@QEAA@PEAVPistonEngine@123@PEAVFuelPipeline@3@@Z,"public: __cdecl EagleFM::dcswwii::propulsion::Carburettor::Carburettor(class EagleFM::dcswwii::propulsion::PistonEngine *, class EagleFM::FuelPipeline *)",method,EagleFM::dcswwii::propulsion,Carburettor,Carburettor,"class EagleFM::dcswwii::propulsion::PistonEngine *, class EagleFM::FuelPipeline *",False,False,False,False,False,False,True
