ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0Car@LandVehicle@EagleFM@@QEAA@AEBV012@@Z,public: __cdecl EagleFM::LandVehicle::Car::Car(class EagleFM::LandVehicle::Car const &),method,EagleFM::LandVehicle,Car,Car,class EagleFM::LandVehicle::Car const &,False,False,False,False,False,False,True
2,1,0x1,??0Car@LandVehicle@EagleFM@@QEAA@N@Z,public: __cdecl EagleFM::LandVehicle::Car::Car(double),method,EagleFM::LandVehicle,Car,Car,double,False,False,False,False,False,False,True
3,2,0x2,??0LV_Object@LandVehicle@EagleFM@@QEAA@AEBV012@@Z,public: __cdecl EagleFM::LandVehicle::LV_Object::LV_Object(class EagleFM::LandVehicle::LV_Object const &),method,EagleFM::LandVehicle,LV_Object,LV_Object,class EagleFM::LandVehicle::LV_Object const &,False,False,False,False,False,False,True
4,3,0x3,??0LV_Object@LandVehicle@EagleFM@@QEAA@N@Z,public: __cdecl EagleFM::LandVehicle::LV_Object::LV_Object(double),method,EagleFM::LandVehicle,LV_Object,LV_Object,double,False,False,False,False,False,False,True
5,4,0x4,??0contact_segment@LandVehicle@EagleFM@@QEAA@XZ,public: __cdecl EagleFM::LandVehicle::contact_segment::contact_segment(void),method,EagleFM::LandVehicle,contact_segment,contact_segment,void,False,False,False,False,False,False,True
6,5,0x5,??1Car@LandVehicle@EagleFM@@UEAA@XZ,public: virtual __cdecl EagleFM::LandVehicle::Car::~Car(void),method,EagleFM::LandVehicle,Car,~Car,void,False,False,True,False,False,False,True
7,6,0x6,??1LV_Object@LandVehicle@EagleFM@@UEAA@XZ,public: virtual __cdecl EagleFM::LandVehicle::LV_Object::~LV_Object(void),method,EagleFM::LandVehicle,LV_Object,~LV_Object,void,False,False,True,False,False,False,True
8,7,0x7,??4Car@LandVehicle@EagleFM@@QEAAAEAV012@AEBV012@@Z,public: class EagleFM::LandVehicle::Car & __cdecl EagleFM::LandVehicle::Car::operator=(class EagleFM::LandVehicle::Car const &),symbol,,,,,False,False,False,False,False,False,True
9,8,0x8,??4CarInit@LandVehicle@EagleFM@@QEAAAEAU012@$$QEAU012@@Z,public: struct EagleFM::LandVehicle::CarInit & __cdecl EagleFM::LandVehicle::CarInit::operator=(struct EagleFM::LandVehicle::CarInit &&),symbol,,,,,False,False,False,False,False,False,True
10,9,0x9,??4CarInit@LandVehicle@EagleFM@@QEAAAEAU012@AEBU012@@Z,public: struct EagleFM::LandVehicle::CarInit & __cdecl EagleFM::LandVehicle::CarInit::operator=(struct EagleFM::LandVehicle::CarInit const &),symbol,,,,,False,False,False,False,False,False,True
11,10,0xA,??4LV_Object@LandVehicle@EagleFM@@QEAAAEAV012@AEBV012@@Z,public: class EagleFM::LandVehicle::LV_Object & __cdecl EagleFM::LandVehicle::LV_Object::operator=(class EagleFM::LandVehicle::LV_Object const &),symbol,,,,,False,False,False,False,False,False,True
12,11,0xB,??4contact_segment@LandVehicle@EagleFM@@QEAAAEAU012@$$QEAU012@@Z,public: struct EagleFM::LandVehicle::contact_segment & __cdecl EagleFM::LandVehicle::contact_segment::operator=(struct EagleFM::LandVehicle::contact_segment &&),symbol,,,,,False,False,False,False,False,False,True
13,12,0xC,??4contact_segment@LandVehicle@EagleFM@@QEAAAEAU012@AEBU012@@Z,public: struct EagleFM::LandVehicle::contact_segment & __cdecl EagleFM::LandVehicle::contact_segment::operator=(struct EagleFM::LandVehicle::contact_segment const &),symbol,,,,,False,False,False,False,False,False,True
14,13,0xD,??_7Car@LandVehicle@EagleFM@@6B@,const EagleFM::LandVehicle::Car::`vftable',vftable,,,,,False,False,False,True,False,False,True
15,14,0xE,??_7LV_Object@LandVehicle@EagleFM@@6B@,const EagleFM::LandVehicle::LV_Object::`vftable',vftable,,,,,False,False,False,True,False,False,True
16,15,0xF,??_FCar@LandVehicle@EagleFM@@QEAAXXZ,public: void __cdecl EagleFM::LandVehicle::Car::`default ctor closure'(void),function,,,closure',void,False,False,False,False,False,False,True
17,16,0x10,??_FLV_Object@LandVehicle@EagleFM@@QEAAXXZ,public: void __cdecl EagleFM::LandVehicle::LV_Object::`default ctor closure'(void),function,,,closure',void,False,False,False,False,False,False,True
18,17,0x11,?DrawDebugGeometry@Car@LandVehicle@EagleFM@@QEBAXXZ,public: void __cdecl EagleFM::LandVehicle::Car::DrawDebugGeometry(void) const,method,EagleFM::LandVehicle,Car,DrawDebugGeometry,void,True,False,False,False,False,False,True
19,18,0x12,?NextGear@Car@LandVehicle@EagleFM@@QEAA_NXZ,public: bool __cdecl EagleFM::LandVehicle::Car::NextGear(void),method,EagleFM::LandVehicle,Car,NextGear,void,False,False,False,False,False,False,True
20,19,0x13,?POS_BUFF_MAX@LV_Object@LandVehicle@EagleFM@@0IB,private: static unsigned int const EagleFM::LandVehicle::LV_Object::POS_BUFF_MAX,symbol,,,,,False,False,False,False,False,False,True
21,20,0x14,?PrevGear@Car@LandVehicle@EagleFM@@QEAA_NXZ,public: bool __cdecl EagleFM::LandVehicle::Car::PrevGear(void),method,EagleFM::LandVehicle,Car,PrevGear,void,False,False,False,False,False,False,True
22,21,0x15,?adjustSpecificCarParams@Car@LandVehicle@EagleFM@@IEAAXXZ,protected: void __cdecl EagleFM::LandVehicle::Car::adjustSpecificCarParams(void),method,EagleFM::LandVehicle,Car,adjustSpecificCarParams,void,False,False,False,False,False,False,True
23,22,0x16,?adjustToNewDynamicBody@Car@LandVehicle@EagleFM@@QEAAXAEBUDynamicState@3@PEBUVehicle_Descriptor@@M@Z,"public: void __cdecl EagleFM::LandVehicle::Car::adjustToNewDynamicBody(struct EagleFM::DynamicState const &, struct Vehicle_Descriptor const *, float)",method,EagleFM::LandVehicle,Car,adjustToNewDynamicBody,"struct EagleFM::DynamicState const &, struct Vehicle_Descriptor const *, float",False,False,False,False,False,False,True
24,23,0x17,?calcGFactor@LV_Object@LandVehicle@EagleFM@@QEAA?AV?$Vector@$02N@Math@@AEBV45@@Z,"public: class Math::Vector<3, double> __cdecl EagleFM::LandVehicle::LV_Object::calcGFactor(class Math::Vector<3, double> const &)",method,EagleFM::LandVehicle,LV_Object,calcGFactor,"class Math::Vector<3, double> const &",False,False,False,False,False,False,True
25,24,0x18,?calcGFactor@LV_Object@LandVehicle@EagleFM@@QEAA?AV?$Vector@$02N@Math@@XZ,"public: class Math::Vector<3, double> __cdecl EagleFM::LandVehicle::LV_Object::calcGFactor(void)",method,EagleFM::LandVehicle,LV_Object,calcGFactor,void,False,False,False,False,False,False,True
26,25,0x19,?engineStartStop@Car@LandVehicle@EagleFM@@QEAAX_N@Z,public: void __cdecl EagleFM::LandVehicle::Car::engineStartStop(bool),method,EagleFM::LandVehicle,Car,engineStartStop,bool,False,False,False,False,False,False,True
27,26,0x1A,?engineToggle@Car@LandVehicle@EagleFM@@QEAAXXZ,public: void __cdecl EagleFM::LandVehicle::Car::engineToggle(void),method,EagleFM::LandVehicle,Car,engineToggle,void,False,False,False,False,False,False,True
28,27,0x1B,?getClutchK@Car@LandVehicle@EagleFM@@QEBAMXZ,public: float __cdecl EagleFM::LandVehicle::Car::getClutchK(void) const,method,EagleFM::LandVehicle,Car,getClutchK,void,True,False,False,False,False,False,True
29,28,0x1C,?getDamageContacts@LV_Object@LandVehicle@EagleFM@@QEAAXAEAV?$vector@UDamageContact@EagleFM@@V?$allocator@UDamageContact@EagleFM@@@ed@@@ed@@@Z,"public: void __cdecl EagleFM::LandVehicle::LV_Object::getDamageContacts(class ed::vector<struct EagleFM::DamageContact, class ed::allocator<struct EagleFM::DamageContact>> &)",method,EagleFM::LandVehicle,LV_Object,getDamageContacts,"class ed::vector<struct EagleFM::DamageContact, class ed::allocator<struct EagleFM::DamageContact>> &",False,False,False,False,False,False,True
