ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,LeapCameraMatrix,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,LeapCameraMatrixByIndex,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,LeapCameraMatrixByIndexEx,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,LeapCameraMatrixEx,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,LeapCheckLicenseFlag,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,LeapCloseConnection,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,LeapCloseDevice,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,LeapCreateClockRebaser,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,LeapCreateConnection,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,LeapDestroyClockRebaser,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,LeapDestroyConnection,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,LeapDevicePIDToString,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,LeapDeviceTransformAvailable,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,LeapDistortionCoeffs,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,LeapDistortionCoeffsByIndex,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,LeapDistortionCoeffsByIndexEx,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,LeapDistortionCoeffsEx,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,LeapExtrinsicCameraMatrix,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,LeapExtrinsicCameraMatrixByIndex,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,LeapExtrinsicCameraMatrixByIndexEx,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,LeapExtrinsicCameraMatrixEx,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,LeapGetConnectionInfo,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,LeapGetDeviceCameraCount,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,LeapGetDeviceFrameRate,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,LeapGetDeviceFrameRateEx,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,LeapGetDeviceInfo,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,LeapGetDeviceList,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,LeapGetDeviceTransform,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,LeapGetFrameSize,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,LeapGetFrameSizeEx,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,LeapGetNow,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,LeapGetPointMapping,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,LeapGetPointMappingSize,,unknown,,,,,False,False,False,False,False,False,False
34,33,0x21,LeapGetServerStatus,,unknown,,,,,False,False,False,False,False,False,False
35,34,0x22,LeapGetTrackingMode,,unknown,,,,,False,False,False,False,False,False,False
36,35,0x23,LeapGetTrackingModeEx,,unknown,,,,,False,False,False,False,False,False,False
37,36,0x24,LeapGetVersion,,unknown,,,,,False,False,False,False,False,False,False
38,37,0x25,LeapInterpolateEyePositions,,unknown,,,,,False,False,False,False,False,False,False
39,38,0x26,LeapInterpolateFrame,,unknown,,,,,False,False,False,False,False,False,False
40,39,0x27,LeapInterpolateFrameEx,,unknown,,,,,False,False,False,False,False,False,False
41,40,0x28,LeapInterpolateFrameFromTime,,unknown,,,,,False,False,False,False,False,False,False
42,41,0x29,LeapInterpolateFrameFromTimeEx,,unknown,,,,,False,False,False,False,False,False,False
43,42,0x2A,LeapInterpolateHeadPose,,unknown,,,,,False,False,False,False,False,False,False
44,43,0x2B,LeapInterpolateHeadPoseEx,,unknown,,,,,False,False,False,False,False,False,False
45,44,0x2C,LeapOpenConnection,,unknown,,,,,False,False,False,False,False,False,False
46,45,0x2D,LeapOpenDevice,,unknown,,,,,False,False,False,False,False,False,False
47,46,0x2E,LeapPixelToRectilinear,,unknown,,,,,False,False,False,False,False,False,False
48,47,0x2F,LeapPixelToRectilinearByIndex,,unknown,,,,,False,False,False,False,False,False,False
49,48,0x30,LeapPixelToRectilinearByIndexEx,,unknown,,,,,False,False,False,False,False,False,False
50,49,0x31,LeapPixelToRectilinearEx,,unknown,,,,,False,False,False,False,False,False,False
51,50,0x32,LeapPollConnection,,unknown,,,,,False,False,False,False,False,False,False
52,51,0x33,LeapRebaseClock,,unknown,,,,,False,False,False,False,False,False,False
53,52,0x34,LeapRecordingClose,,unknown,,,,,False,False,False,False,False,False,False
54,53,0x35,LeapRecordingGetStatus,,unknown,,,,,False,False,False,False,False,False,False
55,54,0x36,LeapRecordingOpen,,unknown,,,,,False,False,False,False,False,False,False
56,55,0x37,LeapRecordingRead,,unknown,,,,,False,False,False,False,False,False,False
57,56,0x38,LeapRecordingReadSize,,unknown,,,,,False,False,False,False,False,False,False
58,57,0x39,LeapRecordingWrite,,unknown,,,,,False,False,False,False,False,False,False
59,58,0x3A,LeapRectilinearToPixel,,unknown,,,,,False,False,False,False,False,False,False
60,59,0x3B,LeapRectilinearToPixelByIndex,,unknown,,,,,False,False,False,False,False,False,False
61,60,0x3C,LeapRectilinearToPixelByIndexEx,,unknown,,,,,False,False,False,False,False,False,False
62,61,0x3D,LeapRectilinearToPixelEx,,unknown,,,,,False,False,False,False,False,False,False
63,62,0x3E,LeapReleaseServerStatus,,unknown,,,,,False,False,False,False,False,False,False
64,63,0x3F,LeapRequestConfigValue,,unknown,,,,,False,False,False,False,False,False,False
65,64,0x40,LeapSaveConfigValue,,unknown,,,,,False,False,False,False,False,False,False
66,65,0x41,LeapScaleOffsetMatrix,,unknown,,,,,False,False,False,False,False,False,False
67,66,0x42,LeapScaleOffsetMatrixByIndex,,unknown,,,,,False,False,False,False,False,False,False
68,67,0x43,LeapScaleOffsetMatrixByIndexEx,,unknown,,,,,False,False,False,False,False,False,False
69,68,0x44,LeapScaleOffsetMatrixEx,,unknown,,,,,False,False,False,False,False,False,False
70,69,0x45,LeapSetAllocator,,unknown,,,,,False,False,False,False,False,False,False
71,70,0x46,LeapSetConnectionMetadata,,unknown,,,,,False,False,False,False,False,False,False
72,71,0x47,LeapSetDeviceHints,,unknown,,,,,False,False,False,False,False,False,False
73,72,0x48,LeapSetPause,,unknown,,,,,False,False,False,False,False,False,False
74,73,0x49,LeapSetPolicyFlags,,unknown,,,,,False,False,False,False,False,False,False
75,74,0x4A,LeapSetPolicyFlagsEx,,unknown,,,,,False,False,False,False,False,False,False
76,75,0x4B,LeapSetPrimaryDevice,,unknown,,,,,False,False,False,False,False,False,False
77,76,0x4C,LeapSetTrackingMode,,unknown,,,,,False,False,False,False,False,False,False
78,77,0x4D,LeapSetTrackingModeEx,,unknown,,,,,False,False,False,False,False,False,False
79,78,0x4E,LeapSubscribeEvents,,unknown,,,,,False,False,False,False,False,False,False
80,79,0x4F,LeapTelemetryGetNow,,unknown,,,,,False,False,False,False,False,False,False
81,80,0x50,LeapTelemetryProfiling,,unknown,,,,,False,False,False,False,False,False,False
82,81,0x51,LeapUnsubscribeEvents,,unknown,,,,,False,False,False,False,False,False,False
83,82,0x52,LeapUpdateRebase,,unknown,,,,,False,False,False,False,False,False,False
