ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0ExtMemAllocator@model@@QEAA@XZ,public: __cdecl model::ExtMemAllocator::ExtMemAllocator(void),method,model,ExtMemAllocator,ExtMemAllocator,void,False,False,False,False,False,False,True
2,1,0x1,??0InstanceData@model@@QEAA@AEBU01@@Z,public: __cdecl model::InstanceData::InstanceData(struct model::InstanceData const &),method,model,InstanceData,InstanceData,struct model::InstanceData const &,False,False,False,False,False,False,True
3,2,0x2,??0InstanceData@model@@QEAA@XZ,public: __cdecl model::InstanceData::InstanceData(void),method,model,InstanceData,InstanceData,void,False,False,False,False,False,False,True
4,3,0x3,??1ExtMemAllocator@model@@UEAA@XZ,public: virtual __cdecl model::ExtMemAllocator::~ExtMemAllocator(void),method,model,ExtMemAllocator,~ExtMemAllocator,void,False,False,True,False,False,False,True
5,4,0x4,??1InstanceData@model@@QEAA@XZ,public: __cdecl model::InstanceData::~InstanceData(void),method,model,InstanceData,~InstanceData,void,False,False,False,False,False,False,True
6,5,0x5,??4InstanceData@model@@QEAAAEAU01@AEBU01@@Z,public: struct model::InstanceData & __cdecl model::InstanceData::operator=(struct model::InstanceData const &),symbol,,,,,False,False,False,False,False,False,True
7,6,0x6,?alloc@InstanceData@model@@QEAAXII@Z,"public: void __cdecl model::InstanceData::alloc(unsigned int, unsigned int)",method,model,InstanceData,alloc,"unsigned int, unsigned int",False,False,False,False,False,False,True
8,7,0x7,?apply@LightNode@model@@UEBAXAEBV?$vector@MV?$allocator128@M@ed@@@ed@@@Z,"public: virtual void __cdecl model::LightNode::apply(class ed::vector<float, class ed::allocator128<float>> const &) const",method,model,LightNode,apply,"class ed::vector<float, class ed::allocator128<float>> const &",True,False,True,False,False,False,True
9,8,0x8,?calcDefShellSkinNormals@RootNode@model@@QEBAXAEBUInstanceData@2@@Z,public: void __cdecl model::RootNode::calcDefShellSkinNormals(struct model::InstanceData const &) const,method,model,RootNode,calcDefShellSkinNormals,struct model::InstanceData const &,True,False,False,False,False,False,True
10,9,0x9,?calcNumberOfUsedTextures@PropertiesSet@model@@QEBAHXZ,public: int __cdecl model::PropertiesSet::calcNumberOfUsedTextures(void) const,method,model,PropertiesSet,calcNumberOfUsedTextures,void,True,False,False,False,False,False,True
11,10,0xA,?calculateTransforms@RootNode@model@@QEBAXAEAUInstanceData@2@V?$span@$$CBM$0?0@ed@@@Z,"public: void __cdecl model::RootNode::calculateTransforms(struct model::InstanceData &, class ed::span<float const, -1>) const",method,model,RootNode,calculateTransforms,"struct model::InstanceData &, class ed::span<float const, -1>",True,False,False,False,False,False,True
12,11,0xB,?checkAnimation@Node@model@@UEBA_NXZ,public: virtual bool __cdecl model::Node::checkAnimation(void) const,method,model,Node,checkAnimation,void,True,False,True,False,False,False,True
13,12,0xC,?clear@InstanceData@model@@QEAAXXZ,public: void __cdecl model::InstanceData::clear(void),method,model,InstanceData,clear,void,False,False,False,False,False,False,True
14,13,0xD,?clearTempAllocations@ExtMemAllocator@model@@UEAAXXZ,public: virtual void __cdecl model::ExtMemAllocator::clearTempAllocations(void),method,model,ExtMemAllocator,clearTempAllocations,void,False,False,True,False,False,False,True
15,14,0xE,?destroy@RootNode@model@@QEAAXXZ,public: void __cdecl model::RootNode::destroy(void),method,model,RootNode,destroy,void,False,False,False,False,False,False,True
16,15,0xF,?enumerateSegments@RootNode@model@@QEBAXAEBVMatrixd@osg@@AEBUInstanceData@2@AEBV?$function@$$A6AXPEBDAEBVVec3f@osg@@1@Z@std@@@Z,"public: void __cdecl model::RootNode::enumerateSegments(class osg::Matrixd const &, struct model::InstanceData const &, class std::function<void __cdecl(char const *, class osg::Vec3f const &, class osg::Vec3f const &)> const &) const",method,model,RootNode,enumerateSegments,"class osg::Matrixd const &, struct model::InstanceData const &, class std::function<void __cdecl(char const *, class osg::Vec3f const &, class osg::Vec3f const &)> const &",True,False,False,False,False,False,True
17,16,0x10,?findCloseParts2@RootNode@model@@QEBA_NAEBVMatrixd@osg@@AEBUInstanceData@2@AEBVVec3f@4@PEBVClipVolume@@AEBV?$function@$$A6AXPEBDMAEBVVec3d@osg@@@Z@std@@@Z,"public: bool __cdecl model::RootNode::findCloseParts2(class osg::Matrixd const &, struct model::InstanceData const &, class osg::Vec3f const &, class ClipVolume const *, class std::function<void __cdecl(char const *, float, class osg::Vec3d const &)> const &) const",method,model,RootNode,findCloseParts2,"class osg::Matrixd const &, struct model::InstanceData const &, class osg::Vec3f const &, class ClipVolume const *, class std::function<void __cdecl(char const *, float, class osg::Vec3d const &)> const &",True,False,False,False,False,False,True
18,17,0x11,?findCloseParts@RootNode@model@@QEBA_NAEBVMatrixd@osg@@AEBUInstanceData@2@AEBVVec3f@4@PEBVClipVolume@@AEBV?$function@$$A6AXPEBDM@Z@std@@@Z,"public: bool __cdecl model::RootNode::findCloseParts(class osg::Matrixd const &, struct model::InstanceData const &, class osg::Vec3f const &, class ClipVolume const *, class std::function<void __cdecl(char const *, float)> const &) const",method,model,RootNode,findCloseParts,"class osg::Matrixd const &, struct model::InstanceData const &, class osg::Vec3f const &, class ClipVolume const *, class std::function<void __cdecl(char const *, float)> const &",True,False,False,False,False,False,True
19,18,0x12,?getAnimatedUniforms@BaseMaterial@model@@QEBAAEBVAnimatedProperties@2@XZ,public: class model::AnimatedProperties const & __cdecl model::BaseMaterial::getAnimatedUniforms(void) const,method,model,BaseMaterial,getAnimatedUniforms,void,True,False,False,False,False,False,True
20,19,0x13,?getBBox@FakeOmniLightsNode@model@@UEBAAEBV?$BoundingBoxImpl@VVec3f@osg@@@osg@@I@Z,public: virtual class osg::BoundingBoxImpl<class osg::Vec3f> const & __cdecl model::FakeOmniLightsNode::getBBox(unsigned int) const,method,model,FakeOmniLightsNode,getBBox,unsigned int,True,False,True,False,False,False,True
21,20,0x14,?getCollisionSegmentId@RootNode@model@@QEBA_KPEBD@Z,public: unsigned __int64 __cdecl model::RootNode::getCollisionSegmentId(char const *) const,method,model,RootNode,getCollisionSegmentId,char const *,True,False,False,False,False,False,True
22,21,0x15,?getCollisionSegmentName@RootNode@model@@QEBAPEBD_K@Z,public: char const * __cdecl model::RootNode::getCollisionSegmentName(unsigned __int64) const,method,model,RootNode,getCollisionSegmentName,unsigned __int64,True,False,False,False,False,False,True
23,22,0x16,?getCollisionShellBoundingBox@RootNode@model@@QEBA?AV?$BoundingBoxImpl@VVec3f@osg@@@osg@@_KAEBUInstanceData@2@@Z,"public: class osg::BoundingBoxImpl<class osg::Vec3f> __cdecl model::RootNode::getCollisionShellBoundingBox(unsigned __int64, struct model::InstanceData const &) const",method,model,RootNode,getCollisionShellBoundingBox,"unsigned __int64, struct model::InstanceData const &",True,False,False,False,False,False,True
24,23,0x17,?getCollisionShellId@RootNode@model@@QEBA_KPEBD@Z,public: unsigned __int64 __cdecl model::RootNode::getCollisionShellId(char const *) const,method,model,RootNode,getCollisionShellId,char const *,True,False,False,False,False,False,True
25,24,0x18,?getCollisionShellName@RootNode@model@@QEBAPEBD_K@Z,public: char const * __cdecl model::RootNode::getCollisionShellName(unsigned __int64) const,method,model,RootNode,getCollisionShellName,unsigned __int64,True,False,False,False,False,False,True
26,25,0x19,?getConnectorByName@RootNode@model@@QEAAPEAVConnector@2@PEBD@Z,public: class model::Connector * __cdecl model::RootNode::getConnectorByName(char const *),method,model,RootNode,getConnectorByName,char const *,False,False,False,False,False,False,True
27,26,0x1A,?getControlNode@FakeOmniLightsNode@model@@UEBAPEBVNode@2@I@Z,public: virtual class model::Node const * __cdecl model::FakeOmniLightsNode::getControlNode(unsigned int) const,method,model,FakeOmniLightsNode,getControlNode,unsigned int,True,False,True,False,False,False,True
28,27,0x1B,?getControlNode@FakeSpotLightsNode@model@@UEBAPEBVNode@2@I@Z,public: virtual class model::Node const * __cdecl model::FakeSpotLightsNode::getControlNode(unsigned int) const,method,model,FakeSpotLightsNode,getControlNode,unsigned int,True,False,True,False,False,False,True
29,28,0x1C,?getDamageHandle@RenderNode@model@@QEBAII@Z,public: unsigned int __cdecl model::RenderNode::getDamageHandle(unsigned int) const,method,model,RenderNode,getDamageHandle,unsigned int,True,False,False,False,False,False,True
30,29,0x1D,?getHandles@AnimatedFakeOmniLightsNode@model@@UEBAXPEAI@Z,public: virtual void __cdecl model::AnimatedFakeOmniLightsNode::getHandles(unsigned int *) const,method,model,AnimatedFakeOmniLightsNode,getHandles,unsigned int *,True,False,True,False,False,False,True
31,30,0x1E,?getHandles@AnimatedFakeSpotLightsNode@model@@UEBAXPEAI@Z,public: virtual void __cdecl model::AnimatedFakeSpotLightsNode::getHandles(unsigned int *) const,method,model,AnimatedFakeSpotLightsNode,getHandles,unsigned int *,True,False,True,False,False,False,True
32,31,0x1F,?getLights@FakeOmniLightsNode@model@@QEBAPEBUFakeOmniLight@2@XZ,public: struct model::FakeOmniLight const * __cdecl model::FakeOmniLightsNode::getLights(void) const,method,model,FakeOmniLightsNode,getLights,void,True,False,False,False,False,False,True
33,32,0x20,?getName@Connector@model@@UEBAPEBDXZ,public: virtual char const * __cdecl model::Connector::getName(void) const,method,model,Connector,getName,void,True,False,True,False,False,False,True
34,33,0x21,?getName@LightNode@model@@QEBAPEBDXZ,public: char const * __cdecl model::LightNode::getName(void) const,method,model,LightNode,getName,void,True,False,False,False,False,False,True
35,34,0x22,?getNumControlNodes@FakeOmniLightsNode@model@@UEBAIXZ,public: virtual unsigned int __cdecl model::FakeOmniLightsNode::getNumControlNodes(void) const,method,model,FakeOmniLightsNode,getNumControlNodes,void,True,False,True,False,False,False,True
36,35,0x23,?getNumControlNodes@FakeSpotLightsNode@model@@UEBAIXZ,public: virtual unsigned int __cdecl model::FakeSpotLightsNode::getNumControlNodes(void) const,method,model,FakeSpotLightsNode,getNumControlNodes,void,True,False,True,False,False,False,True
