ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0GlobalsMT@model@@QEAA@XZ,public: __cdecl model::GlobalsMT::GlobalsMT(void),method,model,GlobalsMT,GlobalsMT,void,False,False,False,False,False,False,True
2,1,0x1,??0GraphNodesFactoryMT@model@@QEAA@PEBD@Z,public: __cdecl model::GraphNodesFactoryMT::GraphNodesFactoryMT(char const *),method,model,GraphNodesFactoryMT,GraphNodesFactoryMT,char const *,False,False,False,False,False,False,True
3,2,0x2,??1FlagModel@cloth@@UEAA@XZ,public: virtual __cdecl cloth::FlagModel::~FlagModel(void),method,cloth,FlagModel,~FlagModel,void,False,False,True,False,False,False,True
4,3,0x3,??1GlobalsMT@model@@UEAA@XZ,public: virtual __cdecl model::GlobalsMT::~GlobalsMT(void),method,model,GlobalsMT,~GlobalsMT,void,False,False,True,False,False,False,True
5,4,0x4,??1NGModelLodsMT@model@@UEAA@XZ,public: virtual __cdecl model::NGModelLodsMT::~NGModelLodsMT(void),method,model,NGModelLodsMT,~NGModelLodsMT,void,False,False,True,False,False,False,True
6,5,0x5,?Create2@NGModelLodsMT@model@@SAPEAVModel@Graphics@@PEBD0AEBUModelOptions@2@@Z,"public: static class Graphics::Model * __cdecl model::NGModelLodsMT::Create2(char const *, char const *, struct model::ModelOptions const &)",method,model,NGModelLodsMT,Create2,"char const *, char const *, struct model::ModelOptions const &",False,True,False,False,False,False,True
7,6,0x6,?Create@FlagModel@cloth@@SAPEAVModel@Graphics@@PEBD0AEBUModelOptions@model@@@Z,"public: static class Graphics::Model * __cdecl cloth::FlagModel::Create(char const *, char const *, struct model::ModelOptions const &)",method,cloth,FlagModel,Create,"char const *, char const *, struct model::ModelOptions const &",False,True,False,False,False,False,True
8,7,0x7,?Create@NGModelLodsMT@model@@SAPEAVModel@Graphics@@PEBD0AEBUModelOptions@2@@Z,"public: static class Graphics::Model * __cdecl model::NGModelLodsMT::Create(char const *, char const *, struct model::ModelOptions const &)",method,model,NGModelLodsMT,Create,"char const *, char const *, struct model::ModelOptions const &",False,True,False,False,False,False,True
9,8,0x8,?GetConnector@FlagModel@cloth@@UEAAPEAVModelConnector@Graphics@@H@Z,public: virtual class Graphics::ModelConnector * __cdecl cloth::FlagModel::GetConnector(int),method,cloth,FlagModel,GetConnector,int,False,False,True,False,False,False,True
10,9,0x9,?GetConnector@FlagModel@cloth@@UEAAPEAVModelConnector@Graphics@@PEBD@Z,public: virtual class Graphics::ModelConnector * __cdecl cloth::FlagModel::GetConnector(char const *),method,cloth,FlagModel,GetConnector,char const *,False,False,True,False,False,False,True
11,10,0xA,?GetConnector@NGModelLodsMT@model@@UEAAPEAVModelConnector@Graphics@@H@Z,public: virtual class Graphics::ModelConnector * __cdecl model::NGModelLodsMT::GetConnector(int),method,model,NGModelLodsMT,GetConnector,int,False,False,True,False,False,False,True
12,11,0xB,?GetConnector@NGModelLodsMT@model@@UEAAPEAVModelConnector@Graphics@@PEBD@Z,public: virtual class Graphics::ModelConnector * __cdecl model::NGModelLodsMT::GetConnector(char const *),method,model,NGModelLodsMT,GetConnector,char const *,False,False,True,False,False,False,True
13,12,0xC,?GetLight@FlagModel@cloth@@UEBAXAEAVModelInstance@Graphics@@AEBV?$wPosition3@M@@IAEAVModelLight@4@@Z,"public: virtual void __cdecl cloth::FlagModel::GetLight(class Graphics::ModelInstance &, class wPosition3<float> const &, unsigned int, class Graphics::ModelLight &) const",method,cloth,FlagModel,GetLight,"class Graphics::ModelInstance &, class wPosition3<float> const &, unsigned int, class Graphics::ModelLight &",True,False,True,False,False,False,True
14,13,0xD,?GetLight@FlagModel@cloth@@UEBAXAEAVModelInstance@Graphics@@IAEAVModelLight@4@@Z,"public: virtual void __cdecl cloth::FlagModel::GetLight(class Graphics::ModelInstance &, unsigned int, class Graphics::ModelLight &) const",method,cloth,FlagModel,GetLight,"class Graphics::ModelInstance &, unsigned int, class Graphics::ModelLight &",True,False,True,False,False,False,True
15,14,0xE,?GetLight@NGModelLodsMT@model@@UEBAXAEAVModelInstance@Graphics@@AEBV?$wPosition3@M@@IAEAVModelLight@4@@Z,"public: virtual void __cdecl model::NGModelLodsMT::GetLight(class Graphics::ModelInstance &, class wPosition3<float> const &, unsigned int, class Graphics::ModelLight &) const",method,model,NGModelLodsMT,GetLight,"class Graphics::ModelInstance &, class wPosition3<float> const &, unsigned int, class Graphics::ModelLight &",True,False,True,False,False,False,True
16,15,0xF,?GetLight@NGModelLodsMT@model@@UEBAXAEAVModelInstance@Graphics@@IAEAVModelLight@4@@Z,"public: virtual void __cdecl model::NGModelLodsMT::GetLight(class Graphics::ModelInstance &, unsigned int, class Graphics::ModelLight &) const",method,model,NGModelLodsMT,GetLight,"class Graphics::ModelInstance &, unsigned int, class Graphics::ModelLight &",True,False,True,False,False,False,True
17,16,0x10,?GetLightPosition@FlagModel@cloth@@UEBA?AV?$wPosition3@M@@AEAVModelInstance@Graphics@@AEBV3@I@Z,"public: virtual class wPosition3<float> __cdecl cloth::FlagModel::GetLightPosition(class Graphics::ModelInstance &, class wPosition3<float> const &, unsigned int) const",method,cloth,FlagModel,GetLightPosition,"class Graphics::ModelInstance &, class wPosition3<float> const &, unsigned int",True,False,True,False,False,False,True
18,17,0x11,?GetLightPosition@NGModelLodsMT@model@@UEBA?AV?$wPosition3@M@@AEAVModelInstance@Graphics@@AEBV3@I@Z,"public: virtual class wPosition3<float> __cdecl model::NGModelLodsMT::GetLightPosition(class Graphics::ModelInstance &, class wPosition3<float> const &, unsigned int) const",method,model,NGModelLodsMT,GetLightPosition,"class Graphics::ModelInstance &, class wPosition3<float> const &, unsigned int",True,False,True,False,False,False,True
19,18,0x12,?GetTexturesNames@FlagModel@cloth@@UEBAXAEAV?$unordered_set@V?$basic_string@D@ed@@U?$hash@V?$basic_string@D@ed@@@std@@U?$equal_to@V?$basic_string@D@ed@@@4@V?$allocator@V?$basic_string@D@ed@@@2@@ed@@@Z,"public: virtual void __cdecl cloth::FlagModel::GetTexturesNames(class ed::unordered_set<class ed::basic_string<char>, struct std::hash<class ed::basic_string<char>>, struct std::equal_to<class ed::basic_string<char>>, class ed::allocator<class ed::basic_string<char>>> &) const",method,cloth,FlagModel,GetTexturesNames,"class ed::unordered_set<class ed::basic_string<char>, struct std::hash<class ed::basic_string<char>>, struct std::equal_to<class ed::basic_string<char>>, class ed::allocator<class ed::basic_string<char>>> &",True,False,True,False,False,False,True
