ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0?$Singleton@VNavGraph@NavMeshData@@@@IEAA@XZ,protected: __cdecl Singleton<class NavMeshData::NavGraph>::Singleton<class NavMeshData::NavGraph>(void),method,,NavMeshData,NavGraph>,void,False,False,False,False,False,False,True
2,1,0x1,??0?$Singleton@VNavGraph@NavMeshData@@@@QEAA@AEBV0@@Z,public: __cdecl Singleton<class NavMeshData::NavGraph>::Singleton<class NavMeshData::NavGraph>(class Singleton<class NavMeshData::NavGraph> const &),method,,NavMeshData,NavGraph>,class Singleton<class NavMeshData::NavGraph> const &,False,False,False,False,False,False,True
3,2,0x2,??0?$Singleton@VNavMesh@NavMeshData@@@@IEAA@XZ,protected: __cdecl Singleton<class NavMeshData::NavMesh>::Singleton<class NavMeshData::NavMesh>(void),method,,NavMeshData,NavMesh>,void,False,False,False,False,False,False,True
4,3,0x3,??0?$Singleton@VNavMesh@NavMeshData@@@@QEAA@AEBV0@@Z,public: __cdecl Singleton<class NavMeshData::NavMesh>::Singleton<class NavMeshData::NavMesh>(class Singleton<class NavMeshData::NavMesh> const &),method,,NavMeshData,NavMesh>,class Singleton<class NavMeshData::NavMesh> const &,False,False,False,False,False,False,True
5,4,0x4,??0?$Singleton@VSquaresInfo@NavMeshData@@@@IEAA@XZ,protected: __cdecl Singleton<class NavMeshData::SquaresInfo>::Singleton<class NavMeshData::SquaresInfo>(void),method,,NavMeshData,SquaresInfo>,void,False,False,False,False,False,False,True
6,5,0x5,??0?$Singleton@VSquaresInfo@NavMeshData@@@@QEAA@AEBV0@@Z,public: __cdecl Singleton<class NavMeshData::SquaresInfo>::Singleton<class NavMeshData::SquaresInfo>(class Singleton<class NavMeshData::SquaresInfo> const &),method,,NavMeshData,SquaresInfo>,class Singleton<class NavMeshData::SquaresInfo> const &,False,False,False,False,False,False,True
7,6,0x6,??0?$SquareStorage@UMeshSquare@NavMeshData@@@NavMeshData@@IEAA@XZ,protected: __cdecl NavMeshData::SquareStorage<struct NavMeshData::MeshSquare>::SquareStorage<struct NavMeshData::MeshSquare>(void),method,,NavMeshData,MeshSquare>,void,False,False,False,False,False,False,True
8,7,0x7,??0?$SquareStorage@UMeshSquare@NavMeshData@@@NavMeshData@@QEAA@AEBV01@@Z,public: __cdecl NavMeshData::SquareStorage<struct NavMeshData::MeshSquare>::SquareStorage<struct NavMeshData::MeshSquare>(class NavMeshData::SquareStorage<struct NavMeshData::MeshSquare> const &),method,,NavMeshData,MeshSquare>,class NavMeshData::SquareStorage<struct NavMeshData::MeshSquare> const &,False,False,False,False,False,False,True
9,8,0x8,??0?$SquareStorage@UNGSquare@NavMeshData@@@NavMeshData@@IEAA@XZ,protected: __cdecl NavMeshData::SquareStorage<struct NavMeshData::NGSquare>::SquareStorage<struct NavMeshData::NGSquare>(void),method,,NavMeshData,NGSquare>,void,False,False,False,False,False,False,True
10,9,0x9,??0?$SquareStorage@UNGSquare@NavMeshData@@@NavMeshData@@QEAA@AEBV01@@Z,public: __cdecl NavMeshData::SquareStorage<struct NavMeshData::NGSquare>::SquareStorage<struct NavMeshData::NGSquare>(class NavMeshData::SquareStorage<struct NavMeshData::NGSquare> const &),method,,NavMeshData,NGSquare>,class NavMeshData::SquareStorage<struct NavMeshData::NGSquare> const &,False,False,False,False,False,False,True
