ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0FSR_HDR@render@@QEAA@$$QEAV01@@Z,public: __cdecl render::FSR_HDR::FSR_HDR(class render::FSR_HDR &&),method,render,FSR_HDR,FSR_HDR,class render::FSR_HDR &&,False,False,False,False,False,False,True
2,1,0x1,??0FSR_HDR@render@@QEAA@AEBV01@@Z,public: __cdecl render::FSR_HDR::FSR_HDR(class render::FSR_HDR const &),method,render,FSR_HDR,FSR_HDR,class render::FSR_HDR const &,False,False,False,False,False,False,True
3,2,0x2,??0FSR_HDR@render@@QEAA@XZ,public: __cdecl render::FSR_HDR::FSR_HDR(void),method,render,FSR_HDR,FSR_HDR,void,False,False,False,False,False,False,True
4,3,0x3,??0PostEffect@PostEffects@@QEAA@AEBV01@@Z,public: __cdecl PostEffects::PostEffect::PostEffect(class PostEffects::PostEffect const &),method,PostEffects,PostEffect,PostEffect,class PostEffects::PostEffect const &,False,False,False,False,False,False,True
5,4,0x4,??0PostEffect@PostEffects@@QEAA@XZ,public: __cdecl PostEffects::PostEffect::PostEffect(void),method,PostEffects,PostEffect,PostEffect,void,False,False,False,False,False,False,True
6,5,0x5,??0PostEffectBase@PostEffects@@QEAA@AEBV01@@Z,public: __cdecl PostEffects::PostEffectBase::PostEffectBase(class PostEffects::PostEffectBase const &),method,PostEffects,PostEffectBase,PostEffectBase,class PostEffects::PostEffectBase const &,False,False,False,False,False,False,True
7,6,0x6,??0PostEffectBase@PostEffects@@QEAA@XZ,public: __cdecl PostEffects::PostEffectBase::PostEffectBase(void),method,PostEffects,PostEffectBase,PostEffectBase,void,False,False,False,False,False,False,True
8,7,0x7,??0PostEffectPipeline@PostEffects@@QEAA@AEBV01@@Z,public: __cdecl PostEffects::PostEffectPipeline::PostEffectPipeline(class PostEffects::PostEffectPipeline const &),method,PostEffects,PostEffectPipeline,PostEffectPipeline,class PostEffects::PostEffectPipeline const &,False,False,False,False,False,False,True
9,8,0x8,??0PostEffectPipeline@PostEffects@@QEAA@XZ,public: __cdecl PostEffects::PostEffectPipeline::PostEffectPipeline(void),method,PostEffects,PostEffectPipeline,PostEffectPipeline,void,False,False,False,False,False,False,True
10,9,0x9,??1FSR_HDR@render@@QEAA@XZ,public: __cdecl render::FSR_HDR::~FSR_HDR(void),method,render,FSR_HDR,~FSR_HDR,void,False,False,False,False,False,False,True
