ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0BlockSizeManager@QtConcurrent@@QEAA@H@Z,public: __cdecl QtConcurrent::BlockSizeManager::BlockSizeManager(int),method,QtConcurrent,BlockSizeManager,BlockSizeManager,int,False,False,False,False,False,False,True
2,1,0x1,??0BlockSizeManagerV2@QtConcurrent@@QEAA@H@Z,public: __cdecl QtConcurrent::BlockSizeManagerV2::BlockSizeManagerV2(int),method,QtConcurrent,BlockSizeManagerV2,BlockSizeManagerV2,int,False,False,False,False,False,False,True
3,2,0x2,??0ThreadEngineBase@QtConcurrent@@QEAA@XZ,public: __cdecl QtConcurrent::ThreadEngineBase::ThreadEngineBase(void),method,QtConcurrent,ThreadEngineBase,ThreadEngineBase,void,False,False,False,False,False,False,True
4,3,0x3,??1BlockSizeManager@QtConcurrent@@QEAA@XZ,public: __cdecl QtConcurrent::BlockSizeManager::~BlockSizeManager(void),method,QtConcurrent,BlockSizeManager,~BlockSizeManager,void,False,False,False,False,False,False,True
5,4,0x4,??1ThreadEngineBase@QtConcurrent@@UEAA@XZ,public: virtual __cdecl QtConcurrent::ThreadEngineBase::~ThreadEngineBase(void),method,QtConcurrent,ThreadEngineBase,~ThreadEngineBase,void,False,False,True,False,False,False,True
6,5,0x5,??_7ThreadEngineBase@QtConcurrent@@6B@,const QtConcurrent::ThreadEngineBase::`vftable',vftable,,,,,False,False,False,True,False,False,True
7,6,0x6,?acquireBarrierSemaphore@ThreadEngineBase@QtConcurrent@@QEAAXXZ,public: void __cdecl QtConcurrent::ThreadEngineBase::acquireBarrierSemaphore(void),method,QtConcurrent,ThreadEngineBase,acquireBarrierSemaphore,void,False,False,False,False,False,False,True
8,7,0x7,?blockSize@BlockSizeManager@QtConcurrent@@QEAAHXZ,public: int __cdecl QtConcurrent::BlockSizeManager::blockSize(void),method,QtConcurrent,BlockSizeManager,blockSize,void,False,False,False,False,False,False,True
9,8,0x8,?blockSize@BlockSizeManagerV2@QtConcurrent@@QEAAHXZ,public: int __cdecl QtConcurrent::BlockSizeManagerV2::blockSize(void),method,QtConcurrent,BlockSizeManagerV2,blockSize,void,False,False,False,False,False,False,True
10,9,0x9,?blockSizeMaxed@BlockSizeManager@QtConcurrent@@AEAA_NXZ,private: bool __cdecl QtConcurrent::BlockSizeManager::blockSizeMaxed(void),method,QtConcurrent,BlockSizeManager,blockSizeMaxed,void,False,False,False,False,False,False,True
11,10,0xA,?blockSizeMaxed@BlockSizeManagerV2@QtConcurrent@@AEAA_NXZ,private: bool __cdecl QtConcurrent::BlockSizeManagerV2::blockSizeMaxed(void),method,QtConcurrent,BlockSizeManagerV2,blockSizeMaxed,void,False,False,False,False,False,False,True
12,11,0xB,?finish@ThreadEngineBase@QtConcurrent@@MEAAXXZ,protected: virtual void __cdecl QtConcurrent::ThreadEngineBase::finish(void),method,QtConcurrent,ThreadEngineBase,finish,void,False,False,True,False,False,False,True
13,12,0xC,?handleException@ThreadEngineBase@QtConcurrent@@AEAAXAEBVQException@@@Z,private: void __cdecl QtConcurrent::ThreadEngineBase::handleException(class QException const &),method,QtConcurrent,ThreadEngineBase,handleException,class QException const &,False,False,False,False,False,False,True
14,13,0xD,?isCanceled@ThreadEngineBase@QtConcurrent@@QEAA_NXZ,public: bool __cdecl QtConcurrent::ThreadEngineBase::isCanceled(void),method,QtConcurrent,ThreadEngineBase,isCanceled,void,False,False,False,False,False,False,True
15,14,0xE,?isProgressReportingEnabled@ThreadEngineBase@QtConcurrent@@QEAA_NXZ,public: bool __cdecl QtConcurrent::ThreadEngineBase::isProgressReportingEnabled(void),method,QtConcurrent,ThreadEngineBase,isProgressReportingEnabled,void,False,False,False,False,False,False,True
