ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??$qbswap@$01@@YAPEAXPEBX_JPEAX@Z,"void * __cdecl qbswap<2>(void const *, __int64, void *)",function,,,qbswap<2>,"void const *, __int64, void *",False,False,False,False,False,False,True
2,1,0x1,??$qbswap@$03@@YAPEAXPEBX_JPEAX@Z,"void * __cdecl qbswap<4>(void const *, __int64, void *)",function,,,qbswap<4>,"void const *, __int64, void *",False,False,False,False,False,False,True
3,2,0x2,??$qbswap@$07@@YAPEAXPEBX_JPEAX@Z,"void * __cdecl qbswap<8>(void const *, __int64, void *)",function,,,qbswap<8>,"void const *, __int64, void *",False,False,False,False,False,False,True
4,3,0x3,??0?$QList@VQItemSelectionRange@@@@QEAA@$$QEAV0@@Z,public: __cdecl QList<class QItemSelectionRange>::QList<class QItemSelectionRange>(class QList<class QItemSelectionRange> &&),function,,,QItemSelectionRange>,class QList<class QItemSelectionRange> &&,False,False,False,False,False,False,True
5,4,0x4,??0?$QList@VQItemSelectionRange@@@@QEAA@AEBV0@@Z,public: __cdecl QList<class QItemSelectionRange>::QList<class QItemSelectionRange>(class QList<class QItemSelectionRange> const &),function,,,QItemSelectionRange>,class QList<class QItemSelectionRange> const &,False,False,False,False,False,False,True
6,5,0x5,??0?$QList@VQItemSelectionRange@@@@QEAA@V?$initializer_list@VQItemSelectionRange@@@std@@@Z,public: __cdecl QList<class QItemSelectionRange>::QList<class QItemSelectionRange>(class std::initializer_list<class QItemSelectionRange>),function,,,QItemSelectionRange>,class std::initializer_list<class QItemSelectionRange>,False,False,False,False,False,False,True
7,6,0x6,??0?$QList@VQItemSelectionRange@@@@QEAA@XZ,public: __cdecl QList<class QItemSelectionRange>::QList<class QItemSelectionRange>(void),function,,,QItemSelectionRange>,void,False,False,False,False,False,False,True
8,7,0x7,??0?$QVector@VQPoint@@@@QEAA@$$QEAV0@@Z,public: __cdecl QVector<class QPoint>::QVector<class QPoint>(class QVector<class QPoint> &&),function,,,QPoint>,class QVector<class QPoint> &&,False,False,False,False,False,False,True
9,8,0x8,??0?$QVector@VQPoint@@@@QEAA@AEBV0@@Z,public: __cdecl QVector<class QPoint>::QVector<class QPoint>(class QVector<class QPoint> const &),function,,,QPoint>,class QVector<class QPoint> const &,False,False,False,False,False,False,True
10,9,0x9,??0?$QVector@VQPoint@@@@QEAA@H@Z,public: __cdecl QVector<class QPoint>::QVector<class QPoint>(int),function,,,QPoint>,int,False,False,False,False,False,False,True
