ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??$handleApplicationStateChanged@UAsynchronousDelivery@QWindowSystemInterface@@@QWindowSystemInterface@@SAXW4ApplicationState@Qt@@_N@Z,"public: static void __cdecl QWindowSystemInterface::handleApplicationStateChanged<struct QWindowSystemInterface::AsynchronousDelivery>(enum Qt::ApplicationState, bool)",method,,QWindowSystemInterface,AsynchronousDelivery>,"enum Qt::ApplicationState, bool",False,True,False,False,False,False,True
2,1,0x1,??$handleApplicationStateChanged@UDefaultDelivery@QWindowSystemInterface@@@QWindowSystemInterface@@SAXW4ApplicationState@Qt@@_N@Z,"public: static void __cdecl QWindowSystemInterface::handleApplicationStateChanged<struct QWindowSystemInterface::DefaultDelivery>(enum Qt::ApplicationState, bool)",method,,QWindowSystemInterface,DefaultDelivery>,"enum Qt::ApplicationState, bool",False,True,False,False,False,False,True
3,2,0x2,??$handleApplicationStateChanged@USynchronousDelivery@QWindowSystemInterface@@@QWindowSystemInterface@@SAXW4ApplicationState@Qt@@_N@Z,"public: static void __cdecl QWindowSystemInterface::handleApplicationStateChanged<struct QWindowSystemInterface::SynchronousDelivery>(enum Qt::ApplicationState, bool)",method,,QWindowSystemInterface,SynchronousDelivery>,"enum Qt::ApplicationState, bool",False,True,False,False,False,False,True
4,3,0x3,??$handleApplicationTermination@UAsynchronousDelivery@QWindowSystemInterface@@@QWindowSystemInterface@@SA_NXZ,public: static bool __cdecl QWindowSystemInterface::handleApplicationTermination<struct QWindowSystemInterface::AsynchronousDelivery>(void),method,,QWindowSystemInterface,AsynchronousDelivery>,void,False,True,False,False,False,False,True
5,4,0x4,??$handleApplicationTermination@UDefaultDelivery@QWindowSystemInterface@@@QWindowSystemInterface@@SA_NXZ,public: static bool __cdecl QWindowSystemInterface::handleApplicationTermination<struct QWindowSystemInterface::DefaultDelivery>(void),method,,QWindowSystemInterface,DefaultDelivery>,void,False,True,False,False,False,False,True
6,5,0x5,??$handleApplicationTermination@USynchronousDelivery@QWindowSystemInterface@@@QWindowSystemInterface@@SA_NXZ,public: static bool __cdecl QWindowSystemInterface::handleApplicationTermination<struct QWindowSystemInterface::SynchronousDelivery>(void),method,,QWindowSystemInterface,SynchronousDelivery>,void,False,True,False,False,False,False,True
7,6,0x6,??$handleCloseEvent@UAsynchronousDelivery@QWindowSystemInterface@@@QWindowSystemInterface@@SA_NPEAVQWindow@@@Z,public: static bool __cdecl QWindowSystemInterface::handleCloseEvent<struct QWindowSystemInterface::AsynchronousDelivery>(class QWindow *),method,,QWindowSystemInterface,AsynchronousDelivery>,class QWindow *,False,True,False,False,False,False,True
8,7,0x7,??$handleCloseEvent@UDefaultDelivery@QWindowSystemInterface@@@QWindowSystemInterface@@SA_NPEAVQWindow@@@Z,public: static bool __cdecl QWindowSystemInterface::handleCloseEvent<struct QWindowSystemInterface::DefaultDelivery>(class QWindow *),method,,QWindowSystemInterface,DefaultDelivery>,class QWindow *,False,True,False,False,False,False,True
9,8,0x8,??$handleCloseEvent@USynchronousDelivery@QWindowSystemInterface@@@QWindowSystemInterface@@SA_NPEAVQWindow@@@Z,public: static bool __cdecl QWindowSystemInterface::handleCloseEvent<struct QWindowSystemInterface::SynchronousDelivery>(class QWindow *),method,,QWindowSystemInterface,SynchronousDelivery>,class QWindow *,False,True,False,False,False,False,True
10,9,0x9,??$handleEnterEvent@UAsynchronousDelivery@QWindowSystemInterface@@@QWindowSystemInterface@@SAXPEAVQWindow@@AEBVQPointF@@1@Z,"public: static void __cdecl QWindowSystemInterface::handleEnterEvent<struct QWindowSystemInterface::AsynchronousDelivery>(class QWindow *, class QPointF const &, class QPointF const &)",method,,QWindowSystemInterface,AsynchronousDelivery>,"class QWindow *, class QPointF const &, class QPointF const &",False,True,False,False,False,False,True
11,10,0xA,??$handleEnterEvent@UDefaultDelivery@QWindowSystemInterface@@@QWindowSystemInterface@@SAXPEAVQWindow@@AEBVQPointF@@1@Z,"public: static void __cdecl QWindowSystemInterface::handleEnterEvent<struct QWindowSystemInterface::DefaultDelivery>(class QWindow *, class QPointF const &, class QPointF const &)",method,,QWindowSystemInterface,DefaultDelivery>,"class QWindow *, class QPointF const &, class QPointF const &",False,True,False,False,False,False,True
12,11,0xB,??$handleEnterEvent@USynchronousDelivery@QWindowSystemInterface@@@QWindowSystemInterface@@SAXPEAVQWindow@@AEBVQPointF@@1@Z,"public: static void __cdecl QWindowSystemInterface::handleEnterEvent<struct QWindowSystemInterface::SynchronousDelivery>(class QWindow *, class QPointF const &, class QPointF const &)",method,,QWindowSystemInterface,SynchronousDelivery>,"class QWindow *, class QPointF const &, class QPointF const &",False,True,False,False,False,False,True
