ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0QGraphicsSvgItem@@QEAA@AEBVQString@@PEAVQGraphicsItem@@@Z,"public: __cdecl QGraphicsSvgItem::QGraphicsSvgItem(class QString const &, class QGraphicsItem *)",method,,QGraphicsSvgItem,QGraphicsSvgItem,"class QString const &, class QGraphicsItem *",False,False,False,False,False,False,True
2,1,0x1,??0QGraphicsSvgItem@@QEAA@PEAVQGraphicsItem@@@Z,public: __cdecl QGraphicsSvgItem::QGraphicsSvgItem(class QGraphicsItem *),method,,QGraphicsSvgItem,QGraphicsSvgItem,class QGraphicsItem *,False,False,False,False,False,False,True
3,2,0x2,??0QSvgAnimateColor@@QEAA@$$QEAV0@@Z,public: __cdecl QSvgAnimateColor::QSvgAnimateColor(class QSvgAnimateColor &&),method,,QSvgAnimateColor,QSvgAnimateColor,class QSvgAnimateColor &&,False,False,False,False,False,False,True
4,3,0x3,??0QSvgAnimateColor@@QEAA@AEBV0@@Z,public: __cdecl QSvgAnimateColor::QSvgAnimateColor(class QSvgAnimateColor const &),method,,QSvgAnimateColor,QSvgAnimateColor,class QSvgAnimateColor const &,False,False,False,False,False,False,True
5,4,0x4,??0QSvgAnimateColor@@QEAA@HHH@Z,"public: __cdecl QSvgAnimateColor::QSvgAnimateColor(int, int, int)",method,,QSvgAnimateColor,QSvgAnimateColor,"int, int, int",False,False,False,False,False,False,True
6,5,0x5,??0QSvgAnimateTransform@@QEAA@$$QEAV0@@Z,public: __cdecl QSvgAnimateTransform::QSvgAnimateTransform(class QSvgAnimateTransform &&),method,,QSvgAnimateTransform,QSvgAnimateTransform,class QSvgAnimateTransform &&,False,False,False,False,False,False,True
7,6,0x6,??0QSvgAnimateTransform@@QEAA@AEBV0@@Z,public: __cdecl QSvgAnimateTransform::QSvgAnimateTransform(class QSvgAnimateTransform const &),method,,QSvgAnimateTransform,QSvgAnimateTransform,class QSvgAnimateTransform const &,False,False,False,False,False,False,True
8,7,0x7,??0QSvgAnimateTransform@@QEAA@HHH@Z,"public: __cdecl QSvgAnimateTransform::QSvgAnimateTransform(int, int, int)",method,,QSvgAnimateTransform,QSvgAnimateTransform,"int, int, int",False,False,False,False,False,False,True
9,8,0x8,??0QSvgAnimation@@QEAA@$$QEAV0@@Z,public: __cdecl QSvgAnimation::QSvgAnimation(class QSvgAnimation &&),method,,QSvgAnimation,QSvgAnimation,class QSvgAnimation &&,False,False,False,False,False,False,True
10,9,0x9,??0QSvgAnimation@@QEAA@AEBV0@@Z,public: __cdecl QSvgAnimation::QSvgAnimation(class QSvgAnimation const &),method,,QSvgAnimation,QSvgAnimation,class QSvgAnimation const &,False,False,False,False,False,False,True
11,10,0xA,??0QSvgAnimation@@QEAA@XZ,public: __cdecl QSvgAnimation::QSvgAnimation(void),method,,QSvgAnimation,QSvgAnimation,void,False,False,False,False,False,False,True
12,11,0xB,??0QSvgArc@@QEAA@$$QEAV0@@Z,public: __cdecl QSvgArc::QSvgArc(class QSvgArc &&),method,,QSvgArc,QSvgArc,class QSvgArc &&,False,False,False,False,False,False,True
13,12,0xC,??0QSvgArc@@QEAA@AEBV0@@Z,public: __cdecl QSvgArc::QSvgArc(class QSvgArc const &),method,,QSvgArc,QSvgArc,class QSvgArc const &,False,False,False,False,False,False,True
14,13,0xD,??0QSvgArc@@QEAA@PEAVQSvgNode@@AEBVQPainterPath@@@Z,"public: __cdecl QSvgArc::QSvgArc(class QSvgNode *, class QPainterPath const &)",method,,QSvgArc,QSvgArc,"class QSvgNode *, class QPainterPath const &",False,False,False,False,False,False,True
15,14,0xE,??0QSvgCircle@@QEAA@$$QEAV0@@Z,public: __cdecl QSvgCircle::QSvgCircle(class QSvgCircle &&),method,,QSvgCircle,QSvgCircle,class QSvgCircle &&,False,False,False,False,False,False,True
16,15,0xF,??0QSvgCircle@@QEAA@AEBV0@@Z,public: __cdecl QSvgCircle::QSvgCircle(class QSvgCircle const &),method,,QSvgCircle,QSvgCircle,class QSvgCircle const &,False,False,False,False,False,False,True
17,16,0x10,??0QSvgCircle@@QEAA@PEAVQSvgNode@@AEBVQRectF@@@Z,"public: __cdecl QSvgCircle::QSvgCircle(class QSvgNode *, class QRectF const &)",method,,QSvgCircle,QSvgCircle,"class QSvgNode *, class QRectF const &",False,False,False,False,False,False,True
18,17,0x11,??0QSvgCompOpStyle@@QEAA@$$QEAV0@@Z,public: __cdecl QSvgCompOpStyle::QSvgCompOpStyle(class QSvgCompOpStyle &&),method,,QSvgCompOpStyle,QSvgCompOpStyle,class QSvgCompOpStyle &&,False,False,False,False,False,False,True
19,18,0x12,??0QSvgCompOpStyle@@QEAA@AEBV0@@Z,public: __cdecl QSvgCompOpStyle::QSvgCompOpStyle(class QSvgCompOpStyle const &),method,,QSvgCompOpStyle,QSvgCompOpStyle,class QSvgCompOpStyle const &,False,False,False,False,False,False,True
20,19,0x13,??0QSvgCompOpStyle@@QEAA@W4CompositionMode@QPainter@@@Z,public: __cdecl QSvgCompOpStyle::QSvgCompOpStyle(enum QPainter::CompositionMode),method,,QSvgCompOpStyle,QSvgCompOpStyle,enum QPainter::CompositionMode,False,False,False,False,False,False,True
21,20,0x14,??0QSvgDefs@@QEAA@$$QEAV0@@Z,public: __cdecl QSvgDefs::QSvgDefs(class QSvgDefs &&),method,,QSvgDefs,QSvgDefs,class QSvgDefs &&,False,False,False,False,False,False,True
22,21,0x15,??0QSvgDefs@@QEAA@AEBV0@@Z,public: __cdecl QSvgDefs::QSvgDefs(class QSvgDefs const &),method,,QSvgDefs,QSvgDefs,class QSvgDefs const &,False,False,False,False,False,False,True
23,22,0x16,??0QSvgDefs@@QEAA@PEAVQSvgNode@@@Z,public: __cdecl QSvgDefs::QSvgDefs(class QSvgNode *),method,,QSvgDefs,QSvgDefs,class QSvgNode *,False,False,False,False,False,False,True
24,23,0x17,??0QSvgEllipse@@QEAA@$$QEAV0@@Z,public: __cdecl QSvgEllipse::QSvgEllipse(class QSvgEllipse &&),method,,QSvgEllipse,QSvgEllipse,class QSvgEllipse &&,False,False,False,False,False,False,True
25,24,0x18,??0QSvgEllipse@@QEAA@AEBV0@@Z,public: __cdecl QSvgEllipse::QSvgEllipse(class QSvgEllipse const &),method,,QSvgEllipse,QSvgEllipse,class QSvgEllipse const &,False,False,False,False,False,False,True
26,25,0x19,??0QSvgEllipse@@QEAA@PEAVQSvgNode@@AEBVQRectF@@@Z,"public: __cdecl QSvgEllipse::QSvgEllipse(class QSvgNode *, class QRectF const &)",method,,QSvgEllipse,QSvgEllipse,"class QSvgNode *, class QRectF const &",False,False,False,False,False,False,True
27,26,0x1A,??0QSvgExtraStates@@QEAA@XZ,public: __cdecl QSvgExtraStates::QSvgExtraStates(void),method,,QSvgExtraStates,QSvgExtraStates,void,False,False,False,False,False,False,True
28,27,0x1B,??0QSvgFillStyle@@QEAA@$$QEAV0@@Z,public: __cdecl QSvgFillStyle::QSvgFillStyle(class QSvgFillStyle &&),method,,QSvgFillStyle,QSvgFillStyle,class QSvgFillStyle &&,False,False,False,False,False,False,True
29,28,0x1C,??0QSvgFillStyle@@QEAA@AEBV0@@Z,public: __cdecl QSvgFillStyle::QSvgFillStyle(class QSvgFillStyle const &),method,,QSvgFillStyle,QSvgFillStyle,class QSvgFillStyle const &,False,False,False,False,False,False,True
30,29,0x1D,??0QSvgFillStyle@@QEAA@XZ,public: __cdecl QSvgFillStyle::QSvgFillStyle(void),method,,QSvgFillStyle,QSvgFillStyle,void,False,False,False,False,False,False,True
31,30,0x1E,??0QSvgFillStyleProperty@@QEAA@$$QEAV0@@Z,public: __cdecl QSvgFillStyleProperty::QSvgFillStyleProperty(class QSvgFillStyleProperty &&),method,,QSvgFillStyleProperty,QSvgFillStyleProperty,class QSvgFillStyleProperty &&,False,False,False,False,False,False,True
32,31,0x1F,??0QSvgFillStyleProperty@@QEAA@AEBV0@@Z,public: __cdecl QSvgFillStyleProperty::QSvgFillStyleProperty(class QSvgFillStyleProperty const &),method,,QSvgFillStyleProperty,QSvgFillStyleProperty,class QSvgFillStyleProperty const &,False,False,False,False,False,False,True
33,32,0x20,??0QSvgFillStyleProperty@@QEAA@XZ,public: __cdecl QSvgFillStyleProperty::QSvgFillStyleProperty(void),method,,QSvgFillStyleProperty,QSvgFillStyleProperty,void,False,False,False,False,False,False,True
34,33,0x21,??0QSvgFont@@QEAA@$$QEAV0@@Z,public: __cdecl QSvgFont::QSvgFont(class QSvgFont &&),method,,QSvgFont,QSvgFont,class QSvgFont &&,False,False,False,False,False,False,True
35,34,0x22,??0QSvgFont@@QEAA@AEBV0@@Z,public: __cdecl QSvgFont::QSvgFont(class QSvgFont const &),method,,QSvgFont,QSvgFont,class QSvgFont const &,False,False,False,False,False,False,True
36,35,0x23,??0QSvgFont@@QEAA@N@Z,public: __cdecl QSvgFont::QSvgFont(double),method,,QSvgFont,QSvgFont,double,False,False,False,False,False,False,True
37,36,0x24,??0QSvgFontStyle@@QEAA@$$QEAV0@@Z,public: __cdecl QSvgFontStyle::QSvgFontStyle(class QSvgFontStyle &&),method,,QSvgFontStyle,QSvgFontStyle,class QSvgFontStyle &&,False,False,False,False,False,False,True
38,37,0x25,??0QSvgFontStyle@@QEAA@AEBV0@@Z,public: __cdecl QSvgFontStyle::QSvgFontStyle(class QSvgFontStyle const &),method,,QSvgFontStyle,QSvgFontStyle,class QSvgFontStyle const &,False,False,False,False,False,False,True
39,38,0x26,??0QSvgFontStyle@@QEAA@PEAVQSvgFont@@PEAVQSvgTinyDocument@@@Z,"public: __cdecl QSvgFontStyle::QSvgFontStyle(class QSvgFont *, class QSvgTinyDocument *)",method,,QSvgFontStyle,QSvgFontStyle,"class QSvgFont *, class QSvgTinyDocument *",False,False,False,False,False,False,True
40,39,0x27,??0QSvgFontStyle@@QEAA@XZ,public: __cdecl QSvgFontStyle::QSvgFontStyle(void),method,,QSvgFontStyle,QSvgFontStyle,void,False,False,False,False,False,False,True
41,40,0x28,??0QSvgG@@QEAA@$$QEAV0@@Z,public: __cdecl QSvgG::QSvgG(class QSvgG &&),method,,QSvgG,QSvgG,class QSvgG &&,False,False,False,False,False,False,True
42,41,0x29,??0QSvgG@@QEAA@AEBV0@@Z,public: __cdecl QSvgG::QSvgG(class QSvgG const &),method,,QSvgG,QSvgG,class QSvgG const &,False,False,False,False,False,False,True
43,42,0x2A,??0QSvgG@@QEAA@PEAVQSvgNode@@@Z,public: __cdecl QSvgG::QSvgG(class QSvgNode *),method,,QSvgG,QSvgG,class QSvgNode *,False,False,False,False,False,False,True
44,43,0x2B,??0QSvgGenerator@@QEAA@XZ,public: __cdecl QSvgGenerator::QSvgGenerator(void),method,,QSvgGenerator,QSvgGenerator,void,False,False,False,False,False,False,True
45,44,0x2C,??0QSvgGlyph@@QEAA@$$QEAV0@@Z,public: __cdecl QSvgGlyph::QSvgGlyph(class QSvgGlyph &&),method,,QSvgGlyph,QSvgGlyph,class QSvgGlyph &&,False,False,False,False,False,False,True
46,45,0x2D,??0QSvgGlyph@@QEAA@AEBV0@@Z,public: __cdecl QSvgGlyph::QSvgGlyph(class QSvgGlyph const &),method,,QSvgGlyph,QSvgGlyph,class QSvgGlyph const &,False,False,False,False,False,False,True
47,46,0x2E,??0QSvgGlyph@@QEAA@VQChar@@AEBVQPainterPath@@N@Z,"public: __cdecl QSvgGlyph::QSvgGlyph(class QChar, class QPainterPath const &, double)",method,,QSvgGlyph,QSvgGlyph,"class QChar, class QPainterPath const &, double",False,False,False,False,False,False,True
48,47,0x2F,??0QSvgGlyph@@QEAA@XZ,public: __cdecl QSvgGlyph::QSvgGlyph(void),method,,QSvgGlyph,QSvgGlyph,void,False,False,False,False,False,False,True
49,48,0x30,??0QSvgGradientStyle@@QEAA@AEBV0@@Z,public: __cdecl QSvgGradientStyle::QSvgGradientStyle(class QSvgGradientStyle const &),method,,QSvgGradientStyle,QSvgGradientStyle,class QSvgGradientStyle const &,False,False,False,False,False,False,True
50,49,0x31,??0QSvgGradientStyle@@QEAA@PEAVQGradient@@@Z,public: __cdecl QSvgGradientStyle::QSvgGradientStyle(class QGradient *),method,,QSvgGradientStyle,QSvgGradientStyle,class QGradient *,False,False,False,False,False,False,True
51,50,0x32,??0QSvgHandler@@QEAA@AEBV0@@Z,public: __cdecl QSvgHandler::QSvgHandler(class QSvgHandler const &),method,,QSvgHandler,QSvgHandler,class QSvgHandler const &,False,False,False,False,False,False,True
52,51,0x33,??0QSvgHandler@@QEAA@AEBVQByteArray@@@Z,public: __cdecl QSvgHandler::QSvgHandler(class QByteArray const &),method,,QSvgHandler,QSvgHandler,class QByteArray const &,False,False,False,False,False,False,True
53,52,0x34,??0QSvgHandler@@QEAA@PEAVQIODevice@@@Z,public: __cdecl QSvgHandler::QSvgHandler(class QIODevice *),method,,QSvgHandler,QSvgHandler,class QIODevice *,False,False,False,False,False,False,True
54,53,0x35,??0QSvgHandler@@QEAA@QEAVQXmlStreamReader@@@Z,public: __cdecl QSvgHandler::QSvgHandler(class QXmlStreamReader *const),method,,QSvgHandler,QSvgHandler,class QXmlStreamReader *const,False,False,False,False,False,False,True
55,54,0x36,??0QSvgImage@@QEAA@$$QEAV0@@Z,public: __cdecl QSvgImage::QSvgImage(class QSvgImage &&),method,,QSvgImage,QSvgImage,class QSvgImage &&,False,False,False,False,False,False,True
56,55,0x37,??0QSvgImage@@QEAA@AEBV0@@Z,public: __cdecl QSvgImage::QSvgImage(class QSvgImage const &),method,,QSvgImage,QSvgImage,class QSvgImage const &,False,False,False,False,False,False,True
57,56,0x38,??0QSvgImage@@QEAA@PEAVQSvgNode@@AEBVQImage@@AEBVQRectF@@@Z,"public: __cdecl QSvgImage::QSvgImage(class QSvgNode *, class QImage const &, class QRectF const &)",method,,QSvgImage,QSvgImage,"class QSvgNode *, class QImage const &, class QRectF const &",False,False,False,False,False,False,True
58,57,0x39,??0QSvgLine@@QEAA@$$QEAV0@@Z,public: __cdecl QSvgLine::QSvgLine(class QSvgLine &&),method,,QSvgLine,QSvgLine,class QSvgLine &&,False,False,False,False,False,False,True
59,58,0x3A,??0QSvgLine@@QEAA@AEBV0@@Z,public: __cdecl QSvgLine::QSvgLine(class QSvgLine const &),method,,QSvgLine,QSvgLine,class QSvgLine const &,False,False,False,False,False,False,True
60,59,0x3B,??0QSvgLine@@QEAA@PEAVQSvgNode@@AEBVQLineF@@@Z,"public: __cdecl QSvgLine::QSvgLine(class QSvgNode *, class QLineF const &)",method,,QSvgLine,QSvgLine,"class QSvgNode *, class QLineF const &",False,False,False,False,False,False,True
61,60,0x3C,??0QSvgNode@@QEAA@AEBV0@@Z,public: __cdecl QSvgNode::QSvgNode(class QSvgNode const &),method,,QSvgNode,QSvgNode,class QSvgNode const &,False,False,False,False,False,False,True
62,61,0x3D,??0QSvgNode@@QEAA@PEAV0@@Z,public: __cdecl QSvgNode::QSvgNode(class QSvgNode *),method,,QSvgNode,QSvgNode,class QSvgNode *,False,False,False,False,False,False,True
63,62,0x3E,??0QSvgOpacityStyle@@QEAA@$$QEAV0@@Z,public: __cdecl QSvgOpacityStyle::QSvgOpacityStyle(class QSvgOpacityStyle &&),method,,QSvgOpacityStyle,QSvgOpacityStyle,class QSvgOpacityStyle &&,False,False,False,False,False,False,True
64,63,0x3F,??0QSvgOpacityStyle@@QEAA@AEBV0@@Z,public: __cdecl QSvgOpacityStyle::QSvgOpacityStyle(class QSvgOpacityStyle const &),method,,QSvgOpacityStyle,QSvgOpacityStyle,class QSvgOpacityStyle const &,False,False,False,False,False,False,True
65,64,0x40,??0QSvgOpacityStyle@@QEAA@N@Z,public: __cdecl QSvgOpacityStyle::QSvgOpacityStyle(double),method,,QSvgOpacityStyle,QSvgOpacityStyle,double,False,False,False,False,False,False,True
66,65,0x41,??0QSvgPath@@QEAA@$$QEAV0@@Z,public: __cdecl QSvgPath::QSvgPath(class QSvgPath &&),method,,QSvgPath,QSvgPath,class QSvgPath &&,False,False,False,False,False,False,True
67,66,0x42,??0QSvgPath@@QEAA@AEBV0@@Z,public: __cdecl QSvgPath::QSvgPath(class QSvgPath const &),method,,QSvgPath,QSvgPath,class QSvgPath const &,False,False,False,False,False,False,True
68,67,0x43,??0QSvgPath@@QEAA@PEAVQSvgNode@@AEBVQPainterPath@@@Z,"public: __cdecl QSvgPath::QSvgPath(class QSvgNode *, class QPainterPath const &)",method,,QSvgPath,QSvgPath,"class QSvgNode *, class QPainterPath const &",False,False,False,False,False,False,True
69,68,0x44,??0QSvgPolygon@@QEAA@$$QEAV0@@Z,public: __cdecl QSvgPolygon::QSvgPolygon(class QSvgPolygon &&),method,,QSvgPolygon,QSvgPolygon,class QSvgPolygon &&,False,False,False,False,False,False,True
70,69,0x45,??0QSvgPolygon@@QEAA@AEBV0@@Z,public: __cdecl QSvgPolygon::QSvgPolygon(class QSvgPolygon const &),method,,QSvgPolygon,QSvgPolygon,class QSvgPolygon const &,False,False,False,False,False,False,True
71,70,0x46,??0QSvgPolygon@@QEAA@PEAVQSvgNode@@AEBVQPolygonF@@@Z,"public: __cdecl QSvgPolygon::QSvgPolygon(class QSvgNode *, class QPolygonF const &)",method,,QSvgPolygon,QSvgPolygon,"class QSvgNode *, class QPolygonF const &",False,False,False,False,False,False,True
72,71,0x47,??0QSvgPolyline@@QEAA@$$QEAV0@@Z,public: __cdecl QSvgPolyline::QSvgPolyline(class QSvgPolyline &&),method,,QSvgPolyline,QSvgPolyline,class QSvgPolyline &&,False,False,False,False,False,False,True
73,72,0x48,??0QSvgPolyline@@QEAA@AEBV0@@Z,public: __cdecl QSvgPolyline::QSvgPolyline(class QSvgPolyline const &),method,,QSvgPolyline,QSvgPolyline,class QSvgPolyline const &,False,False,False,False,False,False,True
74,73,0x49,??0QSvgPolyline@@QEAA@PEAVQSvgNode@@AEBVQPolygonF@@@Z,"public: __cdecl QSvgPolyline::QSvgPolyline(class QSvgNode *, class QPolygonF const &)",method,,QSvgPolyline,QSvgPolyline,"class QSvgNode *, class QPolygonF const &",False,False,False,False,False,False,True
75,74,0x4A,??0QSvgQualityStyle@@QEAA@$$QEAV0@@Z,public: __cdecl QSvgQualityStyle::QSvgQualityStyle(class QSvgQualityStyle &&),method,,QSvgQualityStyle,QSvgQualityStyle,class QSvgQualityStyle &&,False,False,False,False,False,False,True
