ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0QAbstractButton@@IEAA@AEAVQAbstractButtonPrivate@@PEAVQWidget@@@Z,"protected: __cdecl QAbstractButton::QAbstractButton(class QAbstractButtonPrivate &, class QWidget *)",method,,QAbstractButton,QAbstractButton,"class QAbstractButtonPrivate &, class QWidget *",False,False,False,False,False,False,True
2,1,0x1,??0QAbstractButton@@QEAA@PEAVQWidget@@@Z,public: __cdecl QAbstractButton::QAbstractButton(class QWidget *),method,,QAbstractButton,QAbstractButton,class QWidget *,False,False,False,False,False,False,True
3,2,0x2,??0QAbstractGraphicsShapeItem@@IEAA@AEAVQAbstractGraphicsShapeItemPrivate@@PEAVQGraphicsItem@@@Z,"protected: __cdecl QAbstractGraphicsShapeItem::QAbstractGraphicsShapeItem(class QAbstractGraphicsShapeItemPrivate &, class QGraphicsItem *)",method,,QAbstractGraphicsShapeItem,QAbstractGraphicsShapeItem,"class QAbstractGraphicsShapeItemPrivate &, class QGraphicsItem *",False,False,False,False,False,False,True
4,3,0x3,??0QAbstractGraphicsShapeItem@@QEAA@PEAVQGraphicsItem@@@Z,public: __cdecl QAbstractGraphicsShapeItem::QAbstractGraphicsShapeItem(class QGraphicsItem *),method,,QAbstractGraphicsShapeItem,QAbstractGraphicsShapeItem,class QGraphicsItem *,False,False,False,False,False,False,True
5,4,0x4,??0QAbstractItemDelegate@@IEAA@AEAVQObjectPrivate@@PEAVQObject@@@Z,"protected: __cdecl QAbstractItemDelegate::QAbstractItemDelegate(class QObjectPrivate &, class QObject *)",method,,QAbstractItemDelegate,QAbstractItemDelegate,"class QObjectPrivate &, class QObject *",False,False,False,False,False,False,True
6,5,0x5,??0QAbstractItemDelegate@@QEAA@PEAVQObject@@@Z,public: __cdecl QAbstractItemDelegate::QAbstractItemDelegate(class QObject *),method,,QAbstractItemDelegate,QAbstractItemDelegate,class QObject *,False,False,False,False,False,False,True
7,6,0x6,??0QAbstractItemView@@IEAA@AEAVQAbstractItemViewPrivate@@PEAVQWidget@@@Z,"protected: __cdecl QAbstractItemView::QAbstractItemView(class QAbstractItemViewPrivate &, class QWidget *)",method,,QAbstractItemView,QAbstractItemView,"class QAbstractItemViewPrivate &, class QWidget *",False,False,False,False,False,False,True
8,7,0x7,??0QAbstractItemView@@QEAA@PEAVQWidget@@@Z,public: __cdecl QAbstractItemView::QAbstractItemView(class QWidget *),method,,QAbstractItemView,QAbstractItemView,class QWidget *,False,False,False,False,False,False,True
9,8,0x8,??0QAbstractScrollArea@@IEAA@AEAVQAbstractScrollAreaPrivate@@PEAVQWidget@@@Z,"protected: __cdecl QAbstractScrollArea::QAbstractScrollArea(class QAbstractScrollAreaPrivate &, class QWidget *)",method,,QAbstractScrollArea,QAbstractScrollArea,"class QAbstractScrollAreaPrivate &, class QWidget *",False,False,False,False,False,False,True
10,9,0x9,??0QAbstractScrollArea@@QEAA@PEAVQWidget@@@Z,public: __cdecl QAbstractScrollArea::QAbstractScrollArea(class QWidget *),method,,QAbstractScrollArea,QAbstractScrollArea,class QWidget *,False,False,False,False,False,False,True
11,10,0xA,??0QAbstractScrollAreaPrivate@@QEAA@XZ,public: __cdecl QAbstractScrollAreaPrivate::QAbstractScrollAreaPrivate(void),method,,QAbstractScrollAreaPrivate,QAbstractScrollAreaPrivate,void,False,False,False,False,False,False,True
12,11,0xB,??0QAbstractSlider@@IEAA@AEAVQAbstractSliderPrivate@@PEAVQWidget@@@Z,"protected: __cdecl QAbstractSlider::QAbstractSlider(class QAbstractSliderPrivate &, class QWidget *)",method,,QAbstractSlider,QAbstractSlider,"class QAbstractSliderPrivate &, class QWidget *",False,False,False,False,False,False,True
13,12,0xC,??0QAbstractSlider@@QEAA@PEAVQWidget@@@Z,public: __cdecl QAbstractSlider::QAbstractSlider(class QWidget *),method,,QAbstractSlider,QAbstractSlider,class QWidget *,False,False,False,False,False,False,True
14,13,0xD,??0QAbstractSpinBox@@IEAA@AEAVQAbstractSpinBoxPrivate@@PEAVQWidget@@@Z,"protected: __cdecl QAbstractSpinBox::QAbstractSpinBox(class QAbstractSpinBoxPrivate &, class QWidget *)",method,,QAbstractSpinBox,QAbstractSpinBox,"class QAbstractSpinBoxPrivate &, class QWidget *",False,False,False,False,False,False,True
15,14,0xE,??0QAbstractSpinBox@@QEAA@PEAVQWidget@@@Z,public: __cdecl QAbstractSpinBox::QAbstractSpinBox(class QWidget *),method,,QAbstractSpinBox,QAbstractSpinBox,class QWidget *,False,False,False,False,False,False,True
16,15,0xF,??0QAccessibleWidget@@QEAA@PEAVQWidget@@W4Role@QAccessible@@AEBVQString@@@Z,"public: __cdecl QAccessibleWidget::QAccessibleWidget(class QWidget *, enum QAccessible::Role, class QString const &)",method,,QAccessibleWidget,QAccessibleWidget,"class QWidget *, enum QAccessible::Role, class QString const &",False,False,False,False,False,False,True
17,16,0x10,??0QAction@@IEAA@AEAVQActionPrivate@@PEAVQObject@@@Z,"protected: __cdecl QAction::QAction(class QActionPrivate &, class QObject *)",method,,QAction,QAction,"class QActionPrivate &, class QObject *",False,False,False,False,False,False,True
18,17,0x11,??0QAction@@QEAA@AEBVQIcon@@AEBVQString@@PEAVQObject@@@Z,"public: __cdecl QAction::QAction(class QIcon const &, class QString const &, class QObject *)",method,,QAction,QAction,"class QIcon const &, class QString const &, class QObject *",False,False,False,False,False,False,True
19,18,0x12,??0QAction@@QEAA@AEBVQString@@PEAVQObject@@@Z,"public: __cdecl QAction::QAction(class QString const &, class QObject *)",method,,QAction,QAction,"class QString const &, class QObject *",False,False,False,False,False,False,True
20,19,0x13,??0QAction@@QEAA@PEAVQObject@@@Z,public: __cdecl QAction::QAction(class QObject *),method,,QAction,QAction,class QObject *,False,False,False,False,False,False,True
21,20,0x14,??0QActionGroup@@QEAA@PEAVQObject@@@Z,public: __cdecl QActionGroup::QActionGroup(class QObject *),method,,QActionGroup,QActionGroup,class QObject *,False,False,False,False,False,False,True
22,21,0x15,??0QActionPrivate@@QEAA@XZ,public: __cdecl QActionPrivate::QActionPrivate(void),method,,QActionPrivate,QActionPrivate,void,False,False,False,False,False,False,True
23,22,0x16,??0QApplication@@QEAA@AEAHPEAPEADH@Z,"public: __cdecl QApplication::QApplication(int &, char **, int)",method,,QApplication,QApplication,"int &, char **, int",False,False,False,False,False,False,True
24,23,0x17,??0QApplicationPrivate@@QEAA@AEAHPEAPEADH@Z,"public: __cdecl QApplicationPrivate::QApplicationPrivate(int &, char **, int)",method,,QApplicationPrivate,QApplicationPrivate,"int &, char **, int",False,False,False,False,False,False,True
