ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0QDomAttr@@AEAA@PEAVQDomAttrPrivate@@@Z,private: __cdecl QDomAttr::QDomAttr(class QDomAttrPrivate *),method,,QDomAttr,QDomAttr,class QDomAttrPrivate *,False,False,False,False,False,False,True
2,1,0x1,??0QDomAttr@@QEAA@AEBV0@@Z,public: __cdecl QDomAttr::QDomAttr(class QDomAttr const &),method,,QDomAttr,QDomAttr,class QDomAttr const &,False,False,False,False,False,False,True
3,2,0x2,??0QDomAttr@@QEAA@XZ,public: __cdecl QDomAttr::QDomAttr(void),method,,QDomAttr,QDomAttr,void,False,False,False,False,False,False,True
4,3,0x3,??0QDomCDATASection@@AEAA@PEAVQDomCDATASectionPrivate@@@Z,private: __cdecl QDomCDATASection::QDomCDATASection(class QDomCDATASectionPrivate *),method,,QDomCDATASection,QDomCDATASection,class QDomCDATASectionPrivate *,False,False,False,False,False,False,True
5,4,0x4,??0QDomCDATASection@@QEAA@AEBV0@@Z,public: __cdecl QDomCDATASection::QDomCDATASection(class QDomCDATASection const &),method,,QDomCDATASection,QDomCDATASection,class QDomCDATASection const &,False,False,False,False,False,False,True
6,5,0x5,??0QDomCDATASection@@QEAA@XZ,public: __cdecl QDomCDATASection::QDomCDATASection(void),method,,QDomCDATASection,QDomCDATASection,void,False,False,False,False,False,False,True
7,6,0x6,??0QDomCharacterData@@AEAA@PEAVQDomCharacterDataPrivate@@@Z,private: __cdecl QDomCharacterData::QDomCharacterData(class QDomCharacterDataPrivate *),method,,QDomCharacterData,QDomCharacterData,class QDomCharacterDataPrivate *,False,False,False,False,False,False,True
8,7,0x7,??0QDomCharacterData@@QEAA@AEBV0@@Z,public: __cdecl QDomCharacterData::QDomCharacterData(class QDomCharacterData const &),method,,QDomCharacterData,QDomCharacterData,class QDomCharacterData const &,False,False,False,False,False,False,True
9,8,0x8,??0QDomCharacterData@@QEAA@XZ,public: __cdecl QDomCharacterData::QDomCharacterData(void),method,,QDomCharacterData,QDomCharacterData,void,False,False,False,False,False,False,True
10,9,0x9,??0QDomComment@@AEAA@PEAVQDomCommentPrivate@@@Z,private: __cdecl QDomComment::QDomComment(class QDomCommentPrivate *),method,,QDomComment,QDomComment,class QDomCommentPrivate *,False,False,False,False,False,False,True
