ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,SDL_AddEventWatch,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,SDL_AddHintCallback,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,SDL_AddTimer,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,SDL_AllocFormat,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,SDL_AllocPalette,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,SDL_AllocRW,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,SDL_AtomicAdd,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,SDL_AtomicCAS,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,SDL_AtomicCASPtr,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,SDL_AtomicGet,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,SDL_AtomicGetPtr,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,SDL_AtomicLock,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,SDL_AtomicSet,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,SDL_AtomicSetPtr,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,SDL_AtomicTryLock,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,SDL_AtomicUnlock,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,SDL_AudioInit,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,SDL_AudioQuit,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,SDL_AudioStreamAvailable,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,SDL_AudioStreamClear,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,SDL_AudioStreamFlush,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,SDL_AudioStreamGet,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,SDL_AudioStreamPut,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,SDL_BuildAudioCVT,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,SDL_CalculateGammaRamp,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,SDL_CaptureMouse,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,SDL_ClearError,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,SDL_ClearHints,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,SDL_ClearQueuedAudio,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,SDL_CloseAudio,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,SDL_CloseAudioDevice,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,SDL_ComposeCustomBlendMode,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,SDL_CondBroadcast,,unknown,,,,,False,False,False,False,False,False,False
34,33,0x21,SDL_CondSignal,,unknown,,,,,False,False,False,False,False,False,False
35,34,0x22,SDL_CondWait,,unknown,,,,,False,False,False,False,False,False,False
36,35,0x23,SDL_CondWaitTimeout,,unknown,,,,,False,False,False,False,False,False,False
37,36,0x24,SDL_ConvertAudio,,unknown,,,,,False,False,False,False,False,False,False
38,37,0x25,SDL_ConvertPixels,,unknown,,,,,False,False,False,False,False,False,False
39,38,0x26,SDL_ConvertSurface,,unknown,,,,,False,False,False,False,False,False,False
40,39,0x27,SDL_ConvertSurfaceFormat,,unknown,,,,,False,False,False,False,False,False,False
41,40,0x28,SDL_CreateColorCursor,,unknown,,,,,False,False,False,False,False,False,False
42,41,0x29,SDL_CreateCond,,unknown,,,,,False,False,False,False,False,False,False
43,42,0x2A,SDL_CreateCursor,,unknown,,,,,False,False,False,False,False,False,False
44,43,0x2B,SDL_CreateMutex,,unknown,,,,,False,False,False,False,False,False,False
45,44,0x2C,SDL_CreateRGBSurface,,unknown,,,,,False,False,False,False,False,False,False
46,45,0x2D,SDL_CreateRGBSurfaceFrom,,unknown,,,,,False,False,False,False,False,False,False
47,46,0x2E,SDL_CreateRGBSurfaceWithFormat,,unknown,,,,,False,False,False,False,False,False,False
48,47,0x2F,SDL_CreateRGBSurfaceWithFormatFrom,,unknown,,,,,False,False,False,False,False,False,False
49,48,0x30,SDL_CreateRenderer,,unknown,,,,,False,False,False,False,False,False,False
50,49,0x31,SDL_CreateSemaphore,,unknown,,,,,False,False,False,False,False,False,False
51,50,0x32,SDL_CreateShapedWindow,,unknown,,,,,False,False,False,False,False,False,False
52,51,0x33,SDL_CreateSoftwareRenderer,,unknown,,,,,False,False,False,False,False,False,False
53,52,0x34,SDL_CreateSystemCursor,,unknown,,,,,False,False,False,False,False,False,False
54,53,0x35,SDL_CreateTexture,,unknown,,,,,False,False,False,False,False,False,False
55,54,0x36,SDL_CreateTextureFromSurface,,unknown,,,,,False,False,False,False,False,False,False
56,55,0x37,SDL_CreateThread,,unknown,,,,,False,False,False,False,False,False,False
57,56,0x38,SDL_CreateThreadWithStackSize,,unknown,,,,,False,False,False,False,False,False,False
58,57,0x39,SDL_CreateWindow,,unknown,,,,,False,False,False,False,False,False,False
59,58,0x3A,SDL_CreateWindowAndRenderer,,unknown,,,,,False,False,False,False,False,False,False
60,59,0x3B,SDL_CreateWindowFrom,,unknown,,,,,False,False,False,False,False,False,False
61,60,0x3C,SDL_DXGIGetOutputInfo,,unknown,,,,,False,False,False,False,False,False,False
62,61,0x3D,SDL_DYNAPI_entry,,unknown,,,,,False,False,False,False,False,False,False
63,62,0x3E,SDL_DelEventWatch,,unknown,,,,,False,False,False,False,False,False,False
64,63,0x3F,SDL_DelHintCallback,,unknown,,,,,False,False,False,False,False,False,False
65,64,0x40,SDL_Delay,,unknown,,,,,False,False,False,False,False,False,False
66,65,0x41,SDL_DequeueAudio,,unknown,,,,,False,False,False,False,False,False,False
67,66,0x42,SDL_DestroyCond,,unknown,,,,,False,False,False,False,False,False,False
68,67,0x43,SDL_DestroyMutex,,unknown,,,,,False,False,False,False,False,False,False
69,68,0x44,SDL_DestroyRenderer,,unknown,,,,,False,False,False,False,False,False,False
70,69,0x45,SDL_DestroySemaphore,,unknown,,,,,False,False,False,False,False,False,False
71,70,0x46,SDL_DestroyTexture,,unknown,,,,,False,False,False,False,False,False,False
72,71,0x47,SDL_DestroyWindow,,unknown,,,,,False,False,False,False,False,False,False
73,72,0x48,SDL_DetachThread,,unknown,,,,,False,False,False,False,False,False,False
