ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0?$SceneBase@UObjectCollections@DCSDemoSceneCollections@@ULightCollections@2@@Graphics@@QEAA@PEAUISceneParsable@render@@@Z,"public: __cdecl Graphics::SceneBase<struct DCSDemoSceneCollections::ObjectCollections, struct DCSDemoSceneCollections::LightCollections>::SceneBase<struct DCSDemoSceneCollections::ObjectCollections, struct DCSDemoSceneCollections::LightCollections>(struct render::ISceneParsable *)",method,,DCSDemoSceneCollections,LightCollections>,struct render::ISceneParsable *,False,False,False,False,False,False,True
2,1,0x1,??0?$SceneBase@UObjectCollections@DCSSceneCollections@@ULightCollections@2@@Graphics@@QEAA@PEAUISceneParsable@render@@@Z,"public: __cdecl Graphics::SceneBase<struct DCSSceneCollections::ObjectCollections, struct DCSSceneCollections::LightCollections>::SceneBase<struct DCSSceneCollections::ObjectCollections, struct DCSSceneCollections::LightCollections>(struct render::ISceneParsable *)",method,,DCSSceneCollections,LightCollections>,struct render::ISceneParsable *,False,False,False,False,False,False,True
3,2,0x2,??0DCSDemoScene@@QEAA@PEAUISceneParsable@render@@@Z,public: __cdecl DCSDemoScene::DCSDemoScene(struct render::ISceneParsable *),method,,DCSDemoScene,DCSDemoScene,struct render::ISceneParsable *,False,False,False,False,False,False,True
4,3,0x3,??0DCSDemoScene@@QEAA@XZ,public: __cdecl DCSDemoScene::DCSDemoScene(void),method,,DCSDemoScene,DCSDemoScene,void,False,False,False,False,False,False,True
5,4,0x4,??0DCSScene@@QEAA@PEAUISceneParsable@render@@@Z,public: __cdecl DCSScene::DCSScene(struct render::ISceneParsable *),method,,DCSScene,DCSScene,struct render::ISceneParsable *,False,False,False,False,False,False,True
6,5,0x5,??0DCSScene@@QEAA@XZ,public: __cdecl DCSScene::DCSScene(void),method,,DCSScene,DCSScene,void,False,False,False,False,False,False,True
7,6,0x6,??1?$SceneBase@UObjectCollections@DCSDemoSceneCollections@@ULightCollections@2@@Graphics@@UEAA@XZ,"public: virtual __cdecl Graphics::SceneBase<struct DCSDemoSceneCollections::ObjectCollections, struct DCSDemoSceneCollections::LightCollections>::~SceneBase<struct DCSDemoSceneCollections::ObjectCollections, struct DCSDemoSceneCollections::LightCollections>(void)",method,,DCSDemoSceneCollections,LightCollections>,void,False,False,True,False,False,False,True
8,7,0x7,??1?$SceneBase@UObjectCollections@DCSSceneCollections@@ULightCollections@2@@Graphics@@UEAA@XZ,"public: virtual __cdecl Graphics::SceneBase<struct DCSSceneCollections::ObjectCollections, struct DCSSceneCollections::LightCollections>::~SceneBase<struct DCSSceneCollections::ObjectCollections, struct DCSSceneCollections::LightCollections>(void)",method,,DCSSceneCollections,LightCollections>,void,False,False,True,False,False,False,True
9,8,0x8,??1DCSDemoScene@@UEAA@XZ,public: virtual __cdecl DCSDemoScene::~DCSDemoScene(void),method,,DCSDemoScene,~DCSDemoScene,void,False,False,True,False,False,False,True
10,9,0x9,??1DCSScene@@UEAA@XZ,public: virtual __cdecl DCSScene::~DCSScene(void),method,,DCSScene,~DCSScene,void,False,False,True,False,False,False,True
11,10,0xA,??_7?$SceneBase@UObjectCollections@DCSDemoSceneCollections@@ULightCollections@2@@Graphics@@6BISceneObjectsProvider@render@@@,"const Graphics::SceneBase<struct DCSDemoSceneCollections::ObjectCollections, struct DCSDemoSceneCollections::LightCollections>::`vftable'{for `render::ISceneObjectsProvider'}",vftable,,,,,False,False,False,True,False,False,True
12,11,0xB,??_7?$SceneBase@UObjectCollections@DCSDemoSceneCollections@@ULightCollections@2@@Graphics@@6BIView@SceneAggregator@1@@,"const Graphics::SceneBase<struct DCSDemoSceneCollections::ObjectCollections, struct DCSDemoSceneCollections::LightCollections>::`vftable'{for `Graphics::SceneAggregator::IView'}",vftable,,,,,False,False,False,True,False,False,True
