ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0BRDFRenderer@@QEAA@XZ,public: __cdecl BRDFRenderer::BRDFRenderer(void),method,,BRDFRenderer,BRDFRenderer,void,False,False,False,False,False,False,True
2,1,0x1,??0DCSSceneRenderer@@QEAA@XZ,public: __cdecl DCSSceneRenderer::DCSSceneRenderer(void),method,,DCSSceneRenderer,DCSSceneRenderer,void,False,False,False,False,False,False,True
3,2,0x2,??1BRDFRenderer@@UEAA@XZ,public: virtual __cdecl BRDFRenderer::~BRDFRenderer(void),method,,BRDFRenderer,~BRDFRenderer,void,False,False,True,False,False,False,True
4,3,0x3,??1DCSSceneRenderer@@QEAA@XZ,public: __cdecl DCSSceneRenderer::~DCSSceneRenderer(void),method,,DCSSceneRenderer,~DCSSceneRenderer,void,False,False,False,False,False,False,True
5,4,0x4,?addAuxViewport@DCSSceneRenderer@@QEAAXAEBUSceneViewportInitializer@render@@PEBD@Z,"public: void __cdecl DCSSceneRenderer::addAuxViewport(struct render::SceneViewportInitializer const &, char const *)",method,,DCSSceneRenderer,addAuxViewport,"struct render::SceneViewportInitializer const &, char const *",False,False,False,False,False,False,True
6,5,0x5,?bakeBRDF@BRDFRenderer@@QEAAXAEBUBRDFDesc@1@AEBUISceneObjectsProvider@render@@I@Z,"public: void __cdecl BRDFRenderer::bakeBRDF(struct BRDFRenderer::BRDFDesc const &, struct render::ISceneObjectsProvider const &, unsigned int)",method,,BRDFRenderer,bakeBRDF,"struct BRDFRenderer::BRDFDesc const &, struct render::ISceneObjectsProvider const &, unsigned int",False,False,False,False,False,False,True
7,6,0x6,?bakeRenderGraph@BRDFRenderer@@QEAAXAEBUBakeParams@RenderGraph@render@@@Z,public: void __cdecl BRDFRenderer::bakeRenderGraph(struct render::RenderGraph::BakeParams const &),method,,BRDFRenderer,bakeRenderGraph,struct render::RenderGraph::BakeParams const &,False,False,False,False,False,False,True
8,7,0x7,?bakeRenderGraph@DCSSceneRenderer@@QEAAXAEBUBakeParams@RenderGraph@render@@@Z,public: void __cdecl DCSSceneRenderer::bakeRenderGraph(struct render::RenderGraph::BakeParams const &),method,,DCSSceneRenderer,bakeRenderGraph,struct render::RenderGraph::BakeParams const &,False,False,False,False,False,False,True
9,8,0x8,?buildDemoSceneRenderGraph@DCSSceneRenderer@@QEAAXPEAXAEBUDCSDemoSceneFrameDesc@@PEBVVec3d@osg@@@Z,"public: void __cdecl DCSSceneRenderer::buildDemoSceneRenderGraph(void *, struct DCSDemoSceneFrameDesc const &, class osg::Vec3d const *)",method,,DCSSceneRenderer,buildDemoSceneRenderGraph,"void *, struct DCSDemoSceneFrameDesc const &, class osg::Vec3d const *",False,False,False,False,False,False,True
10,9,0x9,?buildRenderGraph@BRDFRenderer@@QEAAXAEBUBRDFDesc@1@AEBVVec3f@osg@@V?$span@$$CBUViewSample@BRDFRenderer@@$0?0@ed@@@Z,"public: void __cdecl BRDFRenderer::buildRenderGraph(struct BRDFRenderer::BRDFDesc const &, class osg::Vec3f const &, class ed::span<struct BRDFRenderer::ViewSample const, -1>)",method,,BRDFRenderer,buildRenderGraph,"struct BRDFRenderer::BRDFDesc const &, class osg::Vec3f const &, class ed::span<struct BRDFRenderer::ViewSample const, -1>",False,False,False,False,False,False,True
11,10,0xA,?buildRenderGraph@DCSSceneRenderer@@QEAAXAEBUDCSFrameDesc@@@Z,public: void __cdecl DCSSceneRenderer::buildRenderGraph(struct DCSFrameDesc const &),method,,DCSSceneRenderer,buildRenderGraph,struct DCSFrameDesc const &,False,False,False,False,False,False,True
12,11,0xB,?buildRenderGraphWithAuxColorBuffersOnly@DCSSceneRenderer@@QEAAXAEBUDCSFrameDesc@@@Z,public: void __cdecl DCSSceneRenderer::buildRenderGraphWithAuxColorBuffersOnly(struct DCSFrameDesc const &),method,,DCSSceneRenderer,buildRenderGraphWithAuxColorBuffersOnly,struct DCSFrameDesc const &,False,False,False,False,False,False,True
13,12,0xC,?createDemoSceneModule@DCSSceneRenderer@@QEAAPEAXPEBD@Z,public: void * __cdecl DCSSceneRenderer::createDemoSceneModule(char const *),method,,DCSSceneRenderer,createDemoSceneModule,char const *,False,False,False,False,False,False,True
14,13,0xD,?deleteDemoSceneModule@DCSSceneRenderer@@QEAAXPEAX@Z,public: void __cdecl DCSSceneRenderer::deleteDemoSceneModule(void *),method,,DCSSceneRenderer,deleteDemoSceneModule,void *,False,False,False,False,False,False,True
