ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0AircraftSounder@Sound@@QEAA@XZ,public: __cdecl Sound::AircraftSounder::AircraftSounder(void),method,Sound,AircraftSounder,AircraftSounder,void,False,False,False,False,False,False,True
2,1,0x1,??0Sounder_AH_1W_Base@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_AH_1W_Base::Sounder_AH_1W_Base(void),method,Sound,Sounder_AH_1W_Base,Sounder_AH_1W_Base,void,False,False,False,False,False,False,True
3,2,0x2,??0Sounder_AH_64D_BLK_II@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_AH_64D_BLK_II::Sounder_AH_64D_BLK_II(void),method,Sound,Sounder_AH_64D_BLK_II,Sounder_AH_64D_BLK_II,void,False,False,False,False,False,False,True
4,3,0x3,??0Sounder_AH_64_Base@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_AH_64_Base::Sounder_AH_64_Base(void),method,Sound,Sounder_AH_64_Base,Sounder_AH_64_Base,void,False,False,False,False,False,False,True
5,4,0x4,??0Sounder_AI25TL@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_AI25TL::Sounder_AI25TL(void),method,Sound,Sounder_AI25TL,Sounder_AI25TL,void,False,False,False,False,False,False,True
6,5,0x5,??0Sounder_A_10@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_A_10::Sounder_A_10(void),method,Sound,Sounder_A_10,Sounder_A_10,void,False,False,False,False,False,False,True
7,6,0x6,??0Sounder_A_10A@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_A_10A::Sounder_A_10A(void),method,Sound,Sounder_A_10A,Sounder_A_10A,void,False,False,False,False,False,False,True
8,7,0x7,??0Sounder_A_10C@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_A_10C::Sounder_A_10C(void),method,Sound,Sounder_A_10C,Sounder_A_10C,void,False,False,False,False,False,False,True
9,8,0x8,??0Sounder_A_10C_II@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_A_10C_II::Sounder_A_10C_II(void),method,Sound,Sounder_A_10C_II,Sounder_A_10C_II,void,False,False,False,False,False,False,True
10,9,0x9,??0Sounder_A_20@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_A_20::Sounder_A_20(void),method,Sound,Sounder_A_20,Sounder_A_20,void,False,False,False,False,False,False,True
11,10,0xA,??0Sounder_A_20G@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_A_20G::Sounder_A_20G(void),method,Sound,Sounder_A_20G,Sounder_A_20G,void,False,False,False,False,False,False,True
12,11,0xB,??0Sounder_BMW_801D@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_BMW_801D::Sounder_BMW_801D(void),method,Sound,Sounder_BMW_801D,Sounder_BMW_801D,void,False,False,False,False,False,False,True
13,12,0xC,??0Sounder_B_17@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_B_17::Sounder_B_17(void),method,Sound,Sounder_B_17,Sounder_B_17,void,False,False,False,False,False,False,True
14,13,0xD,??0Sounder_B_17G@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_B_17G::Sounder_B_17G(void),method,Sound,Sounder_B_17G,Sounder_B_17G,void,False,False,False,False,False,False,True
15,14,0xE,??0Sounder_B_1B@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_B_1B::Sounder_B_1B(void),method,Sound,Sounder_B_1B,Sounder_B_1B,void,False,False,False,False,False,False,True
16,15,0xF,??0Sounder_B_1_Base@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_B_1_Base::Sounder_B_1_Base(void),method,Sound,Sounder_B_1_Base,Sounder_B_1_Base,void,False,False,False,False,False,False,True
17,16,0x10,??0Sounder_B_52H@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_B_52H::Sounder_B_52H(void),method,Sound,Sounder_B_52H,Sounder_B_52H,void,False,False,False,False,False,False,True
18,17,0x11,??0Sounder_B_52_Base@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_B_52_Base::Sounder_B_52_Base(void),method,Sound,Sounder_B_52_Base,Sounder_B_52_Base,void,False,False,False,False,False,False,True
19,18,0x12,??0Sounder_Bf_109K_4@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_Bf_109K_4::Sounder_Bf_109K_4(void),method,Sound,Sounder_Bf_109K_4,Sounder_Bf_109K_4,void,False,False,False,False,False,False,True
20,19,0x13,??0Sounder_CH_47D_CHINOOK@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_CH_47D_CHINOOK::Sounder_CH_47D_CHINOOK(void),method,Sound,Sounder_CH_47D_CHINOOK,Sounder_CH_47D_CHINOOK,void,False,False,False,False,False,False,True
21,20,0x14,??0Sounder_CH_47Fbl1@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_CH_47Fbl1::Sounder_CH_47Fbl1(void),method,Sound,Sounder_CH_47Fbl1,Sounder_CH_47Fbl1,void,False,False,False,False,False,False,True
22,21,0x15,??0Sounder_CH_47_Base@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_CH_47_Base::Sounder_CH_47_Base(void),method,Sound,Sounder_CH_47_Base,Sounder_CH_47_Base,void,False,False,False,False,False,False,True
23,22,0x16,??0Sounder_CH_53_Base@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_CH_53_Base::Sounder_CH_53_Base(void),method,Sound,Sounder_CH_53_Base,Sounder_CH_53_Base,void,False,False,False,False,False,False,True
24,23,0x17,??0Sounder_C_17A@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_C_17A::Sounder_C_17A(void),method,Sound,Sounder_C_17A,Sounder_C_17A,void,False,False,False,False,False,False,True
25,24,0x18,??0Sounder_C_17_Base@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_C_17_Base::Sounder_C_17_Base(void),method,Sound,Sounder_C_17_Base,Sounder_C_17_Base,void,False,False,False,False,False,False,True
26,25,0x19,??0Sounder_C_47@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_C_47::Sounder_C_47(void),method,Sound,Sounder_C_47,Sounder_C_47,void,False,False,False,False,False,False,True
27,26,0x1A,??0Sounder_C_47_Base@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_C_47_Base::Sounder_C_47_Base(void),method,Sound,Sounder_C_47_Base,Sounder_C_47_Base,void,False,False,False,False,False,False,True
28,27,0x1B,??0Sounder_DB600_Series@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_DB600_Series::Sounder_DB600_Series(void),method,Sound,Sounder_DB600_Series,Sounder_DB600_Series,void,False,False,False,False,False,False,True
29,28,0x1C,??0Sounder_E_3A@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_E_3A::Sounder_E_3A(void),method,Sound,Sounder_E_3A,Sounder_E_3A,void,False,False,False,False,False,False,True
30,29,0x1D,??0Sounder_F110GE129@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_F110GE129::Sounder_F110GE129(void),method,Sound,Sounder_F110GE129,Sounder_F110GE129,void,False,False,False,False,False,False,True
31,30,0x1E,??0Sounder_F404GE@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_F404GE::Sounder_F404GE(void),method,Sound,Sounder_F404GE,Sounder_F404GE,void,False,False,False,False,False,False,True
32,31,0x1F,??0Sounder_F6F_3@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_F6F_3::Sounder_F6F_3(void),method,Sound,Sounder_F6F_3,Sounder_F6F_3,void,False,False,False,False,False,False,True
33,32,0x20,??0Sounder_FA_18@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_FA_18::Sounder_FA_18(void),method,Sound,Sounder_FA_18,Sounder_FA_18,void,False,False,False,False,False,False,True
34,33,0x21,??0Sounder_FA_18C_hornet@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_FA_18C_hornet::Sounder_FA_18C_hornet(void),method,Sound,Sounder_FA_18C_hornet,Sounder_FA_18C_hornet,void,False,False,False,False,False,False,True
35,34,0x22,??0Sounder_FW_190@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_FW_190::Sounder_FW_190(void),method,Sound,Sounder_FW_190,Sounder_FW_190,void,False,False,False,False,False,False,True
36,35,0x23,??0Sounder_FW_190A8@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_FW_190A8::Sounder_FW_190A8(void),method,Sound,Sounder_FW_190A8,Sounder_FW_190A8,void,False,False,False,False,False,False,True
37,36,0x24,??0Sounder_FW_190D9@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_FW_190D9::Sounder_FW_190D9(void),method,Sound,Sounder_FW_190D9,Sounder_FW_190D9,void,False,False,False,False,False,False,True
38,37,0x25,??0Sounder_F_117A@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_F_117A::Sounder_F_117A(void),method,Sound,Sounder_F_117A,Sounder_F_117A,void,False,False,False,False,False,False,True
39,38,0x26,??0Sounder_F_117_Base@Sound@@QEAA@XZ,public: __cdecl Sound::Sounder_F_117_Base::Sounder_F_117_Base(void),method,Sound,Sounder_F_117_Base,Sounder_F_117_Base,void,False,False,False,False,False,False,True
