ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0Indices@model@@QEAA@W4DrawMode@render@1@AEBV?$vector@IV?$allocator@I@ed@@@ed@@@Z,"public: __cdecl model::Indices::Indices(enum model::render::DrawMode, class ed::vector<unsigned int, class ed::allocator<unsigned int>> const &)",method,model,Indices,Indices,"enum model::render::DrawMode, class ed::vector<unsigned int, class ed::allocator<unsigned int>> const &",False,False,False,False,False,False,True
2,1,0x1,??0Indices@model@@QEAA@XZ,public: __cdecl model::Indices::Indices(void),method,model,Indices,Indices,void,False,False,False,False,False,False,True
3,2,0x2,??0LightNode@model@@QEAA@XZ,public: __cdecl model::LightNode::LightNode(void),method,model,LightNode,LightNode,void,False,False,False,False,False,False,True
4,3,0x3,??0MemBinaryFileW@model@@QEAA@XZ,public: __cdecl model::MemBinaryFileW::MemBinaryFileW(void),method,model,MemBinaryFileW,MemBinaryFileW,void,False,False,False,False,False,False,True
5,4,0x4,??0PropertiesSet@model@@QEAA@XZ,public: __cdecl model::PropertiesSet::PropertiesSet(void),method,model,PropertiesSet,PropertiesSet,void,False,False,False,False,False,False,True
6,5,0x5,??0TexCoordsChannels@model@@QEAA@XZ,public: __cdecl model::TexCoordsChannels::TexCoordsChannels(void),method,model,TexCoordsChannels,TexCoordsChannels,void,False,False,False,False,False,False,True
7,6,0x6,??0Texture2dProperties@model@@QEAA@AEBU01@@Z,public: __cdecl model::Texture2dProperties::Texture2dProperties(struct model::Texture2dProperties const &),method,model,Texture2dProperties,Texture2dProperties,struct model::Texture2dProperties const &,False,False,False,False,False,False,True
8,7,0x7,??0Texture2dProperties@model@@QEAA@PEBD@Z,public: __cdecl model::Texture2dProperties::Texture2dProperties(char const *),method,model,Texture2dProperties,Texture2dProperties,char const *,False,False,False,False,False,False,True
9,8,0x8,??0Texture2dProperties@model@@QEAA@PEBDW4TextureProperty@tex@1@111I@Z,"public: __cdecl model::Texture2dProperties::Texture2dProperties(char const *, enum model::tex::TextureProperty, enum model::tex::TextureProperty, enum model::tex::TextureProperty, enum model::tex::TextureProperty, unsigned int)",method,model,Texture2dProperties,Texture2dProperties,"char const *, enum model::tex::TextureProperty, enum model::tex::TextureProperty, enum model::tex::TextureProperty, enum model::tex::TextureProperty, unsigned int",False,False,False,False,False,False,True
10,9,0x9,??0Texture2dProperties@model@@QEAA@XZ,public: __cdecl model::Texture2dProperties::Texture2dProperties(void),method,model,Texture2dProperties,Texture2dProperties,void,False,False,False,False,False,False,True
11,10,0xA,??0UniModel@model@@QEAA@XZ,public: __cdecl model::UniModel::UniModel(void),method,model,UniModel,UniModel,void,False,False,False,False,False,False,True
12,11,0xB,??0VertexFormat@model@@QEAA@XZ,public: __cdecl model::VertexFormat::VertexFormat(void),method,model,VertexFormat,VertexFormat,void,False,False,False,False,False,False,True
13,12,0xC,??0Vertices@model@@QEAA@AEBUVertexFormat@1@@Z,public: __cdecl model::Vertices::Vertices(struct model::VertexFormat const &),method,model,Vertices,Vertices,struct model::VertexFormat const &,False,False,False,False,False,False,True
14,13,0xD,??0Vertices@model@@QEAA@AEBV?$vector@MV?$allocator@M@ed@@@ed@@_KAEBUVertexFormat@1@@Z,"public: __cdecl model::Vertices::Vertices(class ed::vector<float, class ed::allocator<float>> const &, unsigned __int64, struct model::VertexFormat const &)",method,model,Vertices,Vertices,"class ed::vector<float, class ed::allocator<float>> const &, unsigned __int64, struct model::VertexFormat const &",False,False,False,False,False,False,True
15,14,0xE,??0Vertices@model@@QEAA@XZ,public: __cdecl model::Vertices::Vertices(void),method,model,Vertices,Vertices,void,False,False,False,False,False,False,True
16,15,0xF,??1LightNode@model@@UEAA@XZ,public: virtual __cdecl model::LightNode::~LightNode(void),method,model,LightNode,~LightNode,void,False,False,True,False,False,False,True
17,16,0x10,??1MemBinaryFileW@model@@UEAA@XZ,public: virtual __cdecl model::MemBinaryFileW::~MemBinaryFileW(void),method,model,MemBinaryFileW,~MemBinaryFileW,void,False,False,True,False,False,False,True
18,17,0x11,??1Properties@model@@QEAA@XZ,public: __cdecl model::Properties::~Properties(void),method,model,Properties,~Properties,void,False,False,False,False,False,False,True
19,18,0x12,??1PropertiesSet@model@@UEAA@XZ,public: virtual __cdecl model::PropertiesSet::~PropertiesSet(void),method,model,PropertiesSet,~PropertiesSet,void,False,False,True,False,False,False,True
20,19,0x13,??4Texture2dProperties@model@@QEAAAEAU01@AEBU01@@Z,public: struct model::Texture2dProperties & __cdecl model::Texture2dProperties::operator=(struct model::Texture2dProperties const &),symbol,,,,,False,False,False,False,False,False,True
21,20,0x14,??8PropertiesSet@model@@QEBA_NAEBV01@@Z,public: bool __cdecl model::PropertiesSet::operator==(class model::PropertiesSet const &) const,symbol,,,,,False,False,False,False,False,False,True
22,21,0x15,??8TexCoordsChannels@model@@QEBA_NAEBU01@@Z,public: bool __cdecl model::TexCoordsChannels::operator==(struct model::TexCoordsChannels const &) const,symbol,,,,,False,False,False,False,False,False,True
23,22,0x16,??8Texture2dProperties@model@@QEBA_NAEBU01@@Z,public: bool __cdecl model::Texture2dProperties::operator==(struct model::Texture2dProperties const &) const,symbol,,,,,False,False,False,False,False,False,True
24,23,0x17,??8VertexFormat@model@@QEBA_NAEBU01@@Z,public: bool __cdecl model::VertexFormat::operator==(struct model::VertexFormat const &) const,symbol,,,,,False,False,False,False,False,False,True
25,24,0x18,??AProperties@model@@QEBA?BV?$Ptr@VIProperty@model@@UIObjectDeleter@2@@ed@@V?$basic_string_view@DU?$char_traits@D@std@@@std@@@Z,"public: class ed::Ptr<class model::IProperty, struct model::IObjectDeleter> const __cdecl model::Properties::operator[](class std::basic_string_view<char, struct std::char_traits<char>>) const",symbol,,,,,False,False,False,False,False,False,True
26,25,0x19,??RIObjectDeleter@model@@QEBAXPEAVIObject@1@@Z,public: void __cdecl model::IObjectDeleter::operator()(class model::IObject *) const,method,model,IObjectDeleter,operator,)(class model::IObject *,True,False,False,False,False,False,True
27,26,0x1A,?add@BufferWriter20@model@@QEAA_KPEBX_K@Z,"public: unsigned __int64 __cdecl model::BufferWriter20::add(void const *, unsigned __int64)",method,model,BufferWriter20,add,"void const *, unsigned __int64",False,False,False,False,False,False,True
28,27,0x1B,?add@Properties@model@@QEAAXV?$Ptr@VIProperty@model@@UIObjectDeleter@2@@ed@@@Z,"public: void __cdecl model::Properties::add(class ed::Ptr<class model::IProperty, struct model::IObjectDeleter>)",method,model,Properties,add,"class ed::Ptr<class model::IProperty, struct model::IObjectDeleter>",False,False,False,False,False,False,True
29,28,0x1C,?addEdmFromFile@UniModel@model@@QEAAPEAUUniModelLod@2@PEBD@Z,public: struct model::UniModelLod * __cdecl model::UniModel::addEdmFromFile(char const *),method,model,UniModel,addEdmFromFile,char const *,False,False,False,False,False,False,True
30,29,0x1D,?addRenderNode@RootNode@model@@QEAAXV?$Ptr@VBaseRenderNode@model@@UIObjectDeleter@2@@ed@@@Z,"public: void __cdecl model::RootNode::addRenderNode(class ed::Ptr<class model::BaseRenderNode, struct model::IObjectDeleter>)",method,model,RootNode,addRenderNode,"class ed::Ptr<class model::BaseRenderNode, struct model::IObjectDeleter>",False,False,False,False,False,False,True
31,30,0x1E,?addShellNode@RootNode@model@@QEAAXV?$Ptr@VBaseShellNode@model@@UIObjectDeleter@2@@ed@@@Z,"public: void __cdecl model::RootNode::addShellNode(class ed::Ptr<class model::BaseShellNode, struct model::IObjectDeleter>)",method,model,RootNode,addShellNode,"class ed::Ptr<class model::BaseShellNode, struct model::IObjectDeleter>",False,False,False,False,False,False,True
32,31,0x1F,?animate@ArgAnimationNode@model@@QEBAXPEBVIModelArguments@2@AEAVMatrixd@osg@@@Z,"public: void __cdecl model::ArgAnimationNode::animate(class model::IModelArguments const *, class osg::Matrixd &) const",method,model,ArgAnimationNode,animate,"class model::IModelArguments const *, class osg::Matrixd &",True,False,False,False,False,False,True
