ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,VRfree_Init,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,VRfree_Shutdown,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,VRfree_Start,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,VRfree_StatusCode,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,VRfree_Stop,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,VRfree_calibratePose,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,VRfree_calibratePoseSimple,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,VRfree_getConnectedDevices,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,VRfree_getHandAngles,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,VRfree_getHandData,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,VRfree_getHandDataAbsolute,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,VRfree_getHandDataFromAngles,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,VRfree_getHandDataRaw,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,VRfree_getHandDelta,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,VRfree_getHeadRotation,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,VRfree_getLeftHandTransforms,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,VRfree_getMultiGestureName,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,VRfree_getMultiGesturesDetectedLeft,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,VRfree_getMultiGesturesDetectedRight,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,VRfree_getNumMultiGestures,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,VRfree_getNumStaticGestures,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,VRfree_getRightHandTransforms,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,VRfree_getStaticGestureName,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,VRfree_getStaticGesturesDetectedLeft,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,VRfree_getStaticGesturesDetectedRight,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,VRfree_getTrackerData,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,VRfree_getTrackerDataAbsolute,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,VRfree_loadGestures,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,VRfree_setAdditionalPredictionTime,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,VRfree_setWristOffset,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,VRfree_startPoseCalibration,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,VRfree_updateCameraPose,,unknown,,,,,False,False,False,False,False,False,False
