ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,?varjo_GetCurrentSwapChainConfig@@YA?AUvarjo_SwapChainConfig@@PEAUvarjo_Session@@@Z,struct varjo_SwapChainConfig __cdecl varjo_GetCurrentSwapChainConfig(struct varjo_Session *),function,,,varjo_GetCurrentSwapChainConfig,struct varjo_Session *,False,False,False,False,False,False,True
2,1,0x1,?varjo_SessionIsValid@@YAHPEAUvarjo_Session@@@Z,int __cdecl varjo_SessionIsValid(struct varjo_Session *),function,,,varjo_SessionIsValid,struct varjo_Session *,False,False,False,False,False,False,True
3,2,0x2,?varjo_ShmInit@@YAXPEAUvarjo_Session@@@Z,void __cdecl varjo_ShmInit(struct varjo_Session *),function,,,varjo_ShmInit,struct varjo_Session *,False,False,False,False,False,False,True
4,3,0x3,?varjo_ShmShutDown@@YAXPEAUvarjo_Session@@@Z,void __cdecl varjo_ShmShutDown(struct varjo_Session *),function,,,varjo_ShmShutDown,struct varjo_Session *,False,False,False,False,False,False,True
5,4,0x4,?varjo_ShmSubmitTextures@@YAXPEAUvarjo_Session@@HPEAUvarjo_ShmView@Varjo@@@Z,"void __cdecl varjo_ShmSubmitTextures(struct varjo_Session *, int, struct Varjo::varjo_ShmView *)",function,,,varjo_ShmSubmitTextures,"struct varjo_Session *, int, struct Varjo::varjo_ShmView *",False,False,False,False,False,False,True
6,5,0x5,?varjo_WorldGetVisualMarkerComponent@@YAHPEAUvarjo_World@@_JPEAUvarjo_WorldVisualMarkerComponent@Varjo@@@Z,"int __cdecl varjo_WorldGetVisualMarkerComponent(struct varjo_World *, __int64, struct Varjo::varjo_WorldVisualMarkerComponent *)",function,,,varjo_WorldGetVisualMarkerComponent,"struct varjo_World *, __int64, struct Varjo::varjo_WorldVisualMarkerComponent *",False,False,False,False,False,False,True
7,6,0x6,?varjo_WorldSetDynamicMarkerExpirationDuration@@YAXPEAUvarjo_World@@_J@Z,"void __cdecl varjo_WorldSetDynamicMarkerExpirationDuration(struct varjo_World *, __int64)",function,,,varjo_WorldSetDynamicMarkerExpirationDuration,"struct varjo_World *, __int64",False,False,False,False,False,False,True
8,7,0x7,?varjo_WorldSetStaticMarkerExpirationDuration@@YAXPEAUvarjo_World@@_J@Z,"void __cdecl varjo_WorldSetStaticMarkerExpirationDuration(struct varjo_World *, __int64)",function,,,varjo_WorldSetStaticMarkerExpirationDuration,"struct varjo_World *, __int64",False,False,False,False,False,False,True
9,8,0x8,varjo_AcquireSwapChainImage,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,varjo_AllocateEvent,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,varjo_ApplyTransform,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,varjo_BeginFrame,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,varjo_BeginFrameWithLayers,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,varjo_ClearError,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,varjo_ClosePropertyAccess,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,varjo_ConfigureDataStreams,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,varjo_CreateFrameInfo,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,varjo_CreateOcclusionMesh,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,varjo_CreateSubmitInfo,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,varjo_CreateVisibilityMesh,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,varjo_CreateVisibilityOutlineMesh,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,varjo_D3D11CreateSwapChain,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,varjo_D3D11GetLuid,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,varjo_D3D11Init,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,varjo_D3D11ShutDown,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,varjo_D3D11UpdateVariableRateShadingTexture,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,varjo_D3D12CreateSwapChain,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,varjo_D3D12UpdateVariableRateShadingTexture,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,varjo_EndFrame,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,varjo_EndFrameWithLayers,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,varjo_FrameGetDisplayTime,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,varjo_FrameGetPose,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,varjo_FreeEvent,,unknown,,,,,False,False,False,False,False,False,False
34,33,0x21,varjo_FreeFrameInfo,,unknown,,,,,False,False,False,False,False,False,False
35,34,0x22,varjo_FreeOcclusionMesh,,unknown,,,,,False,False,False,False,False,False,False
36,35,0x23,varjo_FreeSubmitInfo,,unknown,,,,,False,False,False,False,False,False,False
37,36,0x24,varjo_FreeSwapChain,,unknown,,,,,False,False,False,False,False,False,False
38,37,0x25,varjo_FromD3D11Texture,,unknown,,,,,False,False,False,False,False,False,False
39,38,0x26,varjo_FromD3D12Texture,,unknown,,,,,False,False,False,False,False,False,False
40,39,0x27,varjo_FromGLTexture,,unknown,,,,,False,False,False,False,False,False,False
41,40,0x28,varjo_GLCreateSwapChain,,unknown,,,,,False,False,False,False,False,False,False
42,41,0x29,varjo_GLInit,,unknown,,,,,False,False,False,False,False,False,False
43,42,0x2A,varjo_GLShutDown,,unknown,,,,,False,False,False,False,False,False,False
44,43,0x2B,varjo_GLUpdateVariableRateShadingTexture,,unknown,,,,,False,False,False,False,False,False,False
45,44,0x2C,varjo_GazeInit,,unknown,,,,,False,False,False,False,False,False,False
46,45,0x2D,varjo_GazeInitWithParameters,,unknown,,,,,False,False,False,False,False,False,False
47,46,0x2E,varjo_GetAlignedView,,unknown,,,,,False,False,False,False,False,False,False
48,47,0x2F,varjo_GetBufferCPUData,,unknown,,,,,False,False,False,False,False,False,False
49,48,0x30,varjo_GetBufferGPUData,,unknown,,,,,False,False,False,False,False,False,False
50,49,0x31,varjo_GetBufferId,,unknown,,,,,False,False,False,False,False,False,False
51,50,0x32,varjo_GetBufferMetadata,,unknown,,,,,False,False,False,False,False,False,False
52,51,0x33,varjo_GetButtonEvent,,unknown,,,,,False,False,False,False,False,False,False
53,52,0x34,varjo_GetCameraExtrinsics,,unknown,,,,,False,False,False,False,False,False,False
54,53,0x35,varjo_GetCameraIntrinsics,,unknown,,,,,False,False,False,False,False,False,False
55,54,0x36,varjo_GetConfig,,unknown,,,,,False,False,False,False,False,False,False
56,55,0x37,varjo_GetCurrentTime,,unknown,,,,,False,False,False,False,False,False,False
57,56,0x38,varjo_GetDataStreamConfigCount,,unknown,,,,,False,False,False,False,False,False,False
58,57,0x39,varjo_GetDataStreamConfigs,,unknown,,,,,False,False,False,False,False,False,False
59,58,0x3A,varjo_GetDefaultSwapChainConfig,,unknown,,,,,False,False,False,False,False,False,False
60,59,0x3B,varjo_GetError,,unknown,,,,,False,False,False,False,False,False,False
61,60,0x3C,varjo_GetErrorDesc,,unknown,,,,,False,False,False,False,False,False,False
62,61,0x3D,varjo_GetErrorDescription,,unknown,,,,,False,False,False,False,False,False,False
63,62,0x3E,varjo_GetEstimatedFrameDisplayTime,,unknown,,,,,False,False,False,False,False,False,False
64,63,0x3F,varjo_GetEulerAngles,,unknown,,,,,False,False,False,False,False,False,False
65,64,0x40,varjo_GetFovTangents,,unknown,,,,,False,False,False,False,False,False,False
66,65,0x41,varjo_GetFoveatedFovTangents,,unknown,,,,,False,False,False,False,False,False,False
67,66,0x42,varjo_GetFramePredictedDisplayPeriod,,unknown,,,,,False,False,False,False,False,False,False
68,67,0x43,varjo_GetFullVersion,,unknown,,,,,False,False,False,False,False,False,False
69,68,0x44,varjo_GetGaze,,unknown,,,,,False,False,False,False,False,False,False
70,69,0x45,varjo_GetGazeArray,,unknown,,,,,False,False,False,False,False,False,False
