ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??$deduceComponentTypeEnum@VCameraComponent@@@Entity@@SA?AW4COMPONENT_TYPE_ENUM@@XZ,public: static enum COMPONENT_TYPE_ENUM __cdecl Entity::deduceComponentTypeEnum<class CameraComponent>(void),function,,,CameraComponent>,void,False,True,False,False,False,False,True
2,1,0x1,??$deduceComponentTypeEnum@VCameraFlyRotationComponent@@@Entity@@SA?AW4COMPONENT_TYPE_ENUM@@XZ,public: static enum COMPONENT_TYPE_ENUM __cdecl Entity::deduceComponentTypeEnum<class CameraFlyRotationComponent>(void),function,,,CameraFlyRotationComponent>,void,False,True,False,False,False,False,True
3,2,0x2,??$deduceComponentTypeEnum@VCustomControllerComponent@@@Entity@@SA?AW4COMPONENT_TYPE_ENUM@@XZ,public: static enum COMPONENT_TYPE_ENUM __cdecl Entity::deduceComponentTypeEnum<class CustomControllerComponent>(void),function,,,CustomControllerComponent>,void,False,True,False,False,False,False,True
4,3,0x3,??$deduceComponentTypeEnum@VCustomMeshComponent@@@Entity@@SA?AW4COMPONENT_TYPE_ENUM@@XZ,public: static enum COMPONENT_TYPE_ENUM __cdecl Entity::deduceComponentTypeEnum<class CustomMeshComponent>(void),function,,,CustomMeshComponent>,void,False,True,False,False,False,False,True
5,4,0x4,??$deduceComponentTypeEnum@VFlightComponent@@@Entity@@SA?AW4COMPONENT_TYPE_ENUM@@XZ,public: static enum COMPONENT_TYPE_ENUM __cdecl Entity::deduceComponentTypeEnum<class FlightComponent>(void),function,,,FlightComponent>,void,False,True,False,False,False,False,True
6,5,0x5,??$deduceComponentTypeEnum@VLightComponent@@@Entity@@SA?AW4COMPONENT_TYPE_ENUM@@XZ,public: static enum COMPONENT_TYPE_ENUM __cdecl Entity::deduceComponentTypeEnum<class LightComponent>(void),function,,,LightComponent>,void,False,True,False,False,False,False,True
7,6,0x6,??$deduceComponentTypeEnum@VModelComponent@@@Entity@@SA?AW4COMPONENT_TYPE_ENUM@@XZ,public: static enum COMPONENT_TYPE_ENUM __cdecl Entity::deduceComponentTypeEnum<class ModelComponent>(void),function,,,ModelComponent>,void,False,True,False,False,False,False,True
8,7,0x7,??$deduceComponentTypeEnum@VMouseInteractionComponent@@@Entity@@SA?AW4COMPONENT_TYPE_ENUM@@XZ,public: static enum COMPONENT_TYPE_ENUM __cdecl Entity::deduceComponentTypeEnum<class MouseInteractionComponent>(void),function,,,MouseInteractionComponent>,void,False,True,False,False,False,False,True
9,8,0x8,??$deduceComponentTypeEnum@VTransformComponent@@@Entity@@SA?AW4COMPONENT_TYPE_ENUM@@XZ,public: static enum COMPONENT_TYPE_ENUM __cdecl Entity::deduceComponentTypeEnum<class TransformComponent>(void),function,,,TransformComponent>,void,False,True,False,False,False,False,True
10,9,0x9,??$deduceComponentTypeEnum@VWeaponStationComponent@@@Entity@@SA?AW4COMPONENT_TYPE_ENUM@@XZ,public: static enum COMPONENT_TYPE_ENUM __cdecl Entity::deduceComponentTypeEnum<class WeaponStationComponent>(void),function,,,WeaponStationComponent>,void,False,True,False,False,False,False,True
11,10,0xA,??0CameraComponent@@QEAA@$$QEAV0@@Z,public: __cdecl CameraComponent::CameraComponent(class CameraComponent &&),method,,CameraComponent,CameraComponent,class CameraComponent &&,False,False,False,False,False,False,True
12,11,0xB,??0CameraComponent@@QEAA@AEBV0@@Z,public: __cdecl CameraComponent::CameraComponent(class CameraComponent const &),method,,CameraComponent,CameraComponent,class CameraComponent const &,False,False,False,False,False,False,True
13,12,0xC,??0CameraComponent@@QEAA@XZ,public: __cdecl CameraComponent::CameraComponent(void),method,,CameraComponent,CameraComponent,void,False,False,False,False,False,False,True
14,13,0xD,??0CameraFlyRotationComponent@@QEAA@$$QEAV0@@Z,public: __cdecl CameraFlyRotationComponent::CameraFlyRotationComponent(class CameraFlyRotationComponent &&),method,,CameraFlyRotationComponent,CameraFlyRotationComponent,class CameraFlyRotationComponent &&,False,False,False,False,False,False,True
15,14,0xE,??0CameraFlyRotationComponent@@QEAA@AEBV0@@Z,public: __cdecl CameraFlyRotationComponent::CameraFlyRotationComponent(class CameraFlyRotationComponent const &),method,,CameraFlyRotationComponent,CameraFlyRotationComponent,class CameraFlyRotationComponent const &,False,False,False,False,False,False,True
16,15,0xF,??0CameraFlyRotationComponent@@QEAA@XZ,public: __cdecl CameraFlyRotationComponent::CameraFlyRotationComponent(void),method,,CameraFlyRotationComponent,CameraFlyRotationComponent,void,False,False,False,False,False,False,True
17,16,0x10,??0DemoScene@@QEAA@PEAVsmSceneManager@@PEAUlua_State@@@Z,"public: __cdecl DemoScene::DemoScene(class smSceneManager *, struct lua_State *)",method,,DemoScene,DemoScene,"class smSceneManager *, struct lua_State *",False,False,False,False,False,False,True
18,17,0x11,??0DrawPrimitive@@QEAA@AEBV0@@Z,public: __cdecl DrawPrimitive::DrawPrimitive(class DrawPrimitive const &),method,,DrawPrimitive,DrawPrimitive,class DrawPrimitive const &,False,False,False,False,False,False,True
19,18,0x12,??0DrawPrimitive@@QEAA@XZ,public: __cdecl DrawPrimitive::DrawPrimitive(void),method,,DrawPrimitive,DrawPrimitive,void,False,False,False,False,False,False,True
20,19,0x13,??0Entity@@QEAA@AEBV0@@Z,public: __cdecl Entity::Entity(class Entity const &),method,,Entity,Entity,class Entity const &,False,False,False,False,False,False,True
21,20,0x14,??0Entity@@QEAA@XZ,public: __cdecl Entity::Entity(void),method,,Entity,Entity,void,False,False,False,False,False,False,True
22,21,0x15,??0EntityComponent@@IEAA@W4COMPONENT_TYPE_ENUM@@@Z,protected: __cdecl EntityComponent::EntityComponent(enum COMPONENT_TYPE_ENUM),method,,EntityComponent,EntityComponent,enum COMPONENT_TYPE_ENUM,False,False,False,False,False,False,True
23,22,0x16,??0EntityComponent@@QEAA@AEBV0@@Z,public: __cdecl EntityComponent::EntityComponent(class EntityComponent const &),method,,EntityComponent,EntityComponent,class EntityComponent const &,False,False,False,False,False,False,True
24,23,0x17,??0MouseCursorManager@@AEAA@PEAUHWND__@@@Z,private: __cdecl MouseCursorManager::MouseCursorManager(struct HWND__*),method,,MouseCursorManager,MouseCursorManager,struct HWND__*,False,False,False,False,False,False,True
25,24,0x18,??0MouseCursorOwner@@QEAA@AEBV0@@Z,public: __cdecl MouseCursorOwner::MouseCursorOwner(class MouseCursorOwner const &),method,,MouseCursorOwner,MouseCursorOwner,class MouseCursorOwner const &,False,False,False,False,False,False,True
26,25,0x19,??0MouseCursorOwner@@QEAA@W4MouseCursorShape@@PEBD@Z,"public: __cdecl MouseCursorOwner::MouseCursorOwner(enum MouseCursorShape, char const *)",method,,MouseCursorOwner,MouseCursorOwner,"enum MouseCursorShape, char const *",False,False,False,False,False,False,True
27,26,0x1A,??0RenderParserImpl@@QEAA@XZ,public: __cdecl RenderParserImpl::RenderParserImpl(void),method,,RenderParserImpl,RenderParserImpl,void,False,False,False,False,False,False,True
28,27,0x1B,??0TerrainRenderer@@QEAA@AEAVSharedSceneResources@render@@@Z,public: __cdecl TerrainRenderer::TerrainRenderer(class render::SharedSceneResources &),method,,TerrainRenderer,TerrainRenderer,class render::SharedSceneResources &,False,False,False,False,False,False,True
29,28,0x1C,??0TransformComponent@@QEAA@AEBV0@@Z,public: __cdecl TransformComponent::TransformComponent(class TransformComponent const &),method,,TransformComponent,TransformComponent,class TransformComponent const &,False,False,False,False,False,False,True
30,29,0x1D,??0TransformComponent@@QEAA@XZ,public: __cdecl TransformComponent::TransformComponent(void),method,,TransformComponent,TransformComponent,void,False,False,False,False,False,False,True
31,30,0x1E,??0UI_VRScene@HMDUtils@@QEAA@PEAVsmSceneManager@@PEAUlua_State@@@Z,"public: __cdecl HMDUtils::UI_VRScene::UI_VRScene(class smSceneManager *, struct lua_State *)",method,HMDUtils,UI_VRScene,UI_VRScene,"class smSceneManager *, struct lua_State *",False,False,False,False,False,False,True
32,31,0x1F,??0UI_VRScene@HMDUtils@@QEAA@PEAVsmSceneManager@@PEAUlua_State@@PEBD2@Z,"public: __cdecl HMDUtils::UI_VRScene::UI_VRScene(class smSceneManager *, struct lua_State *, char const *, char const *)",method,HMDUtils,UI_VRScene,UI_VRScene,"class smSceneManager *, struct lua_State *, char const *, char const *",False,False,False,False,False,False,True
33,32,0x20,??0smCamera_Implement@@QEAA@W4vCameraType_e@@W4vCameraSubType_e@@@Z,"public: __cdecl smCamera_Implement::smCamera_Implement(enum vCameraType_e, enum vCameraSubType_e)",method,,smCamera_Implement,smCamera_Implement,"enum vCameraType_e, enum vCameraSubType_e",False,False,False,False,False,False,True
34,33,0x21,??0wTVPictureSourceProvider@@QEAA@XZ,public: __cdecl wTVPictureSourceProvider::wTVPictureSourceProvider(void),method,,wTVPictureSourceProvider,wTVPictureSourceProvider,void,False,False,False,False,False,False,True
35,34,0x22,??1CameraComponent@@UEAA@XZ,public: virtual __cdecl CameraComponent::~CameraComponent(void),method,,CameraComponent,~CameraComponent,void,False,False,True,False,False,False,True
36,35,0x23,??1CameraFlyRotationComponent@@UEAA@XZ,public: virtual __cdecl CameraFlyRotationComponent::~CameraFlyRotationComponent(void),method,,CameraFlyRotationComponent,~CameraFlyRotationComponent,void,False,False,True,False,False,False,True
37,36,0x24,??1DemoScene@@UEAA@XZ,public: virtual __cdecl DemoScene::~DemoScene(void),method,,DemoScene,~DemoScene,void,False,False,True,False,False,False,True
38,37,0x25,??1DrawPrimitive@@UEAA@XZ,public: virtual __cdecl DrawPrimitive::~DrawPrimitive(void),method,,DrawPrimitive,~DrawPrimitive,void,False,False,True,False,False,False,True
39,38,0x26,??1Entity@@QEAA@XZ,public: __cdecl Entity::~Entity(void),method,,Entity,~Entity,void,False,False,False,False,False,False,True
40,39,0x27,??1EntityComponent@@UEAA@XZ,public: virtual __cdecl EntityComponent::~EntityComponent(void),method,,EntityComponent,~EntityComponent,void,False,False,True,False,False,False,True
41,40,0x28,??1MouseCursorManager@@QEAA@XZ,public: __cdecl MouseCursorManager::~MouseCursorManager(void),method,,MouseCursorManager,~MouseCursorManager,void,False,False,False,False,False,False,True
42,41,0x29,??1MouseCursorOwner@@UEAA@XZ,public: virtual __cdecl MouseCursorOwner::~MouseCursorOwner(void),method,,MouseCursorOwner,~MouseCursorOwner,void,False,False,True,False,False,False,True
43,42,0x2A,??1RenderParserImpl@@UEAA@XZ,public: virtual __cdecl RenderParserImpl::~RenderParserImpl(void),method,,RenderParserImpl,~RenderParserImpl,void,False,False,True,False,False,False,True
44,43,0x2B,??1TerrainRenderer@@QEAA@XZ,public: __cdecl TerrainRenderer::~TerrainRenderer(void),method,,TerrainRenderer,~TerrainRenderer,void,False,False,False,False,False,False,True
45,44,0x2C,??1TransformComponent@@UEAA@XZ,public: virtual __cdecl TransformComponent::~TransformComponent(void),method,,TransformComponent,~TransformComponent,void,False,False,True,False,False,False,True
46,45,0x2D,??1UI_VRScene@HMDUtils@@UEAA@XZ,public: virtual __cdecl HMDUtils::UI_VRScene::~UI_VRScene(void),method,HMDUtils,UI_VRScene,~UI_VRScene,void,False,False,True,False,False,False,True
47,46,0x2E,??1smCamera_Implement@@UEAA@XZ,public: virtual __cdecl smCamera_Implement::~smCamera_Implement(void),method,,smCamera_Implement,~smCamera_Implement,void,False,False,True,False,False,False,True
