ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,?$TSS0@?1??getDesc@wControl@@UEBAPEAUDescriptor@Controller@AI@@XZ@4HA,int `public: virtual struct AI::Controller::Descriptor * __cdecl wControl::getDesc(void) const'::`2'::$TSS0,symbol,,,,,False,False,False,False,False,False,True
2,1,0x1,?$TSS0@?1??instance@?$Storage@PEBDP6APEAVTaskState@AI@@PEAVTask@2@PEAVController@2@@ZUcstr_hash@ed@@Ucstr_equal@6@@AI@@SAAEAV23@XZ@4HA,"int `public: static class AI::Storage<char const *, class AI::TaskState * (__cdecl *)(class AI::Task *, class AI::Controller *), struct ed::cstr_hash, struct ed::cstr_equal> & __cdecl AI::Storage<char const *, class AI::TaskState * (__cdecl *)(class AI::Task *, class AI::Controller *), struct ed::cstr_hash, struct ed::cstr_equal>::instance(void)'::`2'::$TSS0",symbol,,,,,False,False,False,False,False,False,True
3,2,0x2,?$TSS0@?1??instance@?$Storage@PEBDPEAVCommandExecutor@AI@@Ucstr_hash@ed@@Ucstr_equal@4@@AI@@SAAEAV23@XZ@4HA,"int `public: static class AI::Storage<char const *, class AI::CommandExecutor *, struct ed::cstr_hash, struct ed::cstr_equal> & __cdecl AI::Storage<char const *, class AI::CommandExecutor *, struct ed::cstr_hash, struct ed::cstr_equal>::instance(void)'::`2'::$TSS0",symbol,,,,,False,False,False,False,False,False,True
4,3,0x3,??0?$Evoker@VwListener@@V?$Link@VwListener@@@@@@QEAA@AEBV0@@Z,"public: __cdecl Evoker<class wListener, class Link<class wListener>>::Evoker<class wListener, class Link<class wListener>>(class Evoker<class wListener, class Link<class wListener>> const &)",function,,,wListener>>,"class Evoker<class wListener, class Link<class wListener>> const &",False,False,False,False,False,False,True
5,4,0x4,??0?$Evoker@VwListener@@V?$Link@VwListener@@@@@@QEAA@XZ,"public: __cdecl Evoker<class wListener, class Link<class wListener>>::Evoker<class wListener, class Link<class wListener>>(void)",function,,,wListener>>,void,False,False,False,False,False,False,True
6,5,0x5,??0?$Storage@PEBDP6APEAVTaskState@AI@@PEAVTask@2@PEAVController@2@@ZUcstr_hash@ed@@Ucstr_equal@6@@AI@@AEAA@XZ,"private: __cdecl AI::Storage<char const *, class AI::TaskState * (__cdecl *)(class AI::Task *, class AI::Controller *), struct ed::cstr_hash, struct ed::cstr_equal>::Storage<char const *, class AI::TaskState * (__cdecl *)(class AI::Task *, class AI::Controller *), struct ed::cstr_hash, struct ed::cstr_equal>(void)",method,,ed,cstr_equal>,void,False,False,False,False,False,False,True
7,6,0x6,??0?$Storage@PEBDP6APEAVTaskState@AI@@PEAVTask@2@PEAVController@2@@ZUcstr_hash@ed@@Ucstr_equal@6@@AI@@QEAA@$$QEAV01@@Z,"public: __cdecl AI::Storage<char const *, class AI::TaskState * (__cdecl *)(class AI::Task *, class AI::Controller *), struct ed::cstr_hash, struct ed::cstr_equal>::Storage<char const *, class AI::TaskState * (__cdecl *)(class AI::Task *, class AI::Controller *), struct ed::cstr_hash, struct ed::cstr_equal>(class AI::Storage<char const *, class AI::TaskState * (__cdecl *)(class AI::Task *, class AI::Controller *), struct ed::cstr_hash, struct ed::cstr_equal> &&)",method,,ed,cstr_equal>,"class AI::Storage<char const *, class AI::TaskState * (__cdecl *)(class AI::Task *, class AI::Controller *), struct ed::cstr_hash, struct ed::cstr_equal> &&",False,False,False,False,False,False,True
8,7,0x7,??0?$Storage@PEBDP6APEAVTaskState@AI@@PEAVTask@2@PEAVController@2@@ZUcstr_hash@ed@@Ucstr_equal@6@@AI@@QEAA@AEBV01@@Z,"public: __cdecl AI::Storage<char const *, class AI::TaskState * (__cdecl *)(class AI::Task *, class AI::Controller *), struct ed::cstr_hash, struct ed::cstr_equal>::Storage<char const *, class AI::TaskState * (__cdecl *)(class AI::Task *, class AI::Controller *), struct ed::cstr_hash, struct ed::cstr_equal>(class AI::Storage<char const *, class AI::TaskState * (__cdecl *)(class AI::Task *, class AI::Controller *), struct ed::cstr_hash, struct ed::cstr_equal> const &)",method,,ed,cstr_equal>,"class AI::Storage<char const *, class AI::TaskState * (__cdecl *)(class AI::Task *, class AI::Controller *), struct ed::cstr_hash, struct ed::cstr_equal> const &",False,False,False,False,False,False,True
9,8,0x8,??0?$Storage@PEBDPEAVCommandExecutor@AI@@Ucstr_hash@ed@@Ucstr_equal@4@@AI@@AEAA@XZ,"private: __cdecl AI::Storage<char const *, class AI::CommandExecutor *, struct ed::cstr_hash, struct ed::cstr_equal>::Storage<char const *, class AI::CommandExecutor *, struct ed::cstr_hash, struct ed::cstr_equal>(void)",method,,ed,cstr_equal>,void,False,False,False,False,False,False,True
10,9,0x9,??0?$Storage@PEBDPEAVCommandExecutor@AI@@Ucstr_hash@ed@@Ucstr_equal@4@@AI@@QEAA@$$QEAV01@@Z,"public: __cdecl AI::Storage<char const *, class AI::CommandExecutor *, struct ed::cstr_hash, struct ed::cstr_equal>::Storage<char const *, class AI::CommandExecutor *, struct ed::cstr_hash, struct ed::cstr_equal>(class AI::Storage<char const *, class AI::CommandExecutor *, struct ed::cstr_hash, struct ed::cstr_equal> &&)",method,,ed,cstr_equal>,"class AI::Storage<char const *, class AI::CommandExecutor *, struct ed::cstr_hash, struct ed::cstr_equal> &&",False,False,False,False,False,False,True
