ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,agsDeInit,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,agsDriverExtensions_BeginUAVOverlap,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,agsDriverExtensions_CreateBuffer,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,agsDriverExtensions_CreateTexture1D,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,agsDriverExtensions_CreateTexture2D,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,agsDriverExtensions_CreateTexture3D,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,agsDriverExtensions_DeInit,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,agsDriverExtensions_EndUAVOverlap,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,agsDriverExtensions_IASetPrimitiveTopology,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,agsDriverExtensions_Init,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,agsDriverExtensions_MultiDrawIndexedInstancedIndirect,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,agsDriverExtensions_MultiDrawInstancedIndirect,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,agsDriverExtensions_NotifyResourceBeginAllAccess,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,agsDriverExtensions_NotifyResourceEndAllAccess,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,agsDriverExtensions_NotifyResourceEndWrites,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,agsDriverExtensions_RegisterApp,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,agsDriverExtensions_SetDepthBounds,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,agsGetCrossfireGPUCount,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,agsGetEyefinityConfigInfo,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,agsGetGPUMemorySize,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,agsGetTotalGPUCount,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,agsInit,,unknown,,,,,False,False,False,False,False,False,False
