ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0AnimatedCharacterBase@AnimatorLogic@@QEAA@PEAVviObjectNode@@AEAVConfig@Lua@@@Z,"public: __cdecl AnimatorLogic::AnimatedCharacterBase::AnimatedCharacterBase(class viObjectNode *, class Lua::Config &)",method,AnimatorLogic,AnimatedCharacterBase,AnimatedCharacterBase,"class viObjectNode *, class Lua::Config &",False,False,False,False,False,False,True
2,1,0x1,??0AnimatedCharacterBase@AnimatorLogic@@QEAA@PEAVviObjectNode@@PEBDAEBV?$wPosition3@N@@M@Z,"public: __cdecl AnimatorLogic::AnimatedCharacterBase::AnimatedCharacterBase(class viObjectNode *, char const *, class wPosition3<double> const &, float)",method,AnimatorLogic,AnimatedCharacterBase,AnimatedCharacterBase,"class viObjectNode *, char const *, class wPosition3<double> const &, float",False,False,False,False,False,False,True
3,2,0x2,??0CharacterDebugSettings@AnimatorLogic@@QEAA@XZ,public: __cdecl AnimatorLogic::CharacterDebugSettings::CharacterDebugSettings(void),method,AnimatorLogic,CharacterDebugSettings,CharacterDebugSettings,void,False,False,False,False,False,False,True
4,3,0x3,??0CharacterEnvironment@AnimatorLogic@@QEAA@AEBV?$wPosition3@N@@@Z,public: __cdecl AnimatorLogic::CharacterEnvironment::CharacterEnvironment(class wPosition3<double> const &),method,AnimatorLogic,CharacterEnvironment,CharacterEnvironment,class wPosition3<double> const &,False,False,False,False,False,False,True
5,4,0x4,??0CharacterEnvironment@AnimatorLogic@@QEAA@PEAVMovingObject@@@Z,public: __cdecl AnimatorLogic::CharacterEnvironment::CharacterEnvironment(class MovingObject *),method,AnimatorLogic,CharacterEnvironment,CharacterEnvironment,class MovingObject *,False,False,False,False,False,False,True
6,5,0x5,??0CharacterEnvironmentManager@AnimatorLogic@@QEAA@$$QEAV01@@Z,public: __cdecl AnimatorLogic::CharacterEnvironmentManager::CharacterEnvironmentManager(class AnimatorLogic::CharacterEnvironmentManager &&),method,AnimatorLogic,CharacterEnvironmentManager,CharacterEnvironmentManager,class AnimatorLogic::CharacterEnvironmentManager &&,False,False,False,False,False,False,True
7,6,0x6,??0CharacterEnvironmentManager@AnimatorLogic@@QEAA@AEBV01@@Z,public: __cdecl AnimatorLogic::CharacterEnvironmentManager::CharacterEnvironmentManager(class AnimatorLogic::CharacterEnvironmentManager const &),method,AnimatorLogic,CharacterEnvironmentManager,CharacterEnvironmentManager,class AnimatorLogic::CharacterEnvironmentManager const &,False,False,False,False,False,False,True
8,7,0x7,??0CharacterEnvironmentManager@AnimatorLogic@@QEAA@XZ,public: __cdecl AnimatorLogic::CharacterEnvironmentManager::CharacterEnvironmentManager(void),method,AnimatorLogic,CharacterEnvironmentManager,CharacterEnvironmentManager,void,False,False,False,False,False,False,True
9,8,0x8,??0CharacterMovable@AnimatorLogic@@QEAA@PEAVviObjectNode@@AEAVConfig@Lua@@@Z,"public: __cdecl AnimatorLogic::CharacterMovable::CharacterMovable(class viObjectNode *, class Lua::Config &)",method,AnimatorLogic,CharacterMovable,CharacterMovable,"class viObjectNode *, class Lua::Config &",False,False,False,False,False,False,True
10,9,0x9,??0CharacterMovable@AnimatorLogic@@QEAA@PEAVviObjectNode@@PEBDAEBV?$wPosition3@N@@M@Z,"public: __cdecl AnimatorLogic::CharacterMovable::CharacterMovable(class viObjectNode *, char const *, class wPosition3<double> const &, float)",method,AnimatorLogic,CharacterMovable,CharacterMovable,"class viObjectNode *, char const *, class wPosition3<double> const &, float",False,False,False,False,False,False,True
11,10,0xA,??0CollisionAvoidanceInfo@AnimatorLogic@@QEAA@XZ,public: __cdecl AnimatorLogic::CollisionAvoidanceInfo::CollisionAvoidanceInfo(void),method,AnimatorLogic,CollisionAvoidanceInfo,CollisionAvoidanceInfo,void,False,False,False,False,False,False,True
