ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,?$TSS0@?4??CurrentDirectory@IOSystem@Assimp@@UEBAAEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@XZ@4HA,"int `public: virtual class std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>> const & __cdecl Assimp::IOSystem::CurrentDirectory(void) const'::`5'::$TSS0",symbol,,,,,False,False,False,False,False,False,True
2,1,0x1,??0BaseImporter@Assimp@@QEAA@AEBV01@@Z,public: __cdecl Assimp::BaseImporter::BaseImporter(class Assimp::BaseImporter const &),method,Assimp,BaseImporter,BaseImporter,class Assimp::BaseImporter const &,False,False,False,False,False,False,True
3,2,0x2,??0BaseImporter@Assimp@@QEAA@XZ,public: __cdecl Assimp::BaseImporter::BaseImporter(void),method,Assimp,BaseImporter,BaseImporter,void,False,False,False,False,False,False,True
4,3,0x3,??0BaseProcess@Assimp@@QEAA@AEBV01@@Z,public: __cdecl Assimp::BaseProcess::BaseProcess(class Assimp::BaseProcess const &),method,Assimp,BaseProcess,BaseProcess,class Assimp::BaseProcess const &,False,False,False,False,False,False,True
5,4,0x4,??0BaseProcess@Assimp@@QEAA@XZ,public: __cdecl Assimp::BaseProcess::BaseProcess(void),method,Assimp,BaseProcess,BaseProcess,void,False,False,False,False,False,False,True
6,5,0x5,??0BatchLoader@Assimp@@QEAA@PEAVIOSystem@1@_N@Z,"public: __cdecl Assimp::BatchLoader::BatchLoader(class Assimp::IOSystem *, bool)",method,Assimp,BatchLoader,BatchLoader,"class Assimp::IOSystem *, bool",False,False,False,False,False,False,True
7,6,0x6,??0CalcTangentsProcess@Assimp@@QEAA@AEBV01@@Z,public: __cdecl Assimp::CalcTangentsProcess::CalcTangentsProcess(class Assimp::CalcTangentsProcess const &),method,Assimp,CalcTangentsProcess,CalcTangentsProcess,class Assimp::CalcTangentsProcess const &,False,False,False,False,False,False,True
8,7,0x7,??0CalcTangentsProcess@Assimp@@QEAA@XZ,public: __cdecl Assimp::CalcTangentsProcess::CalcTangentsProcess(void),method,Assimp,CalcTangentsProcess,CalcTangentsProcess,void,False,False,False,False,False,False,True
9,8,0x8,??0CommentRemover@Assimp@@AEAA@XZ,private: __cdecl Assimp::CommentRemover::CommentRemover(void),method,Assimp,CommentRemover,CommentRemover,void,False,False,False,False,False,False,True
10,9,0x9,??0Context@ODDLParser@@QEAA@XZ,public: __cdecl ODDLParser::Context::Context(void),method,ODDLParser,Context,Context,void,False,False,False,False,False,False,True
11,10,0xA,??0DDLNode@ODDLParser@@AEAA@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@0_KPEAV01@@Z,"private: __cdecl ODDLParser::DDLNode::DDLNode(class std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>> const &, class std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>> const &, unsigned __int64, class ODDLParser::DDLNode *)",method,ODDLParser,DDLNode,DDLNode,"class std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>> const &, class std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>> const &, unsigned __int64, class ODDLParser::DDLNode *",False,False,False,False,False,False,True
12,11,0xB,??0DataArrayList@ODDLParser@@QEAA@XZ,public: __cdecl ODDLParser::DataArrayList::DataArrayList(void),method,ODDLParser,DataArrayList,DataArrayList,void,False,False,False,False,False,False,True
13,12,0xC,??0DefaultIOStream@Assimp@@IEAA@PEAU_iobuf@@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z,"protected: __cdecl Assimp::DefaultIOStream::DefaultIOStream(struct _iobuf *, class std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>> const &)",method,Assimp,DefaultIOStream,DefaultIOStream,"struct _iobuf *, class std::basic_string<char, struct std::char_traits<char>, class std::allocator<char>> const &",False,False,False,False,False,False,True
14,13,0xD,??0DefaultIOStream@Assimp@@IEAA@XZ,protected: __cdecl Assimp::DefaultIOStream::DefaultIOStream(void),method,Assimp,DefaultIOStream,DefaultIOStream,void,False,False,False,False,False,False,True
15,14,0xE,??0DefaultIOStream@Assimp@@QEAA@AEBV01@@Z,public: __cdecl Assimp::DefaultIOStream::DefaultIOStream(class Assimp::DefaultIOStream const &),method,Assimp,DefaultIOStream,DefaultIOStream,class Assimp::DefaultIOStream const &,False,False,False,False,False,False,True
16,15,0xF,??0DefaultIOSystem@Assimp@@QEAA@$$QEAV01@@Z,public: __cdecl Assimp::DefaultIOSystem::DefaultIOSystem(class Assimp::DefaultIOSystem &&),method,Assimp,DefaultIOSystem,DefaultIOSystem,class Assimp::DefaultIOSystem &&,False,False,False,False,False,False,True
17,16,0x10,??0DefaultIOSystem@Assimp@@QEAA@AEBV01@@Z,public: __cdecl Assimp::DefaultIOSystem::DefaultIOSystem(class Assimp::DefaultIOSystem const &),method,Assimp,DefaultIOSystem,DefaultIOSystem,class Assimp::DefaultIOSystem const &,False,False,False,False,False,False,True
18,17,0x11,??0DefaultIOSystem@Assimp@@QEAA@XZ,public: __cdecl Assimp::DefaultIOSystem::DefaultIOSystem(void),method,Assimp,DefaultIOSystem,DefaultIOSystem,void,False,False,False,False,False,False,True
19,18,0x12,??0DefaultLogger@Assimp@@AEAA@W4LogSeverity@Logger@1@@Z,private: __cdecl Assimp::DefaultLogger::DefaultLogger(enum Assimp::Logger::LogSeverity),method,Assimp,DefaultLogger,DefaultLogger,enum Assimp::Logger::LogSeverity,False,False,False,False,False,False,True
