ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,ClearReportsBetween_ExportThunk,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,CrashForException_ExportThunk,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,DisableHook,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,DrainLog,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,DumpHungProcessWithPtype_ExportThunk,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,DumpProcessWithoutCrash,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,GetApplyHookResult,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,GetBlockedModulesCount,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,GetCrashReports_ExportThunk,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,GetCrashpadDatabasePath_ExportThunk,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,GetHandleVerifier,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,GetInstallDetailsPayload,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,GetUniqueBlockedModulesCount,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,GetUserDataDirectoryThunk,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,InjectDumpForHungInput_ExportThunk,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,IsBrowserProcess,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,IsCrashReportingEnabledImpl,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,IsThirdPartyInitialized,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,RegisterLogNotification,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,RequestSingleCrashUpload_ExportThunk,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,SetCrashKeyValueImpl,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,SetMetricsClientId,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,SetUploadConsent_ExportThunk,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,SignalChromeElf,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,SignalInitializeCrashReporting,,unknown,,,,,False,False,False,False,False,False,False
