ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0DX11Renderer@RenderAPI@@QEAA@XZ,public: __cdecl RenderAPI::DX11Renderer::DX11Renderer(void),method,RenderAPI,DX11Renderer,DX11Renderer,void,False,False,False,False,False,False,True
2,1,0x1,??1DX11Renderer@RenderAPI@@AEAA@XZ,private: __cdecl RenderAPI::DX11Renderer::~DX11Renderer(void),method,RenderAPI,DX11Renderer,~DX11Renderer,void,False,False,False,False,False,False,True
3,2,0x2,??_7DX11Renderer@RenderAPI@@6B@,const RenderAPI::DX11Renderer::`vftable',vftable,,,,,False,False,False,True,False,False,True
4,3,0x3,?bakeFrameBuffer@DX11Renderer@RenderAPI@@AEAAXPEAVDX11FrameBuffer@2@@Z,private: void __cdecl RenderAPI::DX11Renderer::bakeFrameBuffer(class RenderAPI::DX11FrameBuffer *),method,RenderAPI,DX11Renderer,bakeFrameBuffer,class RenderAPI::DX11FrameBuffer *,False,False,False,False,False,False,True
5,4,0x4,?beginDebugEvent@DX11Renderer@RenderAPI@@UEAAXPEB_W@Z,public: virtual void __cdecl RenderAPI::DX11Renderer::beginDebugEvent(wchar_t const *),method,RenderAPI,DX11Renderer,beginDebugEvent,wchar_t const *,False,False,True,False,False,False,True
6,5,0x5,?beginFrame@DX11Renderer@RenderAPI@@UEAAXXZ,public: virtual void __cdecl RenderAPI::DX11Renderer::beginFrame(void),method,RenderAPI,DX11Renderer,beginFrame,void,False,False,True,False,False,False,True
7,6,0x6,?bindResource@DX11Renderer@RenderAPI@@UEAAXIPEAUITexture@2@@Z,"public: virtual void __cdecl RenderAPI::DX11Renderer::bindResource(unsigned int, struct RenderAPI::ITexture *)",method,RenderAPI,DX11Renderer,bindResource,"unsigned int, struct RenderAPI::ITexture *",False,False,True,False,False,False,True
8,7,0x7,?bindResource@DX11Renderer@RenderAPI@@UEAAXIPEBUIConstantBuffer@2@@Z,"public: virtual void __cdecl RenderAPI::DX11Renderer::bindResource(unsigned int, struct RenderAPI::IConstantBuffer const *)",method,RenderAPI,DX11Renderer,bindResource,"unsigned int, struct RenderAPI::IConstantBuffer const *",False,False,True,False,False,False,True
9,8,0x8,?bindResource@DX11Renderer@RenderAPI@@UEAAXIPEBUIStructuredBuffer@2@@Z,"public: virtual void __cdecl RenderAPI::DX11Renderer::bindResource(unsigned int, struct RenderAPI::IStructuredBuffer const *)",method,RenderAPI,DX11Renderer,bindResource,"unsigned int, struct RenderAPI::IStructuredBuffer const *",False,False,True,False,False,False,True
10,9,0x9,?bindResourceAsStencil@DX11Renderer@RenderAPI@@UEAAXIPEAUITexture@2@@Z,"public: virtual void __cdecl RenderAPI::DX11Renderer::bindResourceAsStencil(unsigned int, struct RenderAPI::ITexture *)",method,RenderAPI,DX11Renderer,bindResourceAsStencil,"unsigned int, struct RenderAPI::ITexture *",False,False,True,False,False,False,True
11,10,0xA,?clearColor@DX11Renderer@RenderAPI@@UEAAXPEBVVec4f@osg@@H@Z,"public: virtual void __cdecl RenderAPI::DX11Renderer::clearColor(class osg::Vec4f const *, int)",method,RenderAPI,DX11Renderer,clearColor,"class osg::Vec4f const *, int",False,False,True,False,False,False,True
12,11,0xB,?clearDepth@DX11Renderer@RenderAPI@@UEAAXM@Z,public: virtual void __cdecl RenderAPI::DX11Renderer::clearDepth(float),method,RenderAPI,DX11Renderer,clearDepth,float,False,False,True,False,False,False,True
13,12,0xC,?clearFrameBuffer@DX11Renderer@RenderAPI@@UEAAXAEBVVec4f@osg@@MI@Z,"public: virtual void __cdecl RenderAPI::DX11Renderer::clearFrameBuffer(class osg::Vec4f const &, float, unsigned int)",method,RenderAPI,DX11Renderer,clearFrameBuffer,"class osg::Vec4f const &, float, unsigned int",False,False,True,False,False,False,True
14,13,0xD,?clearStencil@DX11Renderer@RenderAPI@@UEAAXI@Z,public: virtual void __cdecl RenderAPI::DX11Renderer::clearStencil(unsigned int),method,RenderAPI,DX11Renderer,clearStencil,unsigned int,False,False,True,False,False,False,True
15,14,0xE,?clearUAV@DX11Renderer@RenderAPI@@UEAA_NPEAUITexture@2@AEBVVec4f@osg@@@Z,"public: virtual bool __cdecl RenderAPI::DX11Renderer::clearUAV(struct RenderAPI::ITexture *, class osg::Vec4f const &)",method,RenderAPI,DX11Renderer,clearUAV,"struct RenderAPI::ITexture *, class osg::Vec4f const &",False,False,True,False,False,False,True
