ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??$getStorage@VGraphicCommandDrawBkg@gui@@@GraphicCommand@gui@@KAAEAU?$CommandStorage@VGraphicCommandDrawBkg@gui@@@01@XZ,protected: static struct gui::GraphicCommand::CommandStorage<class gui::GraphicCommandDrawBkg> & __cdecl gui::GraphicCommand::getStorage<class gui::GraphicCommandDrawBkg>(void),method,,gui,GraphicCommandDrawBkg>,void,False,True,False,False,False,False,True
2,1,0x1,??$getStorage@VGraphicCommandDrawCircle@gui@@@GraphicCommand@gui@@KAAEAU?$CommandStorage@VGraphicCommandDrawCircle@gui@@@01@XZ,protected: static struct gui::GraphicCommand::CommandStorage<class gui::GraphicCommandDrawCircle> & __cdecl gui::GraphicCommand::getStorage<class gui::GraphicCommandDrawCircle>(void),method,,gui,GraphicCommandDrawCircle>,void,False,True,False,False,False,False,True
3,2,0x2,??$getStorage@VGraphicCommandDrawFunc@gui@@@GraphicCommand@gui@@KAAEAU?$CommandStorage@VGraphicCommandDrawFunc@gui@@@01@XZ,protected: static struct gui::GraphicCommand::CommandStorage<class gui::GraphicCommandDrawFunc> & __cdecl gui::GraphicCommand::getStorage<class gui::GraphicCommandDrawFunc>(void),method,,gui,GraphicCommandDrawFunc>,void,False,True,False,False,False,False,True
4,3,0x3,??$getStorage@VGraphicCommandDrawGeometry@gui@@@GraphicCommand@gui@@KAAEAU?$CommandStorage@VGraphicCommandDrawGeometry@gui@@@01@XZ,protected: static struct gui::GraphicCommand::CommandStorage<class gui::GraphicCommandDrawGeometry> & __cdecl gui::GraphicCommand::getStorage<class gui::GraphicCommandDrawGeometry>(void),method,,gui,GraphicCommandDrawGeometry>,void,False,True,False,False,False,False,True
5,4,0x4,??$getStorage@VGraphicCommandDrawLifeBar@gui@@@GraphicCommand@gui@@KAAEAU?$CommandStorage@VGraphicCommandDrawLifeBar@gui@@@01@XZ,protected: static struct gui::GraphicCommand::CommandStorage<class gui::GraphicCommandDrawLifeBar> & __cdecl gui::GraphicCommand::getStorage<class gui::GraphicCommandDrawLifeBar>(void),method,,gui,GraphicCommandDrawLifeBar>,void,False,True,False,False,False,False,True
6,5,0x5,??$getStorage@VGraphicCommandDrawQuads@gui@@@GraphicCommand@gui@@KAAEAU?$CommandStorage@VGraphicCommandDrawQuads@gui@@@01@XZ,protected: static struct gui::GraphicCommand::CommandStorage<class gui::GraphicCommandDrawQuads> & __cdecl gui::GraphicCommand::getStorage<class gui::GraphicCommandDrawQuads>(void),method,,gui,GraphicCommandDrawQuads>,void,False,True,False,False,False,False,True
7,6,0x6,??$getStorage@VGraphicCommandDrawText@gui@@@GraphicCommand@gui@@KAAEAU?$CommandStorage@VGraphicCommandDrawText@gui@@@01@XZ,protected: static struct gui::GraphicCommand::CommandStorage<class gui::GraphicCommandDrawText> & __cdecl gui::GraphicCommand::getStorage<class gui::GraphicCommandDrawText>(void),method,,gui,GraphicCommandDrawText>,void,False,True,False,False,False,False,True
8,7,0x7,??$getStorage@VGraphicCommandDrawToTarget@gui@@@GraphicCommand@gui@@KAAEAU?$CommandStorage@VGraphicCommandDrawToTarget@gui@@@01@XZ,protected: static struct gui::GraphicCommand::CommandStorage<class gui::GraphicCommandDrawToTarget> & __cdecl gui::GraphicCommand::getStorage<class gui::GraphicCommandDrawToTarget>(void),method,,gui,GraphicCommandDrawToTarget>,void,False,True,False,False,False,False,True
9,8,0x8,??$getStorage@VGraphicCommandModelViewMatrix@gui@@@GraphicCommand@gui@@KAAEAU?$CommandStorage@VGraphicCommandModelViewMatrix@gui@@@01@XZ,protected: static struct gui::GraphicCommand::CommandStorage<class gui::GraphicCommandModelViewMatrix> & __cdecl gui::GraphicCommand::getStorage<class gui::GraphicCommandModelViewMatrix>(void),method,,gui,GraphicCommandModelViewMatrix>,void,False,True,False,False,False,False,True
10,9,0x9,??$getStorage@VGraphicCommandParse@gui@@@GraphicCommand@gui@@KAAEAU?$CommandStorage@VGraphicCommandParse@gui@@@01@XZ,protected: static struct gui::GraphicCommand::CommandStorage<class gui::GraphicCommandParse> & __cdecl gui::GraphicCommand::getStorage<class gui::GraphicCommandParse>(void),method,,gui,GraphicCommandParse>,void,False,True,False,False,False,False,True
