ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0ArbitraryValue@profiler@@IEAA@_K0IGW4DataType@1@_N@Z,"protected: __cdecl profiler::ArbitraryValue::ArbitraryValue(unsigned __int64, unsigned __int64, unsigned int, unsigned short, enum profiler::DataType, bool)",method,profiler,ArbitraryValue,ArbitraryValue,"unsigned __int64, unsigned __int64, unsigned int, unsigned short, enum profiler::DataType, bool",False,False,False,False,False,False,True
2,1,0x1,??0BaseBlockData@profiler@@QEAA@_K0I@Z,"public: __cdecl profiler::BaseBlockData::BaseBlockData(unsigned __int64, unsigned __int64, unsigned int)",method,profiler,BaseBlockData,BaseBlockData,"unsigned __int64, unsigned __int64, unsigned int",False,False,False,False,False,False,True
3,2,0x2,??0BaseBlockData@profiler@@QEAA@_KI@Z,"public: __cdecl profiler::BaseBlockData::BaseBlockData(unsigned __int64, unsigned int)",method,profiler,BaseBlockData,BaseBlockData,"unsigned __int64, unsigned int",False,False,False,False,False,False,True
4,3,0x3,??0BaseBlockDescriptor@profiler@@IEAA@IW4EasyBlockStatus@1@HW4BlockType@1@I@Z,"protected: __cdecl profiler::BaseBlockDescriptor::BaseBlockDescriptor(unsigned int, enum profiler::EasyBlockStatus, int, enum profiler::BlockType, unsigned int)",method,profiler,BaseBlockDescriptor,BaseBlockDescriptor,"unsigned int, enum profiler::EasyBlockStatus, int, enum profiler::BlockType, unsigned int",False,False,False,False,False,False,True
5,4,0x4,??0Block@profiler@@QEAA@$$QEAV01@@Z,public: __cdecl profiler::Block::Block(class profiler::Block &&),method,profiler,Block,Block,class profiler::Block &&,False,False,False,False,False,False,True
6,5,0x5,??0Block@profiler@@QEAA@PEBVBaseBlockDescriptor@1@PEBD_N@Z,"public: __cdecl profiler::Block::Block(class profiler::BaseBlockDescriptor const *, char const *, bool)",method,profiler,Block,Block,"class profiler::BaseBlockDescriptor const *, char const *, bool",False,False,False,False,False,False,True
7,6,0x6,??0Block@profiler@@QEAA@_K0IPEBD@Z,"public: __cdecl profiler::Block::Block(unsigned __int64, unsigned __int64, unsigned int, char const *)",method,profiler,Block,Block,"unsigned __int64, unsigned __int64, unsigned int, char const *",False,False,False,False,False,False,True
8,7,0x7,??0Block@profiler@@QEAA@_KIPEBD@Z,"public: __cdecl profiler::Block::Block(unsigned __int64, unsigned int, char const *)",method,profiler,Block,Block,"unsigned __int64, unsigned int, char const *",False,False,False,False,False,False,True
9,8,0x8,??0CSwitchEvent@profiler@@QEAA@_K0@Z,"public: __cdecl profiler::CSwitchEvent::CSwitchEvent(unsigned __int64, unsigned __int64)",method,profiler,CSwitchEvent,CSwitchEvent,"unsigned __int64, unsigned __int64",False,False,False,False,False,False,True
10,9,0x9,??0EasySocket@@QEAA@XZ,public: __cdecl EasySocket::EasySocket(void),method,,EasySocket,EasySocket,void,False,False,False,False,False,False,True
11,10,0xA,??0Event@profiler@@QEAA@_K0@Z,"public: __cdecl profiler::Event::Event(unsigned __int64, unsigned __int64)",method,profiler,Event,Event,"unsigned __int64, unsigned __int64",False,False,False,False,False,False,True
12,11,0xB,??0Event@profiler@@QEAA@_K@Z,public: __cdecl profiler::Event::Event(unsigned __int64),method,profiler,Event,Event,unsigned __int64,False,False,False,False,False,False,True
13,12,0xC,??0SerializedBlock@profiler@@AEAA@AEBVBlock@1@G@Z,"private: __cdecl profiler::SerializedBlock::SerializedBlock(class profiler::Block const &, unsigned short)",method,profiler,SerializedBlock,SerializedBlock,"class profiler::Block const &, unsigned short",False,False,False,False,False,False,True
14,13,0xD,??0SerializedCSwitch@profiler@@AEAA@AEBVCSwitchBlock@@G@Z,"private: __cdecl profiler::SerializedCSwitch::SerializedCSwitch(class CSwitchBlock const &, unsigned short)",method,profiler,SerializedCSwitch,SerializedCSwitch,"class CSwitchBlock const &, unsigned short",False,False,False,False,False,False,True
15,14,0xE,??0SerializedData@profiler@@QEAA@$$QEAV01@@Z,public: __cdecl profiler::SerializedData::SerializedData(class profiler::SerializedData &&),method,profiler,SerializedData,SerializedData,class profiler::SerializedData &&,False,False,False,False,False,False,True
16,15,0xF,??0SerializedData@profiler@@QEAA@XZ,public: __cdecl profiler::SerializedData::SerializedData(void),method,profiler,SerializedData,SerializedData,void,False,False,False,False,False,False,True
17,16,0x10,??0ThreadGuard@profiler@@QEAA@XZ,public: __cdecl profiler::ThreadGuard::ThreadGuard(void),method,profiler,ThreadGuard,ThreadGuard,void,False,False,False,False,False,False,True
18,17,0x11,??1Block@profiler@@QEAA@XZ,public: __cdecl profiler::Block::~Block(void),method,profiler,Block,~Block,void,False,False,False,False,False,False,True
19,18,0x12,??1EasySocket@@QEAA@XZ,public: __cdecl EasySocket::~EasySocket(void),method,,EasySocket,~EasySocket,void,False,False,False,False,False,False,True
20,19,0x13,??1SerializedData@profiler@@QEAA@XZ,public: __cdecl profiler::SerializedData::~SerializedData(void),method,profiler,SerializedData,~SerializedData,void,False,False,False,False,False,False,True
21,20,0x14,??1ThreadGuard@profiler@@QEAA@XZ,public: __cdecl profiler::ThreadGuard::~ThreadGuard(void),method,profiler,ThreadGuard,~ThreadGuard,void,False,False,False,False,False,False,True
22,21,0x15,??4ArbitraryValue@profiler@@QEAAAEAV01@AEBV01@@Z,public: class profiler::ArbitraryValue & __cdecl profiler::ArbitraryValue::operator=(class profiler::ArbitraryValue const &),symbol,,,,,False,False,False,False,False,False,True
23,22,0x16,??4BaseBlockData@profiler@@QEAAAEAV01@AEBV01@@Z,public: class profiler::BaseBlockData & __cdecl profiler::BaseBlockData::operator=(class profiler::BaseBlockData const &),symbol,,,,,False,False,False,False,False,False,True
24,23,0x17,??4BaseBlockDescriptor@profiler@@QEAAAEAV01@$$QEAV01@@Z,public: class profiler::BaseBlockDescriptor & __cdecl profiler::BaseBlockDescriptor::operator=(class profiler::BaseBlockDescriptor &&),symbol,,,,,False,False,False,False,False,False,True
25,24,0x18,??4BaseBlockDescriptor@profiler@@QEAAAEAV01@AEBV01@@Z,public: class profiler::BaseBlockDescriptor & __cdecl profiler::BaseBlockDescriptor::operator=(class profiler::BaseBlockDescriptor const &),symbol,,,,,False,False,False,False,False,False,True
26,25,0x19,??4CSwitchEvent@profiler@@QEAAAEAV01@AEBV01@@Z,public: class profiler::CSwitchEvent & __cdecl profiler::CSwitchEvent::operator=(class profiler::CSwitchEvent const &),symbol,,,,,False,False,False,False,False,False,True
27,26,0x1A,??4EasySocket@@QEAAAEAV0@AEBV0@@Z,public: class EasySocket & __cdecl EasySocket::operator=(class EasySocket const &),symbol,,,,,False,False,False,False,False,False,True
28,27,0x1B,??4Event@profiler@@QEAAAEAV01@AEBV01@@Z,public: class profiler::Event & __cdecl profiler::Event::operator=(class profiler::Event const &),symbol,,,,,False,False,False,False,False,False,True
29,28,0x1C,??4SerializedData@profiler@@QEAAAEAV01@$$QEAV01@@Z,public: class profiler::SerializedData & __cdecl profiler::SerializedData::operator=(class profiler::SerializedData &&),symbol,,,,,False,False,False,False,False,False,True
30,29,0x1D,??4ThreadGuard@profiler@@QEAAAEAV01@AEBV01@@Z,public: class profiler::ThreadGuard & __cdecl profiler::ThreadGuard::operator=(class profiler::ThreadGuard const &),symbol,,,,,False,False,False,False,False,False,True
31,30,0x1E,??ASerializedData@profiler@@QEAAPEAD_K@Z,public: char * __cdecl profiler::SerializedData::operator[](unsigned __int64),symbol,,,,,False,False,False,False,False,False,True
32,31,0x1F,??ASerializedData@profiler@@QEBAPEBD_K@Z,public: char const * __cdecl profiler::SerializedData::operator[](unsigned __int64) const,symbol,,,,,False,False,False,False,False,False,True
33,32,0x20,?accept@EasySocket@@QEAAHXZ,public: int __cdecl EasySocket::accept(void),method,,EasySocket,accept,void,False,False,False,False,False,False,True
34,33,0x21,?begin@Event@profiler@@QEBA_KXZ,public: unsigned __int64 __cdecl profiler::Event::begin(void) const,method,profiler,Event,begin,void,True,False,False,False,False,False,True
35,34,0x22,?bind@EasySocket@@QEAAHG@Z,public: int __cdecl EasySocket::bind(unsigned short),method,,EasySocket,bind,unsigned short,False,False,False,False,False,False,True
36,35,0x23,?checkResult@EasySocket@@AEAAXH@Z,private: void __cdecl EasySocket::checkResult(int),method,,EasySocket,checkResult,int,False,False,False,False,False,False,True
37,36,0x24,?checkSocket@EasySocket@@AEBA_N_K@Z,private: bool __cdecl EasySocket::checkSocket(unsigned __int64) const,method,,EasySocket,checkSocket,unsigned __int64,True,False,False,False,False,False,True
38,37,0x25,?clear@SerializedData@profiler@@QEAAXXZ,public: void __cdecl profiler::SerializedData::clear(void),method,profiler,SerializedData,clear,void,False,False,False,False,False,False,True
39,38,0x26,?color@BaseBlockDescriptor@profiler@@QEBAIXZ,public: unsigned int __cdecl profiler::BaseBlockDescriptor::color(void) const,method,profiler,BaseBlockDescriptor,color,void,True,False,False,False,False,False,True
40,39,0x27,?connect@EasySocket@@QEAAHXZ,public: int __cdecl EasySocket::connect(void),method,,EasySocket,connect,void,False,False,False,False,False,False,True
41,40,0x28,?data@ArbitraryValue@profiler@@QEBAPEBDXZ,public: char const * __cdecl profiler::ArbitraryValue::data(void) const,method,profiler,ArbitraryValue,data,void,True,False,False,False,False,False,True
42,41,0x29,?data@SerializedBlock@profiler@@QEBAPEBDXZ,public: char const * __cdecl profiler::SerializedBlock::data(void) const,method,profiler,SerializedBlock,data,void,True,False,False,False,False,False,True
43,42,0x2A,?data@SerializedBlockDescriptor@profiler@@QEBAPEBDXZ,public: char const * __cdecl profiler::SerializedBlockDescriptor::data(void) const,method,profiler,SerializedBlockDescriptor,data,void,True,False,False,False,False,False,True
44,43,0x2B,?data@SerializedCSwitch@profiler@@QEBAPEBDXZ,public: char const * __cdecl profiler::SerializedCSwitch::data(void) const,method,profiler,SerializedCSwitch,data,void,True,False,False,False,False,False,True
45,44,0x2C,?data@SerializedData@profiler@@QEAAPEADXZ,public: char * __cdecl profiler::SerializedData::data(void),method,profiler,SerializedData,data,void,False,False,False,False,False,False,True
46,45,0x2D,?data@SerializedData@profiler@@QEBAPEBDXZ,public: char const * __cdecl profiler::SerializedData::data(void) const,method,profiler,SerializedData,data,void,True,False,False,False,False,False,True
47,46,0x2E,?data_size@ArbitraryValue@profiler@@QEBAGXZ,public: unsigned short __cdecl profiler::ArbitraryValue::data_size(void) const,method,profiler,ArbitraryValue,data_size,void,True,False,False,False,False,False,True
48,47,0x2F,?duration@Event@profiler@@QEBA_KXZ,public: unsigned __int64 __cdecl profiler::Event::duration(void) const,method,profiler,Event,duration,void,True,False,False,False,False,False,True
49,48,0x30,?empty@SerializedData@profiler@@QEBA_NXZ,public: bool __cdecl profiler::SerializedData::empty(void) const,method,profiler,SerializedData,empty,void,True,False,False,False,False,False,True
50,49,0x31,?end@Event@profiler@@QEBA_KXZ,public: unsigned __int64 __cdecl profiler::Event::end(void) const,method,profiler,Event,end,void,True,False,False,False,False,False,True
51,50,0x32,?extend@SerializedData@profiler@@QEAAX_K@Z,public: void __cdecl profiler::SerializedData::extend(unsigned __int64),method,profiler,SerializedData,extend,unsigned __int64,False,False,False,False,False,False,True
52,51,0x33,?file@SerializedBlockDescriptor@profiler@@QEBAPEBDXZ,public: char const * __cdecl profiler::SerializedBlockDescriptor::file(void) const,method,profiler,SerializedBlockDescriptor,file,void,True,False,False,False,False,False,True
53,52,0x34,?finish@Block@profiler@@AEAAXXZ,private: void __cdecl profiler::Block::finish(void),method,profiler,Block,finish,void,False,False,False,False,False,False,True
54,53,0x35,?finish@Block@profiler@@AEAAX_K@Z,private: void __cdecl profiler::Block::finish(unsigned __int64),method,profiler,Block,finish,unsigned __int64,False,False,False,False,False,False,True
55,54,0x36,?finished@Block@profiler@@AEBA_NXZ,private: bool __cdecl profiler::Block::finished(void) const,method,profiler,Block,finished,void,True,False,False,False,False,False,True
56,55,0x37,?flush@EasySocket@@QEAAXXZ,public: void __cdecl EasySocket::flush(void),method,,EasySocket,flush,void,False,False,False,False,False,False,True
57,56,0x38,?id@BaseBlockData@profiler@@QEBAIXZ,public: unsigned int __cdecl profiler::BaseBlockData::id(void) const,method,profiler,BaseBlockData,id,void,True,False,False,False,False,False,True
58,57,0x39,?id@BaseBlockDescriptor@profiler@@QEBAIXZ,public: unsigned int __cdecl profiler::BaseBlockDescriptor::id(void) const,method,profiler,BaseBlockDescriptor,id,void,True,False,False,False,False,False,True
59,58,0x3A,?init@EasySocket@@QEAAXXZ,public: void __cdecl EasySocket::init(void),method,,EasySocket,init,void,False,False,False,False,False,False,True
60,59,0x3B,?isArray@ArbitraryValue@profiler@@QEBA_NXZ,public: bool __cdecl profiler::ArbitraryValue::isArray(void) const,method,profiler,ArbitraryValue,isArray,void,True,False,False,False,False,False,True
61,60,0x3C,?isConnected@EasySocket@@QEBA_NXZ,public: bool __cdecl EasySocket::isConnected(void) const,method,,EasySocket,isConnected,void,True,False,False,False,False,False,True
62,61,0x3D,?isDisconnected@EasySocket@@QEBA_NXZ,public: bool __cdecl EasySocket::isDisconnected(void) const,method,,EasySocket,isDisconnected,void,True,False,False,False,False,False,True
63,62,0x3E,?line@BaseBlockDescriptor@profiler@@QEBAHXZ,public: int __cdecl profiler::BaseBlockDescriptor::line(void) const,method,profiler,BaseBlockDescriptor,line,void,True,False,False,False,False,False,True
64,63,0x3F,?listen@EasySocket@@QEAAHH@Z,public: int __cdecl EasySocket::listen(int),method,,EasySocket,listen,int,False,False,False,False,False,False,True
65,64,0x40,?name@Block@profiler@@QEBAPEBDXZ,public: char const * __cdecl profiler::Block::name(void) const,method,profiler,Block,name,void,True,False,False,False,False,False,True
66,65,0x41,?name@SerializedBlock@profiler@@QEBAPEBDXZ,public: char const * __cdecl profiler::SerializedBlock::name(void) const,method,profiler,SerializedBlock,name,void,True,False,False,False,False,False,True
67,66,0x42,?name@SerializedBlockDescriptor@profiler@@QEBAPEBDXZ,public: char const * __cdecl profiler::SerializedBlockDescriptor::name(void) const,method,profiler,SerializedBlockDescriptor,name,void,True,False,False,False,False,False,True
68,67,0x43,?name@SerializedCSwitch@profiler@@QEBAPEBDXZ,public: char const * __cdecl profiler::SerializedCSwitch::name(void) const,method,profiler,SerializedCSwitch,name,void,True,False,False,False,False,False,True
