ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??$add@$01M@Math@@YAXAEAV?$Matrix@$01M@0@AEBV10@1@Z,"void __cdecl Math::add<2, float>(class Math::Matrix<2, float> &, class Math::Matrix<2, float> const &, class Math::Matrix<2, float> const &)",function,,,float>,"class Math::Matrix<2, float> &, class Math::Matrix<2, float> const &, class Math::Matrix<2, float> const &",False,False,False,False,False,False,True
2,1,0x1,??$add@$01N@Math@@YAXAEAV?$Matrix@$01N@0@AEBV10@1@Z,"void __cdecl Math::add<2, double>(class Math::Matrix<2, double> &, class Math::Matrix<2, double> const &, class Math::Matrix<2, double> const &)",function,,,double>,"class Math::Matrix<2, double> &, class Math::Matrix<2, double> const &, class Math::Matrix<2, double> const &",False,False,False,False,False,False,True
3,2,0x2,??$add@$02M@Math@@YAXAEAV?$Matrix@$02M@0@AEBV10@1@Z,"void __cdecl Math::add<3, float>(class Math::Matrix<3, float> &, class Math::Matrix<3, float> const &, class Math::Matrix<3, float> const &)",function,,,float>,"class Math::Matrix<3, float> &, class Math::Matrix<3, float> const &, class Math::Matrix<3, float> const &",False,False,False,False,False,False,True
4,3,0x3,??$add@$02N@Math@@YAXAEAV?$Matrix@$02N@0@AEBV10@1@Z,"void __cdecl Math::add<3, double>(class Math::Matrix<3, double> &, class Math::Matrix<3, double> const &, class Math::Matrix<3, double> const &)",function,,,double>,"class Math::Matrix<3, double> &, class Math::Matrix<3, double> const &, class Math::Matrix<3, double> const &",False,False,False,False,False,False,True
5,4,0x4,??$add@$03M@Math@@YAXAEAV?$Matrix@$03M@0@AEBV10@1@Z,"void __cdecl Math::add<4, float>(class Math::Matrix<4, float> &, class Math::Matrix<4, float> const &, class Math::Matrix<4, float> const &)",function,,,float>,"class Math::Matrix<4, float> &, class Math::Matrix<4, float> const &, class Math::Matrix<4, float> const &",False,False,False,False,False,False,True
6,5,0x5,??$add@$03N@Math@@YAXAEAV?$Matrix@$03N@0@AEBV10@1@Z,"void __cdecl Math::add<4, double>(class Math::Matrix<4, double> &, class Math::Matrix<4, double> const &, class Math::Matrix<4, double> const &)",function,,,double>,"class Math::Matrix<4, double> &, class Math::Matrix<4, double> const &, class Math::Matrix<4, double> const &",False,False,False,False,False,False,True
7,6,0x6,??$determinant@M@Math@@YAMAEBV?$Matrix@$01M@0@@Z,"float __cdecl Math::determinant<float>(class Math::Matrix<2, float> const &)",method,,Math,determinant<float>,"class Math::Matrix<2, float> const &",False,False,False,False,False,False,True
8,7,0x7,??$determinant@M@Math@@YAMAEBV?$Matrix@$02M@0@@Z,"float __cdecl Math::determinant<float>(class Math::Matrix<3, float> const &)",method,,Math,determinant<float>,"class Math::Matrix<3, float> const &",False,False,False,False,False,False,True
9,8,0x8,??$determinant@M@Math@@YAMAEBV?$Matrix@$03M@0@@Z,"float __cdecl Math::determinant<float>(class Math::Matrix<4, float> const &)",method,,Math,determinant<float>,"class Math::Matrix<4, float> const &",False,False,False,False,False,False,True
10,9,0x9,??$determinant@N@Math@@YANAEBV?$Matrix@$01N@0@@Z,"double __cdecl Math::determinant<double>(class Math::Matrix<2, double> const &)",method,,Math,determinant<double>,"class Math::Matrix<2, double> const &",False,False,False,False,False,False,True
11,10,0xA,??$determinant@N@Math@@YANAEBV?$Matrix@$02N@0@@Z,"double __cdecl Math::determinant<double>(class Math::Matrix<3, double> const &)",method,,Math,determinant<double>,"class Math::Matrix<3, double> const &",False,False,False,False,False,False,True
12,11,0xB,??$determinant@N@Math@@YANAEBV?$Matrix@$03N@0@@Z,"double __cdecl Math::determinant<double>(class Math::Matrix<4, double> const &)",method,,Math,determinant<double>,"class Math::Matrix<4, double> const &",False,False,False,False,False,False,True
13,12,0xC,??$invert@$01M@Math@@YAXAEAV?$Matrix@$01M@0@AEBV10@@Z,"void __cdecl Math::invert<2, float>(class Math::Matrix<2, float> &, class Math::Matrix<2, float> const &)",function,,,float>,"class Math::Matrix<2, float> &, class Math::Matrix<2, float> const &",False,False,False,False,False,False,True
14,13,0xD,??$invert@$01N@Math@@YAXAEAV?$Matrix@$01N@0@AEBV10@@Z,"void __cdecl Math::invert<2, double>(class Math::Matrix<2, double> &, class Math::Matrix<2, double> const &)",function,,,double>,"class Math::Matrix<2, double> &, class Math::Matrix<2, double> const &",False,False,False,False,False,False,True
15,14,0xE,??$invert@$02M@Math@@YAXAEAV?$Matrix@$02M@0@AEBV10@@Z,"void __cdecl Math::invert<3, float>(class Math::Matrix<3, float> &, class Math::Matrix<3, float> const &)",function,,,float>,"class Math::Matrix<3, float> &, class Math::Matrix<3, float> const &",False,False,False,False,False,False,True
16,15,0xF,??$invert@$02N@Math@@YAXAEAV?$Matrix@$02N@0@AEBV10@@Z,"void __cdecl Math::invert<3, double>(class Math::Matrix<3, double> &, class Math::Matrix<3, double> const &)",function,,,double>,"class Math::Matrix<3, double> &, class Math::Matrix<3, double> const &",False,False,False,False,False,False,True
17,16,0x10,??$invert@$03M@Math@@YAXAEAV?$Matrix@$03M@0@AEBV10@@Z,"void __cdecl Math::invert<4, float>(class Math::Matrix<4, float> &, class Math::Matrix<4, float> const &)",function,,,float>,"class Math::Matrix<4, float> &, class Math::Matrix<4, float> const &",False,False,False,False,False,False,True
18,17,0x11,??$invert@$03N@Math@@YAXAEAV?$Matrix@$03N@0@AEBV10@@Z,"void __cdecl Math::invert<4, double>(class Math::Matrix<4, double> &, class Math::Matrix<4, double> const &)",function,,,double>,"class Math::Matrix<4, double> &, class Math::Matrix<4, double> const &",False,False,False,False,False,False,True
19,18,0x12,??$invertOrtho@$01M@Math@@YAXAEAV?$Matrix@$01M@0@AEBV10@@Z,"void __cdecl Math::invertOrtho<2, float>(class Math::Matrix<2, float> &, class Math::Matrix<2, float> const &)",function,,,float>,"class Math::Matrix<2, float> &, class Math::Matrix<2, float> const &",False,False,False,False,False,False,True
20,19,0x13,??$invertOrtho@$01N@Math@@YAXAEAV?$Matrix@$01N@0@AEBV10@@Z,"void __cdecl Math::invertOrtho<2, double>(class Math::Matrix<2, double> &, class Math::Matrix<2, double> const &)",function,,,double>,"class Math::Matrix<2, double> &, class Math::Matrix<2, double> const &",False,False,False,False,False,False,True
21,20,0x14,??$invertOrtho@$02M@Math@@YAXAEAV?$Matrix@$02M@0@AEBV10@@Z,"void __cdecl Math::invertOrtho<3, float>(class Math::Matrix<3, float> &, class Math::Matrix<3, float> const &)",function,,,float>,"class Math::Matrix<3, float> &, class Math::Matrix<3, float> const &",False,False,False,False,False,False,True
22,21,0x15,??$invertOrtho@$02N@Math@@YAXAEAV?$Matrix@$02N@0@AEBV10@@Z,"void __cdecl Math::invertOrtho<3, double>(class Math::Matrix<3, double> &, class Math::Matrix<3, double> const &)",function,,,double>,"class Math::Matrix<3, double> &, class Math::Matrix<3, double> const &",False,False,False,False,False,False,True
23,22,0x16,??$invertOrtho@$03M@Math@@YAXAEAV?$Matrix@$03M@0@AEBV10@@Z,"void __cdecl Math::invertOrtho<4, float>(class Math::Matrix<4, float> &, class Math::Matrix<4, float> const &)",function,,,float>,"class Math::Matrix<4, float> &, class Math::Matrix<4, float> const &",False,False,False,False,False,False,True
24,23,0x17,??$invertOrtho@$03N@Math@@YAXAEAV?$Matrix@$03N@0@AEBV10@@Z,"void __cdecl Math::invertOrtho<4, double>(class Math::Matrix<4, double> &, class Math::Matrix<4, double> const &)",function,,,double>,"class Math::Matrix<4, double> &, class Math::Matrix<4, double> const &",False,False,False,False,False,False,True
25,24,0x18,??$multiply@$01M@Math@@YAXAEAV?$Matrix@$01M@0@AEBV10@1@Z,"void __cdecl Math::multiply<2, float>(class Math::Matrix<2, float> &, class Math::Matrix<2, float> const &, class Math::Matrix<2, float> const &)",function,,,float>,"class Math::Matrix<2, float> &, class Math::Matrix<2, float> const &, class Math::Matrix<2, float> const &",False,False,False,False,False,False,True
26,25,0x19,??$multiply@$01N@Math@@YAXAEAV?$Matrix@$01N@0@AEBV10@1@Z,"void __cdecl Math::multiply<2, double>(class Math::Matrix<2, double> &, class Math::Matrix<2, double> const &, class Math::Matrix<2, double> const &)",function,,,double>,"class Math::Matrix<2, double> &, class Math::Matrix<2, double> const &, class Math::Matrix<2, double> const &",False,False,False,False,False,False,True
27,26,0x1A,??$multiply@$02M@Math@@YAXAEAV?$Matrix@$02M@0@AEBV10@1@Z,"void __cdecl Math::multiply<3, float>(class Math::Matrix<3, float> &, class Math::Matrix<3, float> const &, class Math::Matrix<3, float> const &)",function,,,float>,"class Math::Matrix<3, float> &, class Math::Matrix<3, float> const &, class Math::Matrix<3, float> const &",False,False,False,False,False,False,True
28,27,0x1B,??$multiply@$02N@Math@@YAXAEAV?$Matrix@$02N@0@AEBV10@1@Z,"void __cdecl Math::multiply<3, double>(class Math::Matrix<3, double> &, class Math::Matrix<3, double> const &, class Math::Matrix<3, double> const &)",function,,,double>,"class Math::Matrix<3, double> &, class Math::Matrix<3, double> const &, class Math::Matrix<3, double> const &",False,False,False,False,False,False,True
29,28,0x1C,??$multiply@$03M@Math@@YAXAEAV?$Matrix@$03M@0@AEBV10@1@Z,"void __cdecl Math::multiply<4, float>(class Math::Matrix<4, float> &, class Math::Matrix<4, float> const &, class Math::Matrix<4, float> const &)",function,,,float>,"class Math::Matrix<4, float> &, class Math::Matrix<4, float> const &, class Math::Matrix<4, float> const &",False,False,False,False,False,False,True
30,29,0x1D,??$multiply@$03N@Math@@YAXAEAV?$Matrix@$03N@0@AEBV10@1@Z,"void __cdecl Math::multiply<4, double>(class Math::Matrix<4, double> &, class Math::Matrix<4, double> const &, class Math::Matrix<4, double> const &)",function,,,double>,"class Math::Matrix<4, double> &, class Math::Matrix<4, double> const &, class Math::Matrix<4, double> const &",False,False,False,False,False,False,True
31,30,0x1E,??$slerp@M@Math@@YA?AU?$Rotation3@M@0@AEBU10@0M@Z,"struct Math::Rotation3<float> __cdecl Math::slerp<float>(struct Math::Rotation3<float> const &, struct Math::Rotation3<float> const &, float)",method,,Math,slerp<float>,"struct Math::Rotation3<float> const &, struct Math::Rotation3<float> const &, float",False,False,False,False,False,False,True
32,31,0x1F,??$slerp@N@Math@@YA?AU?$Rotation3@N@0@AEBU10@0N@Z,"struct Math::Rotation3<double> __cdecl Math::slerp<double>(struct Math::Rotation3<double> const &, struct Math::Rotation3<double> const &, double)",method,,Math,slerp<double>,"struct Math::Rotation3<double> const &, struct Math::Rotation3<double> const &, double",False,False,False,False,False,False,True
33,32,0x20,??$subtract@$01M@Math@@YAXAEAV?$Matrix@$01M@0@AEBV10@1@Z,"void __cdecl Math::subtract<2, float>(class Math::Matrix<2, float> &, class Math::Matrix<2, float> const &, class Math::Matrix<2, float> const &)",function,,,float>,"class Math::Matrix<2, float> &, class Math::Matrix<2, float> const &, class Math::Matrix<2, float> const &",False,False,False,False,False,False,True
34,33,0x21,??$subtract@$01N@Math@@YAXAEAV?$Matrix@$01N@0@AEBV10@1@Z,"void __cdecl Math::subtract<2, double>(class Math::Matrix<2, double> &, class Math::Matrix<2, double> const &, class Math::Matrix<2, double> const &)",function,,,double>,"class Math::Matrix<2, double> &, class Math::Matrix<2, double> const &, class Math::Matrix<2, double> const &",False,False,False,False,False,False,True
35,34,0x22,??$subtract@$02M@Math@@YAXAEAV?$Matrix@$02M@0@AEBV10@1@Z,"void __cdecl Math::subtract<3, float>(class Math::Matrix<3, float> &, class Math::Matrix<3, float> const &, class Math::Matrix<3, float> const &)",function,,,float>,"class Math::Matrix<3, float> &, class Math::Matrix<3, float> const &, class Math::Matrix<3, float> const &",False,False,False,False,False,False,True
36,35,0x23,??$subtract@$02N@Math@@YAXAEAV?$Matrix@$02N@0@AEBV10@1@Z,"void __cdecl Math::subtract<3, double>(class Math::Matrix<3, double> &, class Math::Matrix<3, double> const &, class Math::Matrix<3, double> const &)",function,,,double>,"class Math::Matrix<3, double> &, class Math::Matrix<3, double> const &, class Math::Matrix<3, double> const &",False,False,False,False,False,False,True
37,36,0x24,??$subtract@$03M@Math@@YAXAEAV?$Matrix@$03M@0@AEBV10@1@Z,"void __cdecl Math::subtract<4, float>(class Math::Matrix<4, float> &, class Math::Matrix<4, float> const &, class Math::Matrix<4, float> const &)",function,,,float>,"class Math::Matrix<4, float> &, class Math::Matrix<4, float> const &, class Math::Matrix<4, float> const &",False,False,False,False,False,False,True
38,37,0x25,??$subtract@$03N@Math@@YAXAEAV?$Matrix@$03N@0@AEBV10@1@Z,"void __cdecl Math::subtract<4, double>(class Math::Matrix<4, double> &, class Math::Matrix<4, double> const &, class Math::Matrix<4, double> const &)",function,,,double>,"class Math::Matrix<4, double> &, class Math::Matrix<4, double> const &, class Math::Matrix<4, double> const &",False,False,False,False,False,False,True
39,38,0x26,??$trace@$01M@Math@@YAMAEBV?$Matrix@$01M@0@@Z,"float __cdecl Math::trace<2, float>(class Math::Matrix<2, float> const &)",function,,,float>,"class Math::Matrix<2, float> const &",False,False,False,False,False,False,True
40,39,0x27,??$trace@$01N@Math@@YANAEBV?$Matrix@$01N@0@@Z,"double __cdecl Math::trace<2, double>(class Math::Matrix<2, double> const &)",function,,,double>,"class Math::Matrix<2, double> const &",False,False,False,False,False,False,True
41,40,0x28,??$trace@$02M@Math@@YAMAEBV?$Matrix@$02M@0@@Z,"float __cdecl Math::trace<3, float>(class Math::Matrix<3, float> const &)",function,,,float>,"class Math::Matrix<3, float> const &",False,False,False,False,False,False,True
42,41,0x29,??$trace@$02N@Math@@YANAEBV?$Matrix@$02N@0@@Z,"double __cdecl Math::trace<3, double>(class Math::Matrix<3, double> const &)",function,,,double>,"class Math::Matrix<3, double> const &",False,False,False,False,False,False,True
43,42,0x2A,??$trace@$03M@Math@@YAMAEBV?$Matrix@$03M@0@@Z,"float __cdecl Math::trace<4, float>(class Math::Matrix<4, float> const &)",function,,,float>,"class Math::Matrix<4, float> const &",False,False,False,False,False,False,True
44,43,0x2B,??$trace@$03N@Math@@YANAEBV?$Matrix@$03N@0@@Z,"double __cdecl Math::trace<4, double>(class Math::Matrix<4, double> const &)",function,,,double>,"class Math::Matrix<4, double> const &",False,False,False,False,False,False,True
45,44,0x2C,??$transpose@$01M@Math@@YAXAEAV?$Matrix@$01M@0@AEBV10@@Z,"void __cdecl Math::transpose<2, float>(class Math::Matrix<2, float> &, class Math::Matrix<2, float> const &)",function,,,float>,"class Math::Matrix<2, float> &, class Math::Matrix<2, float> const &",False,False,False,False,False,False,True
46,45,0x2D,??$transpose@$01N@Math@@YAXAEAV?$Matrix@$01N@0@AEBV10@@Z,"void __cdecl Math::transpose<2, double>(class Math::Matrix<2, double> &, class Math::Matrix<2, double> const &)",function,,,double>,"class Math::Matrix<2, double> &, class Math::Matrix<2, double> const &",False,False,False,False,False,False,True
