ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0?$Evoker@VLandObjectDestroyNotifierBase@@V?$Link@VLandObjectDestroyNotifierBase@@@@@@QEAA@AEBV0@@Z,"public: __cdecl Evoker<class LandObjectDestroyNotifierBase, class Link<class LandObjectDestroyNotifierBase>>::Evoker<class LandObjectDestroyNotifierBase, class Link<class LandObjectDestroyNotifierBase>>(class Evoker<class LandObjectDestroyNotifierBase, class Link<class LandObjectDestroyNotifierBase>> const &)",function,,,LandObjectDestroyNotifierBase>>,"class Evoker<class LandObjectDestroyNotifierBase, class Link<class LandObjectDestroyNotifierBase>> const &",False,False,False,False,False,False,True
2,1,0x1,??0?$Evoker@VLandObjectDestroyNotifierBase@@V?$Link@VLandObjectDestroyNotifierBase@@@@@@QEAA@XZ,"public: __cdecl Evoker<class LandObjectDestroyNotifierBase, class Link<class LandObjectDestroyNotifierBase>>::Evoker<class LandObjectDestroyNotifierBase, class Link<class LandObjectDestroyNotifierBase>>(void)",function,,,LandObjectDestroyNotifierBase>>,void,False,False,False,False,False,False,True
3,2,0x2,??0DamageInfo@@QEAA@MHW4DamageCause@@I@Z,"public: __cdecl DamageInfo::DamageInfo(float, int, enum DamageCause, unsigned int)",method,,DamageInfo,DamageInfo,"float, int, enum DamageCause, unsigned int",False,False,False,False,False,False,True
4,3,0x3,??0DistanceKiller@@QEAA@AEBV0@@Z,public: __cdecl DistanceKiller::DistanceKiller(class DistanceKiller const &),method,,DistanceKiller,DistanceKiller,class DistanceKiller const &,False,False,False,False,False,False,True
5,4,0x4,??0DistanceKiller@@QEAA@MPEAVDistanceKillerManager@@@Z,"public: __cdecl DistanceKiller::DistanceKiller(float, class DistanceKillerManager *)",method,,DistanceKiller,DistanceKiller,"float, class DistanceKillerManager *",False,False,False,False,False,False,True
6,5,0x5,??0DistanceKillerManager@@QEAA@AEBV0@@Z,public: __cdecl DistanceKillerManager::DistanceKillerManager(class DistanceKillerManager const &),method,,DistanceKillerManager,DistanceKillerManager,class DistanceKillerManager const &,False,False,False,False,False,False,True
7,6,0x6,??0DistanceKillerManager@@QEAA@M@Z,public: __cdecl DistanceKillerManager::DistanceKillerManager(float),method,,DistanceKillerManager,DistanceKillerManager,float,False,False,False,False,False,False,True
8,7,0x7,??0ForestSceneObject@@QEAA@$$QEAV0@@Z,public: __cdecl ForestSceneObject::ForestSceneObject(class ForestSceneObject &&),method,,ForestSceneObject,ForestSceneObject,class ForestSceneObject &&,False,False,False,False,False,False,True
9,8,0x8,??0ForestSceneObject@@QEAA@AEBV0@@Z,public: __cdecl ForestSceneObject::ForestSceneObject(class ForestSceneObject const &),method,,ForestSceneObject,ForestSceneObject,class ForestSceneObject const &,False,False,False,False,False,False,True
10,9,0x9,??0ForestSceneObject@@QEAA@VMatrixd@osg@@PEAVIModel@model@@@Z,"public: __cdecl ForestSceneObject::ForestSceneObject(class osg::Matrixd, class model::IModel *)",method,,ForestSceneObject,ForestSceneObject,"class osg::Matrixd, class model::IModel *",False,False,False,False,False,False,True
11,10,0xA,??0HierarchyLayer@@QEAA@AEBV0@@Z,public: __cdecl HierarchyLayer::HierarchyLayer(class HierarchyLayer const &),method,,HierarchyLayer,HierarchyLayer,class HierarchyLayer const &,False,False,False,False,False,False,True
12,11,0xB,??0HierarchyLayer@@QEAA@XZ,public: __cdecl HierarchyLayer::HierarchyLayer(void),method,,HierarchyLayer,HierarchyLayer,void,False,False,False,False,False,False,True
13,12,0xC,??0HierarchyLinearNode@@QEAA@AEBV0@@Z,public: __cdecl HierarchyLinearNode::HierarchyLinearNode(class HierarchyLinearNode const &),method,,HierarchyLinearNode,HierarchyLinearNode,class HierarchyLinearNode const &,False,False,False,False,False,False,True
14,13,0xD,??0HierarchyLinearNode@@QEAA@XZ,public: __cdecl HierarchyLinearNode::HierarchyLinearNode(void),method,,HierarchyLinearNode,HierarchyLinearNode,void,False,False,False,False,False,False,True
15,14,0xE,??0HierarchyStorage@@QEAA@AEBV0@@Z,public: __cdecl HierarchyStorage::HierarchyStorage(class HierarchyStorage const &),method,,HierarchyStorage,HierarchyStorage,class HierarchyStorage const &,False,False,False,False,False,False,True
16,15,0xF,??0HierarchyStorage@@QEAA@IPEAVHierarchyNode@@@Z,"public: __cdecl HierarchyStorage::HierarchyStorage(unsigned int, class HierarchyNode *)",method,,HierarchyStorage,HierarchyStorage,"unsigned int, class HierarchyNode *",False,False,False,False,False,False,True
17,16,0x10,??0LandObjectDestroyNotifierBase@@QEAA@$$QEAV0@@Z,public: __cdecl LandObjectDestroyNotifierBase::LandObjectDestroyNotifierBase(class LandObjectDestroyNotifierBase &&),method,,LandObjectDestroyNotifierBase,LandObjectDestroyNotifierBase,class LandObjectDestroyNotifierBase &&,False,False,False,False,False,False,True
18,17,0x11,??0LandObjectDestroyNotifierBase@@QEAA@AEBV0@@Z,public: __cdecl LandObjectDestroyNotifierBase::LandObjectDestroyNotifierBase(class LandObjectDestroyNotifierBase const &),method,,LandObjectDestroyNotifierBase,LandObjectDestroyNotifierBase,class LandObjectDestroyNotifierBase const &,False,False,False,False,False,False,True
19,18,0x12,??0LandObjectDestroyNotifierBase@@QEAA@XZ,public: __cdecl LandObjectDestroyNotifierBase::LandObjectDestroyNotifierBase(void),method,,LandObjectDestroyNotifierBase,LandObjectDestroyNotifierBase,void,False,False,False,False,False,False,True
20,19,0x13,??0LandObjectDestroySignal@@QEAA@$$QEAV0@@Z,public: __cdecl LandObjectDestroySignal::LandObjectDestroySignal(class LandObjectDestroySignal &&),method,,LandObjectDestroySignal,LandObjectDestroySignal,class LandObjectDestroySignal &&,False,False,False,False,False,False,True
21,20,0x14,??0LandObjectDestroySignal@@QEAA@AEBV0@@Z,public: __cdecl LandObjectDestroySignal::LandObjectDestroySignal(class LandObjectDestroySignal const &),method,,LandObjectDestroySignal,LandObjectDestroySignal,class LandObjectDestroySignal const &,False,False,False,False,False,False,True
22,21,0x15,??0LandObjectDestroySignal@@QEAA@XZ,public: __cdecl LandObjectDestroySignal::LandObjectDestroySignal(void),method,,LandObjectDestroySignal,LandObjectDestroySignal,void,False,False,False,False,False,False,True
23,22,0x16,??0LandObjectInitData@@QEAA@$$QEAU0@@Z,public: __cdecl LandObjectInitData::LandObjectInitData(struct LandObjectInitData &&),method,,LandObjectInitData,LandObjectInitData,struct LandObjectInitData &&,False,False,False,False,False,False,True
24,23,0x17,??0LandObjectInitData@@QEAA@AEBU0@@Z,public: __cdecl LandObjectInitData::LandObjectInitData(struct LandObjectInitData const &),method,,LandObjectInitData,LandObjectInitData,struct LandObjectInitData const &,False,False,False,False,False,False,True
25,24,0x18,??0LandObjectInitData@@QEAA@PEBD@Z,public: __cdecl LandObjectInitData::LandObjectInitData(char const *),method,,LandObjectInitData,LandObjectInitData,char const *,False,False,False,False,False,False,True
26,25,0x19,??0LandObjectInitData@@QEAA@XZ,public: __cdecl LandObjectInitData::LandObjectInitData(void),method,,LandObjectInitData,LandObjectInitData,void,False,False,False,False,False,False,True
27,26,0x1A,??0ModelLightObject@@QEAA@XZ,public: __cdecl ModelLightObject::ModelLightObject(void),method,,ModelLightObject,ModelLightObject,void,False,False,False,False,False,False,True
28,27,0x1B,??0RegisterManager@@QEAA@AEBV0@@Z,public: __cdecl RegisterManager::RegisterManager(class RegisterManager const &),method,,RegisterManager,RegisterManager,class RegisterManager const &,False,False,False,False,False,False,True
29,28,0x1C,??0RegisterManager@@QEAA@XZ,public: __cdecl RegisterManager::RegisterManager(void),method,,RegisterManager,RegisterManager,void,False,False,False,False,False,False,True
30,29,0x1D,??0Registered@@QEAA@I@Z,public: __cdecl Registered::Registered(unsigned int),method,,Registered,Registered,unsigned int,False,False,False,False,False,False,True
31,30,0x1E,??0SceneObject@@QEAA@I@Z,public: __cdecl SceneObject::SceneObject(unsigned int),method,,SceneObject,SceneObject,unsigned int,False,False,False,False,False,False,True
32,31,0x1F,??0TerrainSceneObject@@QEAA@$$QEAV0@@Z,public: __cdecl TerrainSceneObject::TerrainSceneObject(class TerrainSceneObject &&),method,,TerrainSceneObject,TerrainSceneObject,class TerrainSceneObject &&,False,False,False,False,False,False,True
33,32,0x20,??0TerrainSceneObject@@QEAA@AEBV0@@Z,public: __cdecl TerrainSceneObject::TerrainSceneObject(class TerrainSceneObject const &),method,,TerrainSceneObject,TerrainSceneObject,class TerrainSceneObject const &,False,False,False,False,False,False,True
34,33,0x21,??0TerrainSceneObject@@QEAA@I@Z,public: __cdecl TerrainSceneObject::TerrainSceneObject(unsigned int),method,,TerrainSceneObject,TerrainSceneObject,unsigned int,False,False,False,False,False,False,True
35,34,0x22,??0lLandObject@@QEAA@AEBV0@@Z,public: __cdecl lLandObject::lLandObject(class lLandObject const &),method,,lLandObject,lLandObject,class lLandObject const &,False,False,False,False,False,False,True
36,35,0x23,??0lLandObject@@QEAA@XZ,public: __cdecl lLandObject::lLandObject(void),method,,lLandObject,lLandObject,void,False,False,False,False,False,False,True
37,36,0x24,??0lObjectDynData@@QEAA@XZ,public: __cdecl lObjectDynData::lObjectDynData(void),method,,lObjectDynData,lObjectDynData,void,False,False,False,False,False,False,True
38,37,0x25,??0lTypeObjectManager@@QEAA@AEBV0@@Z,public: __cdecl lTypeObjectManager::lTypeObjectManager(class lTypeObjectManager const &),method,,lTypeObjectManager,lTypeObjectManager,class lTypeObjectManager const &,False,False,False,False,False,False,True
39,38,0x26,??0lTypeObjectManager@@QEAA@XZ,public: __cdecl lTypeObjectManager::lTypeObjectManager(void),method,,lTypeObjectManager,lTypeObjectManager,void,False,False,False,False,False,False,True
