ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,?CheckAnimationsMountPoint@edvfs@@YA_NPEBD@Z,bool __cdecl edvfs::CheckAnimationsMountPoint(char const *),method,,edvfs,CheckAnimationsMountPoint,char const *,False,False,False,False,False,False,True
2,1,0x1,?CheckModelsMountPoint@edvfs@@YA_NPEBD@Z,bool __cdecl edvfs::CheckModelsMountPoint(char const *),method,,edvfs,CheckModelsMountPoint,char const *,False,False,False,False,False,False,True
3,2,0x2,?CheckTexturesMountPoint@edvfs@@YA_NPEBD@Z,bool __cdecl edvfs::CheckTexturesMountPoint(char const *),method,,edvfs,CheckTexturesMountPoint,char const *,False,False,False,False,False,False,True
4,3,0x3,?GetAnimationsVFS@edvfs@@YA?AV?$shared_ptr@VIVFSandbox@edvfs@@@std@@XZ,class std::shared_ptr<class edvfs::IVFSandbox> __cdecl edvfs::GetAnimationsVFS(void),method,,edvfs,GetAnimationsVFS,void,False,False,False,False,False,False,True
5,4,0x4,?GetModelsVFS@edvfs@@YA?AV?$shared_ptr@VIVFSandbox@edvfs@@@std@@XZ,class std::shared_ptr<class edvfs::IVFSandbox> __cdecl edvfs::GetModelsVFS(void),method,,edvfs,GetModelsVFS,void,False,False,False,False,False,False,True
6,5,0x5,?GetShadersVFS@edvfs@@YA?AV?$shared_ptr@VIVFSandbox@edvfs@@@std@@XZ,class std::shared_ptr<class edvfs::IVFSandbox> __cdecl edvfs::GetShadersVFS(void),method,,edvfs,GetShadersVFS,void,False,False,False,False,False,False,True
7,6,0x6,?GetTexturesVFS@edvfs@@YA?AV?$shared_ptr@VIVFSandbox@edvfs@@@std@@XZ,class std::shared_ptr<class edvfs::IVFSandbox> __cdecl edvfs::GetTexturesVFS(void),method,,edvfs,GetTexturesVFS,void,False,False,False,False,False,False,True
8,7,0x7,?WebViewTexture_create@ed@@YA?AV?$unique_ptr@VWebViewTexture@ed@@UWebViewTextureDeleter@2@@std@@V?$basic_string_view@DU?$char_traits@D@std@@@3@@Z,"class std::unique_ptr<class ed::WebViewTexture, struct ed::WebViewTextureDeleter> __cdecl ed::WebViewTexture_create(class std::basic_string_view<char, struct std::char_traits<char>>)",method,,ed,WebViewTexture_create,"class std::basic_string_view<char, struct std::char_traits<char>>",False,False,False,False,False,False,True
9,8,0x8,?WebView_create@ed@@YA?AV?$unique_ptr@VWebView@ed@@UWebViewDeleter@2@@std@@PEAVWebViewClient@1@AEBUWebViewSettings@1@@Z,"class std::unique_ptr<class ed::WebView, struct ed::WebViewDeleter> __cdecl ed::WebView_create(class ed::WebViewClient *, struct ed::WebViewSettings const &)",method,,ed,WebView_create,"class ed::WebViewClient *, struct ed::WebViewSettings const &",False,False,False,False,False,False,True
10,9,0x9,?WebWindow_create@ed@@YA?AV?$unique_ptr@VWebWindow@ed@@U?$default_delete@VWebWindow@ed@@@std@@@std@@PEAVWebWindowClient@1@AEBUWebWindowSettings@1@@Z,"class std::unique_ptr<class ed::WebWindow, struct std::default_delete<class ed::WebWindow>> __cdecl ed::WebWindow_create(class ed::WebWindowClient *, struct ed::WebWindowSettings const &)",method,,ed,WebWindow_create,"class ed::WebWindowClient *, struct ed::WebWindowSettings const &",False,False,False,False,False,False,True
11,10,0xA,ED_SounderAPI_v1,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,ED_SounderAPI_v2,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,initSounderAPI,,unknown,,,,,False,False,False,False,False,False,False
