ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
7,0,0x0,SND_IVCFilter_create,,unknown,,,,,False,False,False,False,False,False,False
8,1,0x1,SND_IVCRenderer_create,,unknown,,,,,False,False,False,False,False,False,False
9,2,0x2,SND_VCFilterParams_load,,unknown,,,,,False,False,False,False,False,False,False
10,3,0x3,SND_VCFilterParams_luaload,,unknown,,,,,False,False,False,False,False,False,False
11,4,0x4,SND_VCFilterParams_save,,unknown,,,,,False,False,False,False,False,False,False
12,5,0x5,SND_add_host,,unknown,,,,,False,False,False,False,False,False,False
13,6,0x6,SND_add_proto_path,,unknown,,,,,False,False,False,False,False,False,False
14,7,0x7,SND_add_source,,unknown,,,,,False,False,False,False,False,False,False
15,8,0x8,SND_add_source_alt,,unknown,,,,,False,False,False,False,False,False,False
16,9,0x9,SND_add_source_alt2,,unknown,,,,,False,False,False,False,False,False,False
17,10,0xA,SND_add_wave_path,,unknown,,,,,False,False,False,False,False,False,False
18,11,0xB,SND_context_get_param,,unknown,,,,,False,False,False,False,False,False,False
19,12,0xC,SND_context_next,,unknown,,,,,False,False,False,False,False,False,False
1,13,0xD,SND_context_qtree,,unknown,,,,,False,False,False,False,False,False,False
20,14,0xE,SND_context_reset,,unknown,,,,,False,False,False,False,False,False,False
21,15,0xF,SND_context_set2d,,unknown,,,,,False,False,False,False,False,False,False
22,16,0x10,SND_context_set_output,,unknown,,,,,False,False,False,False,False,False,False
23,17,0x11,SND_context_set_param,,unknown,,,,,False,False,False,False,False,False,False
24,18,0x12,SND_context_use_cockpit_gain,,unknown,,,,,False,False,False,False,False,False,False
25,19,0x13,SND_del_proto_path,,unknown,,,,,False,False,False,False,False,False,False
26,20,0x14,SND_del_wave_path,,unknown,,,,,False,False,False,False,False,False,False
27,21,0x15,SND_device_enumerate,,unknown,,,,,False,False,False,False,False,False,False
28,22,0x16,SND_device_get_count,,unknown,,,,,False,False,False,False,False,False,False
29,23,0x17,SND_device_get_info,,unknown,,,,,False,False,False,False,False,False,False
30,24,0x18,SND_exit,,unknown,,,,,False,False,False,False,False,False,False
31,25,0x19,SND_get_global_gain,,unknown,,,,,False,False,False,False,False,False,False
32,26,0x1A,SND_get_param,,unknown,,,,,False,False,False,False,False,False,False
33,27,0x1B,SND_get_protos,,unknown,,,,,False,False,False,False,False,False,False
34,28,0x1C,SND_get_stat,,unknown,,,,,False,False,False,False,False,False,False
35,29,0x1D,SND_get_voices,,unknown,,,,,False,False,False,False,False,False,False
36,30,0x1E,SND_get_wave_info,,unknown,,,,,False,False,False,False,False,False,False
37,31,0x1F,SND_host_allow_cockpit_gain,,unknown,,,,,False,False,False,False,False,False,False
38,32,0x20,SND_host_del,,unknown,,,,,False,False,False,False,False,False,False
2,33,0x21,SND_host_name,,unknown,,,,,False,False,False,False,False,False,False
3,34,0x22,SND_host_next,,unknown,,,,,False,False,False,False,False,False,False
