ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??1DCSModel@edm2g@@UEAA@XZ,public: virtual __cdecl edm2g::DCSModel::~DCSModel(void),method,edm2g,DCSModel,~DCSModel,void,False,False,True,False,False,False,True
2,1,0x1,?Create@DCSModel@edm2g@@SAPEAVModel@Graphics@@PEBD0AEBUModelOptions@model@@@Z,"public: static class Graphics::Model * __cdecl edm2g::DCSModel::Create(char const *, char const *, struct model::ModelOptions const &)",method,edm2g,DCSModel,Create,"char const *, char const *, struct model::ModelOptions const &",False,True,False,False,False,False,True
3,2,0x2,?GetConnector@DCSModel@edm2g@@UEAAPEAVModelConnector@Graphics@@H@Z,public: virtual class Graphics::ModelConnector * __cdecl edm2g::DCSModel::GetConnector(int),method,edm2g,DCSModel,GetConnector,int,False,False,True,False,False,False,True
4,3,0x3,?GetConnector@DCSModel@edm2g@@UEAAPEAVModelConnector@Graphics@@PEBD@Z,public: virtual class Graphics::ModelConnector * __cdecl edm2g::DCSModel::GetConnector(char const *),method,edm2g,DCSModel,GetConnector,char const *,False,False,True,False,False,False,True
5,4,0x4,?GetLight@DCSModel@edm2g@@UEBAXAEAVModelInstance@Graphics@@AEBV?$wPosition3@M@@IAEAVModelLight@4@@Z,"public: virtual void __cdecl edm2g::DCSModel::GetLight(class Graphics::ModelInstance &, class wPosition3<float> const &, unsigned int, class Graphics::ModelLight &) const",method,edm2g,DCSModel,GetLight,"class Graphics::ModelInstance &, class wPosition3<float> const &, unsigned int, class Graphics::ModelLight &",True,False,True,False,False,False,True
6,5,0x5,?GetLight@DCSModel@edm2g@@UEBAXAEAVModelInstance@Graphics@@IAEAVModelLight@4@@Z,"public: virtual void __cdecl edm2g::DCSModel::GetLight(class Graphics::ModelInstance &, unsigned int, class Graphics::ModelLight &) const",method,edm2g,DCSModel,GetLight,"class Graphics::ModelInstance &, unsigned int, class Graphics::ModelLight &",True,False,True,False,False,False,True
7,6,0x6,?GetLightPosition@DCSModel@edm2g@@UEBA?AV?$wPosition3@M@@AEAVModelInstance@Graphics@@AEBV3@I@Z,"public: virtual class wPosition3<float> __cdecl edm2g::DCSModel::GetLightPosition(class Graphics::ModelInstance &, class wPosition3<float> const &, unsigned int) const",method,edm2g,DCSModel,GetLightPosition,"class Graphics::ModelInstance &, class wPosition3<float> const &, unsigned int",True,False,True,False,False,False,True
8,7,0x7,?GetTexturesNames@DCSModel@edm2g@@UEBAXAEAV?$unordered_set@V?$basic_string@D@ed@@U?$hash@V?$basic_string@D@ed@@@std@@U?$equal_to@V?$basic_string@D@ed@@@4@V?$allocator@V?$basic_string@D@ed@@@2@@ed@@@Z,"public: virtual void __cdecl edm2g::DCSModel::GetTexturesNames(class ed::unordered_set<class ed::basic_string<char>, struct std::hash<class ed::basic_string<char>>, struct std::equal_to<class ed::basic_string<char>>, class ed::allocator<class ed::basic_string<char>>> &) const",method,edm2g,DCSModel,GetTexturesNames,"class ed::unordered_set<class ed::basic_string<char>, struct std::hash<class ed::basic_string<char>>, struct std::equal_to<class ed::basic_string<char>>, class ed::allocator<class ed::basic_string<char>>> &",True,False,True,False,False,False,True
9,8,0x8,?GetTexturesTexCoords@DCSModel@edm2g@@UEBAXAEAV?$unordered_map@V?$basic_string@D@ed@@V?$vector@VVec3f@osg@@V?$allocator@VVec3f@osg@@@ed@@@2@U?$hash@V?$basic_string@D@ed@@@std@@U?$equal_to@V?$basic_string@D@ed@@@5@V?$allocator@U?$pair@$$CBV?$basic_string@D@ed@@V?$vector@VVec3f@osg@@V?$allocator@VVec3f@osg@@@ed@@@2@@std@@@2@@std@@@Z,"public: virtual void __cdecl edm2g::DCSModel::GetTexturesTexCoords(class std::unordered_map<class ed::basic_string<char>, class ed::vector<class osg::Vec3f, class ed::allocator<class osg::Vec3f>>, struct std::hash<class ed::basic_string<char>>, struct std::equal_to<class ed::basic_string<char>>, class ed::allocator<struct std::pair<class ed::basic_string<char> const, class ed::vector<class osg::Vec3f, class ed::allocator<class osg::Vec3f>>>>> &) const",method,edm2g,DCSModel,GetTexturesTexCoords,"class std::unordered_map<class ed::basic_string<char>, class ed::vector<class osg::Vec3f, class ed::allocator<class osg::Vec3f>>, struct std::hash<class ed::basic_string<char>>, struct std::equal_to<class ed::basic_string<char>>, class ed::allocator<struct std::pair<class ed::basic_string<char> const, class ed::vector<class osg::Vec3f, class ed::allocator<class osg::Vec3f>>>>> &",True,False,True,False,False,False,True
10,9,0x9,?Parse@DCSModel@edm2g@@UEAAXAEAVModelInstance@Graphics@@AEAVModelParser@4@AEBV?$wPosition3@M@@PEAVeffectState@4@@Z,"public: virtual void __cdecl edm2g::DCSModel::Parse(class Graphics::ModelInstance &, class Graphics::ModelParser &, class wPosition3<float> const &, class Graphics::effectState *)",method,edm2g,DCSModel,Parse,"class Graphics::ModelInstance &, class Graphics::ModelParser &, class wPosition3<float> const &, class Graphics::effectState *",False,False,True,False,False,False,True
