ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0AGRadar@enlight@@QEAA@XZ,public: __cdecl enlight::AGRadar::AGRadar(void),method,enlight,AGRadar,AGRadar,void,False,False,False,False,False,False,True
2,1,0x1,??0Airscrew@enlight@@QEAA@AEBV01@@Z,public: __cdecl enlight::Airscrew::Airscrew(class enlight::Airscrew const &),method,enlight,Airscrew,Airscrew,class enlight::Airscrew const &,False,False,False,False,False,False,True
3,2,0x2,??0Airscrew@enlight@@QEAA@AEBV?$basic_string@D@ed@@HAEBVVec2f@osg@@_N@Z,"public: __cdecl enlight::Airscrew::Airscrew(class ed::basic_string<char> const &, int, class osg::Vec2f const &, bool)",method,enlight,Airscrew,Airscrew,"class ed::basic_string<char> const &, int, class osg::Vec2f const &, bool",False,False,False,False,False,False,True
4,3,0x3,??0Airscrew@enlight@@QEAA@PEBDHAEBVVec2f@osg@@_N@Z,"public: __cdecl enlight::Airscrew::Airscrew(char const *, int, class osg::Vec2f const &, bool)",method,enlight,Airscrew,Airscrew,"char const *, int, class osg::Vec2f const &, bool",False,False,False,False,False,False,True
5,4,0x4,??0AirscrewProxy@Graphics@@QEAA@AEBV01@@Z,public: __cdecl Graphics::AirscrewProxy::AirscrewProxy(class Graphics::AirscrewProxy const &),method,Graphics,AirscrewProxy,AirscrewProxy,class Graphics::AirscrewProxy const &,False,False,False,False,False,False,True
6,5,0x5,??0AirscrewProxy@Graphics@@QEAA@IPEBDHAEBVVec2f@osg@@_N@Z,"public: __cdecl Graphics::AirscrewProxy::AirscrewProxy(unsigned int, char const *, int, class osg::Vec2f const &, bool)",method,Graphics,AirscrewProxy,AirscrewProxy,"unsigned int, char const *, int, class osg::Vec2f const &, bool",False,False,False,False,False,False,True
7,6,0x6,??0CScope@enlight@@QEAA@AEBV01@@Z,public: __cdecl enlight::CScope::CScope(class enlight::CScope const &),method,enlight,CScope,CScope,class enlight::CScope const &,False,False,False,False,False,False,True
8,7,0x7,??0CScope@enlight@@QEAA@XZ,public: __cdecl enlight::CScope::CScope(void),method,enlight,CScope,CScope,void,False,False,False,False,False,False,True
9,8,0x8,??0CirrusClouds@enlight@@QEAA@AEBV01@@Z,public: __cdecl enlight::CirrusClouds::CirrusClouds(class enlight::CirrusClouds const &),method,enlight,CirrusClouds,CirrusClouds,class enlight::CirrusClouds const &,False,False,False,False,False,False,True
10,9,0x9,??0CirrusClouds@enlight@@QEAA@XZ,public: __cdecl enlight::CirrusClouds::CirrusClouds(void),method,enlight,CirrusClouds,CirrusClouds,void,False,False,False,False,False,False,True
