ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0?$FXArray@VFXVariant@FX@@@FX@@QEAA@AEBV01@@Z,public: __cdecl FX::FXArray<class FX::FXVariant>::FXArray<class FX::FXVariant>(class FX::FXArray<class FX::FXVariant> const &),method,,FX,FXVariant>,class FX::FXArray<class FX::FXVariant> const &,False,False,False,False,False,False,True
2,1,0x1,??0?$FXArray@VFXVariant@FX@@@FX@@QEAA@AEBVFXVariant@1@_J@Z,"public: __cdecl FX::FXArray<class FX::FXVariant>::FXArray<class FX::FXVariant>(class FX::FXVariant const &, __int64)",method,,FX,FXVariant>,"class FX::FXVariant const &, __int64",False,False,False,False,False,False,True
3,2,0x2,??0?$FXArray@VFXVariant@FX@@@FX@@QEAA@PEBVFXVariant@1@_J@Z,"public: __cdecl FX::FXArray<class FX::FXVariant>::FXArray<class FX::FXVariant>(class FX::FXVariant const *, __int64)",method,,FX,FXVariant>,"class FX::FXVariant const *, __int64",False,False,False,False,False,False,True
4,3,0x3,??0?$FXArray@VFXVariant@FX@@@FX@@QEAA@XZ,public: __cdecl FX::FXArray<class FX::FXVariant>::FXArray<class FX::FXVariant>(void),method,,FX,FXVariant>,void,False,False,False,False,False,False,True
5,4,0x4,??0?$FXArray@VFXVariant@FX@@@FX@@QEAA@_J@Z,public: __cdecl FX::FXArray<class FX::FXVariant>::FXArray<class FX::FXVariant>(__int64),method,,FX,FXVariant>,__int64,False,False,False,False,False,False,True
6,5,0x5,??0FX4Splitter@FX@@IEAA@XZ,protected: __cdecl FX::FX4Splitter::FX4Splitter(void),method,FX,FX4Splitter,FX4Splitter,void,False,False,False,False,False,False,True
7,6,0x6,??0FX4Splitter@FX@@QEAA@PEAVFXComposite@1@IHHHH@Z,"public: __cdecl FX::FX4Splitter::FX4Splitter(class FX::FXComposite *, unsigned int, int, int, int, int)",method,FX,FX4Splitter,FX4Splitter,"class FX::FXComposite *, unsigned int, int, int, int, int",False,False,False,False,False,False,True
8,7,0x7,??0FX4Splitter@FX@@QEAA@PEAVFXComposite@1@PEAVFXObject@1@IIHHHH@Z,"public: __cdecl FX::FX4Splitter::FX4Splitter(class FX::FXComposite *, class FX::FXObject *, unsigned int, unsigned int, int, int, int, int)",method,FX,FX4Splitter,FX4Splitter,"class FX::FXComposite *, class FX::FXObject *, unsigned int, unsigned int, int, int, int, int",False,False,False,False,False,False,True
9,8,0x8,??0FX7Segment@FX@@IEAA@XZ,protected: __cdecl FX::FX7Segment::FX7Segment(void),method,FX,FX7Segment,FX7Segment,void,False,False,False,False,False,False,True
10,9,0x9,??0FX7Segment@FX@@QEAA@PEAVFXComposite@1@AEBVFXString@1@IHHHHHHHH@Z,"public: __cdecl FX::FX7Segment::FX7Segment(class FX::FXComposite *, class FX::FXString const &, unsigned int, int, int, int, int, int, int, int, int)",method,FX,FX7Segment,FX7Segment,"class FX::FXComposite *, class FX::FXString const &, unsigned int, int, int, int, int, int, int, int, int",False,False,False,False,False,False,True
11,10,0xA,??0FX885910Codec@FX@@QEAA@AEBV01@@Z,public: __cdecl FX::FX885910Codec::FX885910Codec(class FX::FX885910Codec const &),method,FX,FX885910Codec,FX885910Codec,class FX::FX885910Codec const &,False,False,False,False,False,False,True
12,11,0xB,??0FX885910Codec@FX@@QEAA@XZ,public: __cdecl FX::FX885910Codec::FX885910Codec(void),method,FX,FX885910Codec,FX885910Codec,void,False,False,False,False,False,False,True
13,12,0xC,??0FX885911Codec@FX@@QEAA@AEBV01@@Z,public: __cdecl FX::FX885911Codec::FX885911Codec(class FX::FX885911Codec const &),method,FX,FX885911Codec,FX885911Codec,class FX::FX885911Codec const &,False,False,False,False,False,False,True
14,13,0xD,??0FX885911Codec@FX@@QEAA@XZ,public: __cdecl FX::FX885911Codec::FX885911Codec(void),method,FX,FX885911Codec,FX885911Codec,void,False,False,False,False,False,False,True
15,14,0xE,??0FX885913Codec@FX@@QEAA@AEBV01@@Z,public: __cdecl FX::FX885913Codec::FX885913Codec(class FX::FX885913Codec const &),method,FX,FX885913Codec,FX885913Codec,class FX::FX885913Codec const &,False,False,False,False,False,False,True
16,15,0xF,??0FX885913Codec@FX@@QEAA@XZ,public: __cdecl FX::FX885913Codec::FX885913Codec(void),method,FX,FX885913Codec,FX885913Codec,void,False,False,False,False,False,False,True
17,16,0x10,??0FX885914Codec@FX@@QEAA@AEBV01@@Z,public: __cdecl FX::FX885914Codec::FX885914Codec(class FX::FX885914Codec const &),method,FX,FX885914Codec,FX885914Codec,class FX::FX885914Codec const &,False,False,False,False,False,False,True
18,17,0x11,??0FX885914Codec@FX@@QEAA@XZ,public: __cdecl FX::FX885914Codec::FX885914Codec(void),method,FX,FX885914Codec,FX885914Codec,void,False,False,False,False,False,False,True
19,18,0x12,??0FX885915Codec@FX@@QEAA@AEBV01@@Z,public: __cdecl FX::FX885915Codec::FX885915Codec(class FX::FX885915Codec const &),method,FX,FX885915Codec,FX885915Codec,class FX::FX885915Codec const &,False,False,False,False,False,False,True
20,19,0x13,??0FX885915Codec@FX@@QEAA@XZ,public: __cdecl FX::FX885915Codec::FX885915Codec(void),method,FX,FX885915Codec,FX885915Codec,void,False,False,False,False,False,False,True
