ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0MapDrawObject@@QEAA@XZ,public: __cdecl MapDrawObject::MapDrawObject(void),method,,MapDrawObject,MapDrawObject,void,False,False,False,False,False,False,True
2,1,0x1,??0MapDrawObjectIcon@@QEAA@XZ,public: __cdecl MapDrawObjectIcon::MapDrawObjectIcon(void),method,,MapDrawObjectIcon,MapDrawObjectIcon,void,False,False,False,False,False,False,True
3,2,0x2,??0MapDrawObjectPolygon@@QEAA@XZ,public: __cdecl MapDrawObjectPolygon::MapDrawObjectPolygon(void),method,,MapDrawObjectPolygon,MapDrawObjectPolygon,void,False,False,False,False,False,False,True
4,3,0x3,??0MapDrawObjectPolyline@@QEAA@XZ,public: __cdecl MapDrawObjectPolyline::MapDrawObjectPolyline(void),method,,MapDrawObjectPolyline,MapDrawObjectPolyline,void,False,False,False,False,False,False,True
5,4,0x4,??0MapDrawObjectTextBox@@QEAA@XZ,public: __cdecl MapDrawObjectTextBox::MapDrawObjectTextBox(void),method,,MapDrawObjectTextBox,MapDrawObjectTextBox,void,False,False,False,False,False,False,True
6,5,0x5,??0MapManager@gui@@QEAA@XZ,public: __cdecl gui::MapManager::MapManager(void),method,gui,MapManager,MapManager,void,False,False,False,False,False,False,True
7,6,0x6,??1MapDrawObject@@UEAA@XZ,public: virtual __cdecl MapDrawObject::~MapDrawObject(void),method,,MapDrawObject,~MapDrawObject,void,False,False,True,False,False,False,True
8,7,0x7,??1MapDrawObjectIcon@@UEAA@XZ,public: virtual __cdecl MapDrawObjectIcon::~MapDrawObjectIcon(void),method,,MapDrawObjectIcon,~MapDrawObjectIcon,void,False,False,True,False,False,False,True
9,8,0x8,??1MapDrawObjectPolygon@@UEAA@XZ,public: virtual __cdecl MapDrawObjectPolygon::~MapDrawObjectPolygon(void),method,,MapDrawObjectPolygon,~MapDrawObjectPolygon,void,False,False,True,False,False,False,True
10,9,0x9,??1MapDrawObjectPolyline@@UEAA@XZ,public: virtual __cdecl MapDrawObjectPolyline::~MapDrawObjectPolyline(void),method,,MapDrawObjectPolyline,~MapDrawObjectPolyline,void,False,False,True,False,False,False,True
11,10,0xA,??1MapDrawObjectTextBox@@UEAA@XZ,public: virtual __cdecl MapDrawObjectTextBox::~MapDrawObjectTextBox(void),method,,MapDrawObjectTextBox,~MapDrawObjectTextBox,void,False,False,True,False,False,False,True
12,11,0xB,??1MapManager@gui@@UEAA@XZ,public: virtual __cdecl gui::MapManager::~MapManager(void),method,gui,MapManager,~MapManager,void,False,False,True,False,False,False,True
13,12,0xC,??_7MapManager@gui@@6B@,const gui::MapManager::`vftable',vftable,,,,,False,False,False,True,False,False,True
