ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,VRG_API_INIT_INFO,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,attachDeviceNM,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,attachHMDGfxDevice,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,cancelHMDEyeTrackingCalibration,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,drawHMDImage,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,drawHMDImageLR,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,enumHMDPositionTracker,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,freeHMDDevice,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,freeHMDDevices,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,getDXProjectionMatricesLH,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,getFocus,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,getGLProjectionMatrices,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,getHMDDeviceCount,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,getHMDEyeCameraImage,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,getHMDEyeTrackingResult,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,getHMDIPD,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,getHMDIPDScreenPos,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,getHMDIPDinM,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,getHMDMonitors,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,getHMDPosition,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,getHMDPositionOrientation,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,getHMDPositionOrientationInternal,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,getHMDQuaternion,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,getHMDRawProjectionFrustum,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,getHMDResolutionFramerate,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,getHMDScreenRealOrthoCenter,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,getRawProjection,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,getSteamVRControllerData,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,getSteamVRControllers,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,getTimeWarp,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,getVersion,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,getWindowParameters,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,getfFocus,,unknown,,,,,False,False,False,False,False,False,False
34,33,0x21,hideHMDEyeCamCalPoint,,unknown,,,,,False,False,False,False,False,False,False
35,34,0x22,initHMDDevice,,unknown,,,,,False,False,False,False,False,False,False
36,35,0x23,initHMDPositionTracker,,unknown,,,,,False,False,False,False,False,False,False
37,36,0x24,initRecordHMDEyeCameraImage,,unknown,,,,,False,False,False,False,False,False,False
38,37,0x25,injectHMDExternalTracking,,unknown,,,,,False,False,False,False,False,False,False
39,38,0x26,isHMDEyeCameraCalibrating,,unknown,,,,,False,False,False,False,False,False,False
40,39,0x27,isRenderer,,unknown,,,,,False,False,False,False,False,False,False
41,40,0x28,isVRgDirectMode,,unknown,,,,,False,False,False,False,False,False,False
42,41,0x29,resetHMDIMU,,unknown,,,,,False,False,False,False,False,False,False
43,42,0x2A,resolveErrorCode,,unknown,,,,,False,False,False,False,False,False,False
44,43,0x2B,setCallbackError,,unknown,,,,,False,False,False,False,False,False,False
