ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,CompressBlocksASTC,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,CompressBlocksBC1,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,CompressBlocksBC3,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,CompressBlocksBC6H,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,CompressBlocksBC7,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,CompressBlocksETC1,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,GetProfile_alpha_basic,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,GetProfile_alpha_fast,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,GetProfile_alpha_slow,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,GetProfile_alpha_ultrafast,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,GetProfile_alpha_veryfast,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,GetProfile_astc_alpha_fast,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,GetProfile_astc_alpha_slow,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,GetProfile_astc_fast,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,GetProfile_basic,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,GetProfile_bc6h_basic,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,GetProfile_bc6h_fast,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,GetProfile_bc6h_slow,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,GetProfile_bc6h_veryfast,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,GetProfile_bc6h_veryslow,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,GetProfile_etc_slow,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,GetProfile_fast,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,GetProfile_slow,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,GetProfile_ultrafast,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,GetProfile_veryfast,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,ReplicateBorders,,unknown,,,,,False,False,False,False,False,False,False
