ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,jcopy_block_row,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,jcopy_sample_rows,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,jdiv_round_up,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,jinit_1pass_quantizer,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,jinit_2pass_quantizer,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,jinit_c_coef_controller,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,jinit_c_main_controller,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,jinit_c_master_control,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,jinit_c_prep_controller,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,jinit_color_converter,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,jinit_color_deconverter,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,jinit_compress_master,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,jinit_d_coef_controller,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,jinit_d_main_controller,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,jinit_d_post_controller,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,jinit_downsampler,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,jinit_forward_dct,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,jinit_huff_decoder,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,jinit_huff_encoder,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,jinit_input_controller,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,jinit_inverse_dct,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,jinit_marker_reader,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,jinit_marker_writer,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,jinit_master_decompress,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,jinit_memory_mgr,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,jinit_merged_upsampler,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,jinit_phuff_decoder,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,jinit_phuff_encoder,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,jinit_upsampler,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,jpeg_CreateCompress,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,jpeg_CreateDecompress,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,jpeg_abort,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,jpeg_abort_compress,,unknown,,,,,False,False,False,False,False,False,False
34,33,0x21,jpeg_abort_decompress,,unknown,,,,,False,False,False,False,False,False,False
35,34,0x22,jpeg_add_quant_table,,unknown,,,,,False,False,False,False,False,False,False
36,35,0x23,jpeg_alloc_huff_table,,unknown,,,,,False,False,False,False,False,False,False
37,36,0x24,jpeg_alloc_quant_table,,unknown,,,,,False,False,False,False,False,False,False
38,37,0x25,jpeg_calc_output_dimensions,,unknown,,,,,False,False,False,False,False,False,False
39,38,0x26,jpeg_consume_input,,unknown,,,,,False,False,False,False,False,False,False
40,39,0x27,jpeg_copy_critical_parameters,,unknown,,,,,False,False,False,False,False,False,False
41,40,0x28,jpeg_default_colorspace,,unknown,,,,,False,False,False,False,False,False,False
42,41,0x29,jpeg_destroy,,unknown,,,,,False,False,False,False,False,False,False
43,42,0x2A,jpeg_destroy_compress,,unknown,,,,,False,False,False,False,False,False,False
44,43,0x2B,jpeg_destroy_decompress,,unknown,,,,,False,False,False,False,False,False,False
45,44,0x2C,jpeg_fdct_float,,unknown,,,,,False,False,False,False,False,False,False
46,45,0x2D,jpeg_fdct_ifast,,unknown,,,,,False,False,False,False,False,False,False
47,46,0x2E,jpeg_fdct_islow,,unknown,,,,,False,False,False,False,False,False,False
48,47,0x2F,jpeg_fill_bit_buffer,,unknown,,,,,False,False,False,False,False,False,False
49,48,0x30,jpeg_finish_compress,,unknown,,,,,False,False,False,False,False,False,False
50,49,0x31,jpeg_finish_decompress,,unknown,,,,,False,False,False,False,False,False,False
51,50,0x32,jpeg_finish_output,,unknown,,,,,False,False,False,False,False,False,False
52,51,0x33,jpeg_free_large,,unknown,,,,,False,False,False,False,False,False,False
53,52,0x34,jpeg_free_small,,unknown,,,,,False,False,False,False,False,False,False
54,53,0x35,jpeg_gen_optimal_table,,unknown,,,,,False,False,False,False,False,False,False
55,54,0x36,jpeg_get_large,,unknown,,,,,False,False,False,False,False,False,False
56,55,0x37,jpeg_get_small,,unknown,,,,,False,False,False,False,False,False,False
57,56,0x38,jpeg_has_multiple_scans,,unknown,,,,,False,False,False,False,False,False,False
