ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,eglBindAPI,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,eglBindTexImage,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,eglChooseConfig,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,eglClientWaitSync,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,eglClientWaitSyncKHR,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,eglCopyBuffers,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,eglCreateContext,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,eglCreateDeviceANGLE,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,eglCreateImage,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,eglCreateImageKHR,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,eglCreateNativeClientBufferANDROID,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,eglCreatePbufferFromClientBuffer,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,eglCreatePbufferSurface,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,eglCreatePixmapSurface,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,eglCreatePlatformPixmapSurface,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,eglCreatePlatformPixmapSurfaceEXT,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,eglCreatePlatformWindowSurface,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,eglCreatePlatformWindowSurfaceEXT,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,eglCreateStreamKHR,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,eglCreateStreamProducerD3DTextureANGLE,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,eglCreateSync,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,eglCreateSyncKHR,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,eglCreateWindowSurface,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,eglDebugMessageControlKHR,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,eglDestroyContext,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,eglDestroyImage,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,eglDestroyImageKHR,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,eglDestroyStreamKHR,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,eglDestroySurface,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,eglDestroySync,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,eglDestroySyncKHR,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,eglDupNativeFenceFDANDROID,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,eglExportVkImageANGLE,,unknown,,,,,False,False,False,False,False,False,False
34,33,0x21,eglForceGPUSwitchANGLE,,unknown,,,,,False,False,False,False,False,False,False
35,34,0x22,eglGetCompositorTimingANDROID,,unknown,,,,,False,False,False,False,False,False,False
36,35,0x23,eglGetCompositorTimingSupportedANDROID,,unknown,,,,,False,False,False,False,False,False,False
37,36,0x24,eglGetConfigAttrib,,unknown,,,,,False,False,False,False,False,False,False
38,37,0x25,eglGetConfigs,,unknown,,,,,False,False,False,False,False,False,False
39,38,0x26,eglGetCurrentContext,,unknown,,,,,False,False,False,False,False,False,False
40,39,0x27,eglGetCurrentDisplay,,unknown,,,,,False,False,False,False,False,False,False
41,40,0x28,eglGetCurrentSurface,,unknown,,,,,False,False,False,False,False,False,False
42,41,0x29,eglGetDisplay,,unknown,,,,,False,False,False,False,False,False,False
43,42,0x2A,eglGetError,,unknown,,,,,False,False,False,False,False,False,False
44,43,0x2B,eglGetFrameTimestampSupportedANDROID,,unknown,,,,,False,False,False,False,False,False,False
45,44,0x2C,eglGetFrameTimestampsANDROID,,unknown,,,,,False,False,False,False,False,False,False
46,45,0x2D,eglGetMscRateANGLE,,unknown,,,,,False,False,False,False,False,False,False
47,46,0x2E,eglGetNativeClientBufferANDROID,,unknown,,,,,False,False,False,False,False,False,False
48,47,0x2F,eglGetNextFrameIdANDROID,,unknown,,,,,False,False,False,False,False,False,False
49,48,0x30,eglGetPlatformDisplay,,unknown,,,,,False,False,False,False,False,False,False
50,49,0x31,eglGetPlatformDisplayEXT,,unknown,,,,,False,False,False,False,False,False,False
51,50,0x32,eglGetProcAddress,,unknown,,,,,False,False,False,False,False,False,False
52,51,0x33,eglGetSyncAttrib,,unknown,,,,,False,False,False,False,False,False,False
53,52,0x34,eglGetSyncAttribKHR,,unknown,,,,,False,False,False,False,False,False,False
54,53,0x35,eglGetSyncValuesCHROMIUM,,unknown,,,,,False,False,False,False,False,False,False
55,54,0x36,eglHandleGPUSwitchANGLE,,unknown,,,,,False,False,False,False,False,False,False
56,55,0x37,eglInitialize,,unknown,,,,,False,False,False,False,False,False,False
57,56,0x38,eglLabelObjectKHR,,unknown,,,,,False,False,False,False,False,False,False
58,57,0x39,eglLockSurfaceKHR,,unknown,,,,,False,False,False,False,False,False,False
59,58,0x3A,eglMakeCurrent,,unknown,,,,,False,False,False,False,False,False,False
60,59,0x3B,eglPostSubBufferNV,,unknown,,,,,False,False,False,False,False,False,False
61,60,0x3C,eglPrepareSwapBuffersANGLE,,unknown,,,,,False,False,False,False,False,False,False
62,61,0x3D,eglPresentationTimeANDROID,,unknown,,,,,False,False,False,False,False,False,False
63,62,0x3E,eglProgramCacheGetAttribANGLE,,unknown,,,,,False,False,False,False,False,False,False
64,63,0x3F,eglProgramCachePopulateANGLE,,unknown,,,,,False,False,False,False,False,False,False
65,64,0x40,eglProgramCacheQueryANGLE,,unknown,,,,,False,False,False,False,False,False,False
66,65,0x41,eglProgramCacheResizeANGLE,,unknown,,,,,False,False,False,False,False,False,False
67,66,0x42,eglQueryAPI,,unknown,,,,,False,False,False,False,False,False,False
68,67,0x43,eglQueryContext,,unknown,,,,,False,False,False,False,False,False,False
69,68,0x44,eglQueryDebugKHR,,unknown,,,,,False,False,False,False,False,False,False
70,69,0x45,eglQueryDeviceAttribEXT,,unknown,,,,,False,False,False,False,False,False,False
71,70,0x46,eglQueryDeviceStringEXT,,unknown,,,,,False,False,False,False,False,False,False
72,71,0x47,eglQueryDisplayAttribANGLE,,unknown,,,,,False,False,False,False,False,False,False
73,72,0x48,eglQueryDisplayAttribEXT,,unknown,,,,,False,False,False,False,False,False,False
74,73,0x49,eglQueryDmaBufFormatsEXT,,unknown,,,,,False,False,False,False,False,False,False
75,74,0x4A,eglQueryDmaBufModifiersEXT,,unknown,,,,,False,False,False,False,False,False,False
76,75,0x4B,eglQueryStreamKHR,,unknown,,,,,False,False,False,False,False,False,False
77,76,0x4C,eglQueryStreamu64KHR,,unknown,,,,,False,False,False,False,False,False,False
78,77,0x4D,eglQueryString,,unknown,,,,,False,False,False,False,False,False,False
79,78,0x4E,eglQueryStringiANGLE,,unknown,,,,,False,False,False,False,False,False,False
80,79,0x4F,eglQuerySurface,,unknown,,,,,False,False,False,False,False,False,False
81,80,0x50,eglQuerySurface64KHR,,unknown,,,,,False,False,False,False,False,False,False
82,81,0x51,eglQuerySurfacePointerANGLE,,unknown,,,,,False,False,False,False,False,False,False
83,82,0x52,eglReacquireHighPowerGPUANGLE,,unknown,,,,,False,False,False,False,False,False,False
84,83,0x53,eglReleaseDeviceANGLE,,unknown,,,,,False,False,False,False,False,False,False
85,84,0x54,eglReleaseHighPowerGPUANGLE,,unknown,,,,,False,False,False,False,False,False,False
