ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0PlatformMethods@angle@@QEAA@XZ,public: __cdecl angle::PlatformMethods::PlatformMethods(void),method,angle,PlatformMethods,PlatformMethods,void,False,False,False,False,False,False,True
2,1,0x1,??4PlatformMethods@angle@@QEAAAEAU01@$$QEAU01@@Z,public: struct angle::PlatformMethods & __cdecl angle::PlatformMethods::operator=(struct angle::PlatformMethods &&),symbol,,,,,False,False,False,False,False,False,True
3,2,0x2,??4PlatformMethods@angle@@QEAAAEAU01@AEBU01@@Z,public: struct angle::PlatformMethods & __cdecl angle::PlatformMethods::operator=(struct angle::PlatformMethods const &),symbol,,,,,False,False,False,False,False,False,True
4,3,0x3,ANGLEGetDisplayPlatform,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,ANGLEResetDisplayPlatform,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,EGL_BindAPI,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,EGL_BindTexImage,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,EGL_ChooseConfig,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,EGL_ClientWaitSync,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,EGL_ClientWaitSyncKHR,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,EGL_CopyBuffers,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,EGL_CreateContext,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,EGL_CreateDeviceANGLE,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,EGL_CreateImage,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,EGL_CreateImageKHR,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,EGL_CreateNativeClientBufferANDROID,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,EGL_CreatePbufferFromClientBuffer,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,EGL_CreatePbufferSurface,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,EGL_CreatePixmapSurface,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,EGL_CreatePlatformPixmapSurface,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,EGL_CreatePlatformPixmapSurfaceEXT,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,EGL_CreatePlatformWindowSurface,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,EGL_CreatePlatformWindowSurfaceEXT,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,EGL_CreateStreamKHR,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,EGL_CreateStreamProducerD3DTextureANGLE,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,EGL_CreateSync,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,EGL_CreateSyncKHR,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,EGL_CreateWindowSurface,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,EGL_DebugMessageControlKHR,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,EGL_DestroyContext,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,EGL_DestroyImage,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,EGL_DestroyImageKHR,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,EGL_DestroyStreamKHR,,unknown,,,,,False,False,False,False,False,False,False
34,33,0x21,EGL_DestroySurface,,unknown,,,,,False,False,False,False,False,False,False
35,34,0x22,EGL_DestroySync,,unknown,,,,,False,False,False,False,False,False,False
36,35,0x23,EGL_DestroySyncKHR,,unknown,,,,,False,False,False,False,False,False,False
37,36,0x24,EGL_DupNativeFenceFDANDROID,,unknown,,,,,False,False,False,False,False,False,False
38,37,0x25,EGL_ExportVkImageANGLE,,unknown,,,,,False,False,False,False,False,False,False
39,38,0x26,EGL_ForceGPUSwitchANGLE,,unknown,,,,,False,False,False,False,False,False,False
40,39,0x27,EGL_GetCompositorTimingANDROID,,unknown,,,,,False,False,False,False,False,False,False
41,40,0x28,EGL_GetCompositorTimingSupportedANDROID,,unknown,,,,,False,False,False,False,False,False,False
42,41,0x29,EGL_GetConfigAttrib,,unknown,,,,,False,False,False,False,False,False,False
43,42,0x2A,EGL_GetConfigs,,unknown,,,,,False,False,False,False,False,False,False
44,43,0x2B,EGL_GetCurrentContext,,unknown,,,,,False,False,False,False,False,False,False
45,44,0x2C,EGL_GetCurrentDisplay,,unknown,,,,,False,False,False,False,False,False,False
46,45,0x2D,EGL_GetCurrentSurface,,unknown,,,,,False,False,False,False,False,False,False
47,46,0x2E,EGL_GetDisplay,,unknown,,,,,False,False,False,False,False,False,False
48,47,0x2F,EGL_GetError,,unknown,,,,,False,False,False,False,False,False,False
49,48,0x30,EGL_GetFrameTimestampSupportedANDROID,,unknown,,,,,False,False,False,False,False,False,False
50,49,0x31,EGL_GetFrameTimestampsANDROID,,unknown,,,,,False,False,False,False,False,False,False
51,50,0x32,EGL_GetMscRateANGLE,,unknown,,,,,False,False,False,False,False,False,False
52,51,0x33,EGL_GetNativeClientBufferANDROID,,unknown,,,,,False,False,False,False,False,False,False
53,52,0x34,EGL_GetNextFrameIdANDROID,,unknown,,,,,False,False,False,False,False,False,False
54,53,0x35,EGL_GetPlatformDisplay,,unknown,,,,,False,False,False,False,False,False,False
55,54,0x36,EGL_GetPlatformDisplayEXT,,unknown,,,,,False,False,False,False,False,False,False
56,55,0x37,EGL_GetProcAddress,,unknown,,,,,False,False,False,False,False,False,False
57,56,0x38,EGL_GetSyncAttrib,,unknown,,,,,False,False,False,False,False,False,False
58,57,0x39,EGL_GetSyncAttribKHR,,unknown,,,,,False,False,False,False,False,False,False
59,58,0x3A,EGL_GetSyncValuesCHROMIUM,,unknown,,,,,False,False,False,False,False,False,False
60,59,0x3B,EGL_HandleGPUSwitchANGLE,,unknown,,,,,False,False,False,False,False,False,False
61,60,0x3C,EGL_Initialize,,unknown,,,,,False,False,False,False,False,False,False
62,61,0x3D,EGL_LabelObjectKHR,,unknown,,,,,False,False,False,False,False,False,False
63,62,0x3E,EGL_LockSurfaceKHR,,unknown,,,,,False,False,False,False,False,False,False
64,63,0x3F,EGL_MakeCurrent,,unknown,,,,,False,False,False,False,False,False,False
