ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,bmp_create,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,bmp_destroy,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,bmp_get_depth,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,bmp_get_dib,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,bmp_get_dpi_x,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,bmp_get_dpi_y,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,bmp_get_header,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,bmp_get_height,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,bmp_get_pixel,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,bmp_get_width,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,bmp_save,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,bmp_set_dpi,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,bmp_set_pixel,,unknown,,,,,False,False,False,False,False,False,False
