ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,ACCESS_DESCRIPTION_free,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,ACCESS_DESCRIPTION_it,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,ACCESS_DESCRIPTION_new,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,ADMISSIONS_free,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,ADMISSIONS_get0_admissionAuthority,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,ADMISSIONS_get0_namingAuthority,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,ADMISSIONS_get0_professionInfos,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,ADMISSIONS_it,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,ADMISSIONS_new,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,ADMISSIONS_set0_admissionAuthority,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,ADMISSIONS_set0_namingAuthority,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,ADMISSIONS_set0_professionInfos,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,ADMISSION_SYNTAX_free,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,ADMISSION_SYNTAX_get0_admissionAuthority,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,ADMISSION_SYNTAX_get0_contentsOfAdmissions,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,ADMISSION_SYNTAX_it,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,ADMISSION_SYNTAX_new,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,ADMISSION_SYNTAX_set0_admissionAuthority,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,ADMISSION_SYNTAX_set0_contentsOfAdmissions,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,AES_bi_ige_encrypt,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,AES_cbc_encrypt,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,AES_cfb128_encrypt,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,AES_cfb1_encrypt,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,AES_cfb8_encrypt,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,AES_decrypt,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,AES_ecb_encrypt,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,AES_encrypt,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,AES_ige_encrypt,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,AES_ofb128_encrypt,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,AES_options,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,AES_set_decrypt_key,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,AES_set_encrypt_key,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,AES_unwrap_key,,unknown,,,,,False,False,False,False,False,False,False
34,33,0x21,AES_wrap_key,,unknown,,,,,False,False,False,False,False,False,False
35,34,0x22,ASIdOrRange_free,,unknown,,,,,False,False,False,False,False,False,False
36,35,0x23,ASIdOrRange_it,,unknown,,,,,False,False,False,False,False,False,False
37,36,0x24,ASIdOrRange_new,,unknown,,,,,False,False,False,False,False,False,False
38,37,0x25,ASIdentifierChoice_free,,unknown,,,,,False,False,False,False,False,False,False
39,38,0x26,ASIdentifierChoice_it,,unknown,,,,,False,False,False,False,False,False,False
40,39,0x27,ASIdentifierChoice_new,,unknown,,,,,False,False,False,False,False,False,False
41,40,0x28,ASIdentifiers_free,,unknown,,,,,False,False,False,False,False,False,False
42,41,0x29,ASIdentifiers_it,,unknown,,,,,False,False,False,False,False,False,False
43,42,0x2A,ASIdentifiers_new,,unknown,,,,,False,False,False,False,False,False,False
44,43,0x2B,ASN1_ANY_it,,unknown,,,,,False,False,False,False,False,False,False
45,44,0x2C,ASN1_BIT_STRING_check,,unknown,,,,,False,False,False,False,False,False,False
46,45,0x2D,ASN1_BIT_STRING_free,,unknown,,,,,False,False,False,False,False,False,False
47,46,0x2E,ASN1_BIT_STRING_get_bit,,unknown,,,,,False,False,False,False,False,False,False
48,47,0x2F,ASN1_BIT_STRING_it,,unknown,,,,,False,False,False,False,False,False,False
49,48,0x30,ASN1_BIT_STRING_name_print,,unknown,,,,,False,False,False,False,False,False,False
50,49,0x31,ASN1_BIT_STRING_new,,unknown,,,,,False,False,False,False,False,False,False
51,50,0x32,ASN1_BIT_STRING_num_asc,,unknown,,,,,False,False,False,False,False,False,False
52,51,0x33,ASN1_BIT_STRING_set,,unknown,,,,,False,False,False,False,False,False,False
53,52,0x34,ASN1_BIT_STRING_set_asc,,unknown,,,,,False,False,False,False,False,False,False
54,53,0x35,ASN1_BIT_STRING_set_bit,,unknown,,,,,False,False,False,False,False,False,False
55,54,0x36,ASN1_BMPSTRING_free,,unknown,,,,,False,False,False,False,False,False,False
56,55,0x37,ASN1_BMPSTRING_it,,unknown,,,,,False,False,False,False,False,False,False
57,56,0x38,ASN1_BMPSTRING_new,,unknown,,,,,False,False,False,False,False,False,False
58,57,0x39,ASN1_BOOLEAN_it,,unknown,,,,,False,False,False,False,False,False,False
59,58,0x3A,ASN1_ENUMERATED_free,,unknown,,,,,False,False,False,False,False,False,False
60,59,0x3B,ASN1_ENUMERATED_get,,unknown,,,,,False,False,False,False,False,False,False
61,60,0x3C,ASN1_ENUMERATED_get_int64,,unknown,,,,,False,False,False,False,False,False,False
62,61,0x3D,ASN1_ENUMERATED_it,,unknown,,,,,False,False,False,False,False,False,False
63,62,0x3E,ASN1_ENUMERATED_new,,unknown,,,,,False,False,False,False,False,False,False
64,63,0x3F,ASN1_ENUMERATED_set,,unknown,,,,,False,False,False,False,False,False,False
65,64,0x40,ASN1_ENUMERATED_set_int64,,unknown,,,,,False,False,False,False,False,False,False
66,65,0x41,ASN1_ENUMERATED_to_BN,,unknown,,,,,False,False,False,False,False,False,False
67,66,0x42,ASN1_FBOOLEAN_it,,unknown,,,,,False,False,False,False,False,False,False
68,67,0x43,ASN1_GENERALIZEDTIME_adj,,unknown,,,,,False,False,False,False,False,False,False
69,68,0x44,ASN1_GENERALIZEDTIME_check,,unknown,,,,,False,False,False,False,False,False,False
70,69,0x45,ASN1_GENERALIZEDTIME_free,,unknown,,,,,False,False,False,False,False,False,False
71,70,0x46,ASN1_GENERALIZEDTIME_it,,unknown,,,,,False,False,False,False,False,False,False
72,71,0x47,ASN1_GENERALIZEDTIME_new,,unknown,,,,,False,False,False,False,False,False,False
73,72,0x48,ASN1_GENERALIZEDTIME_print,,unknown,,,,,False,False,False,False,False,False,False
74,73,0x49,ASN1_GENERALIZEDTIME_set,,unknown,,,,,False,False,False,False,False,False,False
75,74,0x4A,ASN1_GENERALIZEDTIME_set_string,,unknown,,,,,False,False,False,False,False,False,False
76,75,0x4B,ASN1_GENERALSTRING_free,,unknown,,,,,False,False,False,False,False,False,False
77,76,0x4C,ASN1_GENERALSTRING_it,,unknown,,,,,False,False,False,False,False,False,False
78,77,0x4D,ASN1_GENERALSTRING_new,,unknown,,,,,False,False,False,False,False,False,False
79,78,0x4E,ASN1_IA5STRING_free,,unknown,,,,,False,False,False,False,False,False,False
80,79,0x4F,ASN1_IA5STRING_it,,unknown,,,,,False,False,False,False,False,False,False
81,80,0x50,ASN1_IA5STRING_new,,unknown,,,,,False,False,False,False,False,False,False
82,81,0x51,ASN1_INTEGER_cmp,,unknown,,,,,False,False,False,False,False,False,False
83,82,0x52,ASN1_INTEGER_dup,,unknown,,,,,False,False,False,False,False,False,False
84,83,0x53,ASN1_INTEGER_free,,unknown,,,,,False,False,False,False,False,False,False
85,84,0x54,ASN1_INTEGER_get,,unknown,,,,,False,False,False,False,False,False,False
86,85,0x55,ASN1_INTEGER_get_int64,,unknown,,,,,False,False,False,False,False,False,False
87,86,0x56,ASN1_INTEGER_get_uint64,,unknown,,,,,False,False,False,False,False,False,False
88,87,0x57,ASN1_INTEGER_it,,unknown,,,,,False,False,False,False,False,False,False
89,88,0x58,ASN1_INTEGER_new,,unknown,,,,,False,False,False,False,False,False,False
90,89,0x59,ASN1_INTEGER_set,,unknown,,,,,False,False,False,False,False,False,False
91,90,0x5A,ASN1_INTEGER_set_int64,,unknown,,,,,False,False,False,False,False,False,False
92,91,0x5B,ASN1_INTEGER_set_uint64,,unknown,,,,,False,False,False,False,False,False,False
93,92,0x5C,ASN1_INTEGER_to_BN,,unknown,,,,,False,False,False,False,False,False,False
94,93,0x5D,ASN1_ITEM_get,,unknown,,,,,False,False,False,False,False,False,False
95,94,0x5E,ASN1_ITEM_lookup,,unknown,,,,,False,False,False,False,False,False,False
96,95,0x5F,ASN1_NULL_free,,unknown,,,,,False,False,False,False,False,False,False
97,96,0x60,ASN1_NULL_it,,unknown,,,,,False,False,False,False,False,False,False
98,97,0x61,ASN1_NULL_new,,unknown,,,,,False,False,False,False,False,False,False
99,98,0x62,ASN1_OBJECT_create,,unknown,,,,,False,False,False,False,False,False,False
100,99,0x63,ASN1_OBJECT_free,,unknown,,,,,False,False,False,False,False,False,False
101,100,0x64,ASN1_OBJECT_it,,unknown,,,,,False,False,False,False,False,False,False
102,101,0x65,ASN1_OBJECT_new,,unknown,,,,,False,False,False,False,False,False,False
103,102,0x66,ASN1_OCTET_STRING_NDEF_it,,unknown,,,,,False,False,False,False,False,False,False
104,103,0x67,ASN1_OCTET_STRING_cmp,,unknown,,,,,False,False,False,False,False,False,False
105,104,0x68,ASN1_OCTET_STRING_dup,,unknown,,,,,False,False,False,False,False,False,False
106,105,0x69,ASN1_OCTET_STRING_free,,unknown,,,,,False,False,False,False,False,False,False
107,106,0x6A,ASN1_OCTET_STRING_it,,unknown,,,,,False,False,False,False,False,False,False
108,107,0x6B,ASN1_OCTET_STRING_new,,unknown,,,,,False,False,False,False,False,False,False
109,108,0x6C,ASN1_OCTET_STRING_set,,unknown,,,,,False,False,False,False,False,False,False
110,109,0x6D,ASN1_PCTX_free,,unknown,,,,,False,False,False,False,False,False,False
111,110,0x6E,ASN1_PCTX_get_cert_flags,,unknown,,,,,False,False,False,False,False,False,False
112,111,0x6F,ASN1_PCTX_get_flags,,unknown,,,,,False,False,False,False,False,False,False
113,112,0x70,ASN1_PCTX_get_nm_flags,,unknown,,,,,False,False,False,False,False,False,False
114,113,0x71,ASN1_PCTX_get_oid_flags,,unknown,,,,,False,False,False,False,False,False,False
115,114,0x72,ASN1_PCTX_get_str_flags,,unknown,,,,,False,False,False,False,False,False,False
116,115,0x73,ASN1_PCTX_new,,unknown,,,,,False,False,False,False,False,False,False
117,116,0x74,ASN1_PCTX_set_cert_flags,,unknown,,,,,False,False,False,False,False,False,False
118,117,0x75,ASN1_PCTX_set_flags,,unknown,,,,,False,False,False,False,False,False,False
119,118,0x76,ASN1_PCTX_set_nm_flags,,unknown,,,,,False,False,False,False,False,False,False
120,119,0x77,ASN1_PCTX_set_oid_flags,,unknown,,,,,False,False,False,False,False,False,False
121,120,0x78,ASN1_PCTX_set_str_flags,,unknown,,,,,False,False,False,False,False,False,False
122,121,0x79,ASN1_PRINTABLESTRING_free,,unknown,,,,,False,False,False,False,False,False,False
123,122,0x7A,ASN1_PRINTABLESTRING_it,,unknown,,,,,False,False,False,False,False,False,False
124,123,0x7B,ASN1_PRINTABLESTRING_new,,unknown,,,,,False,False,False,False,False,False,False
125,124,0x7C,ASN1_PRINTABLE_free,,unknown,,,,,False,False,False,False,False,False,False
126,125,0x7D,ASN1_PRINTABLE_it,,unknown,,,,,False,False,False,False,False,False,False
127,126,0x7E,ASN1_PRINTABLE_new,,unknown,,,,,False,False,False,False,False,False,False
128,127,0x7F,ASN1_PRINTABLE_type,,unknown,,,,,False,False,False,False,False,False,False
129,128,0x80,ASN1_SCTX_free,,unknown,,,,,False,False,False,False,False,False,False
130,129,0x81,ASN1_SCTX_get_app_data,,unknown,,,,,False,False,False,False,False,False,False
131,130,0x82,ASN1_SCTX_get_flags,,unknown,,,,,False,False,False,False,False,False,False
132,131,0x83,ASN1_SCTX_get_item,,unknown,,,,,False,False,False,False,False,False,False
133,132,0x84,ASN1_SCTX_get_template,,unknown,,,,,False,False,False,False,False,False,False
