ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,curl_easy_cleanup,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,curl_easy_duphandle,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,curl_easy_escape,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,curl_easy_getinfo,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,curl_easy_init,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,curl_easy_option_by_id,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,curl_easy_option_by_name,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,curl_easy_option_next,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,curl_easy_pause,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,curl_easy_perform,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,curl_easy_recv,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,curl_easy_reset,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,curl_easy_send,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,curl_easy_setopt,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,curl_easy_strerror,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,curl_easy_unescape,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,curl_easy_upkeep,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,curl_escape,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,curl_formadd,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,curl_formfree,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,curl_formget,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,curl_free,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,curl_getdate,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,curl_getenv,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,curl_global_cleanup,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,curl_global_init,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,curl_global_init_mem,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,curl_global_sslset,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,curl_maprintf,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,curl_mfprintf,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,curl_mime_addpart,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,curl_mime_data,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,curl_mime_data_cb,,unknown,,,,,False,False,False,False,False,False,False
