ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0EdmGLTFLoader@@QEAA@$$QEAV0@@Z,public: __cdecl EdmGLTFLoader::EdmGLTFLoader(class EdmGLTFLoader &&),method,,EdmGLTFLoader,EdmGLTFLoader,class EdmGLTFLoader &&,False,False,False,False,False,False,True
2,1,0x1,??0EdmGLTFLoader@@QEAA@AEBV0@@Z,public: __cdecl EdmGLTFLoader::EdmGLTFLoader(class EdmGLTFLoader const &),method,,EdmGLTFLoader,EdmGLTFLoader,class EdmGLTFLoader const &,False,False,False,False,False,False,True
3,2,0x2,??0EdmGLTFLoader@@QEAA@XZ,public: __cdecl EdmGLTFLoader::EdmGLTFLoader(void),method,,EdmGLTFLoader,EdmGLTFLoader,void,False,False,False,False,False,False,True
4,3,0x3,??1EdmGLTFLoader@@QEAA@XZ,public: __cdecl EdmGLTFLoader::~EdmGLTFLoader(void),method,,EdmGLTFLoader,~EdmGLTFLoader,void,False,False,False,False,False,False,True
5,4,0x4,??4EdmGLTFLoader@@QEAAAEAV0@$$QEAV0@@Z,public: class EdmGLTFLoader & __cdecl EdmGLTFLoader::operator=(class EdmGLTFLoader &&),symbol,,,,,False,False,False,False,False,False,True
6,5,0x5,??4EdmGLTFLoader@@QEAAAEAV0@AEBV0@@Z,public: class EdmGLTFLoader & __cdecl EdmGLTFLoader::operator=(class EdmGLTFLoader const &),symbol,,,,,False,False,False,False,False,False,True
7,6,0x6,?ExtractArgAnimationKeys@EdmGLTFLoader@@AEAAXAEAUArgAnimationKeys@1@AEAUBaseAnimParam@1@AEBUAnimation@tinygltf@@HH_N3@Z,"private: void __cdecl EdmGLTFLoader::ExtractArgAnimationKeys(struct EdmGLTFLoader::ArgAnimationKeys &, struct EdmGLTFLoader::BaseAnimParam &, struct tinygltf::Animation const &, int, int, bool, bool)",method,,EdmGLTFLoader,ExtractArgAnimationKeys,"struct EdmGLTFLoader::ArgAnimationKeys &, struct EdmGLTFLoader::BaseAnimParam &, struct tinygltf::Animation const &, int, int, bool, bool",False,False,False,False,False,False,True
8,7,0x7,?ExtractArgNum@EdmGLTFLoader@@AEAAXAEBV?$basic_string@D@ed@@AEAH@Z,"private: void __cdecl EdmGLTFLoader::ExtractArgNum(class ed::basic_string<char> const &, int &)",method,,EdmGLTFLoader,ExtractArgNum,"class ed::basic_string<char> const &, int &",False,False,False,False,False,False,True
9,8,0x8,?ExtractConnectorName@EdmGLTFLoader@@AEAA?AV?$basic_string@D@ed@@AEBV23@@Z,private: class ed::basic_string<char> __cdecl EdmGLTFLoader::ExtractConnectorName(class ed::basic_string<char> const &),method,,EdmGLTFLoader,ExtractConnectorName,class ed::basic_string<char> const &,False,False,False,False,False,False,True
10,9,0x9,?GetAttribute@EdmGLTFLoader@@AEAAMPEBEI@Z,"private: float __cdecl EdmGLTFLoader::GetAttribute(unsigned char const *, unsigned int)",method,,EdmGLTFLoader,GetAttribute,"unsigned char const *, unsigned int",False,False,False,False,False,False,True
