ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,lzma_alone_decoder,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,lzma_alone_encoder,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,lzma_auto_decoder,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,lzma_block_buffer_bound,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,lzma_block_buffer_decode,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,lzma_block_buffer_encode,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,lzma_block_compressed_size,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,lzma_block_decoder,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,lzma_block_encoder,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,lzma_block_header_decode,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,lzma_block_header_encode,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,lzma_block_header_size,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,lzma_block_total_size,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,lzma_block_uncomp_encode,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,lzma_block_unpadded_size,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,lzma_check_is_supported,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,lzma_check_size,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,lzma_code,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,lzma_cputhreads,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,lzma_crc32,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,lzma_crc64,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,lzma_easy_buffer_encode,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,lzma_easy_decoder_memusage,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,lzma_easy_encoder,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,lzma_easy_encoder_memusage,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,lzma_end,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,lzma_filter_decoder_is_supported,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,lzma_filter_encoder_is_supported,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,lzma_filter_flags_decode,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,lzma_filter_flags_encode,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,lzma_filter_flags_size,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,lzma_filters_copy,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,lzma_filters_update,,unknown,,,,,False,False,False,False,False,False,False
