ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,libssh2_agent_connect,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,libssh2_agent_disconnect,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,libssh2_agent_free,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,libssh2_agent_get_identity,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,libssh2_agent_get_identity_path,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,libssh2_agent_init,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,libssh2_agent_list_identities,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,libssh2_agent_set_identity_path,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,libssh2_agent_userauth,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,libssh2_banner_set,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,libssh2_base64_decode,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,libssh2_channel_close,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,libssh2_channel_direct_tcpip_ex,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,libssh2_channel_eof,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,libssh2_channel_flush_ex,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,libssh2_channel_forward_accept,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,libssh2_channel_forward_cancel,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,libssh2_channel_forward_listen_ex,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,libssh2_channel_free,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,libssh2_channel_get_exit_signal,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,libssh2_channel_get_exit_status,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,libssh2_channel_handle_extended_data,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,libssh2_channel_handle_extended_data2,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,libssh2_channel_open_ex,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,libssh2_channel_process_startup,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,libssh2_channel_read_ex,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,libssh2_channel_receive_window_adjust,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,libssh2_channel_receive_window_adjust2,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,libssh2_channel_request_pty_ex,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,libssh2_channel_request_pty_size_ex,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,libssh2_channel_send_eof,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,libssh2_channel_set_blocking,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,libssh2_channel_setenv_ex,,unknown,,,,,False,False,False,False,False,False,False
34,33,0x21,libssh2_channel_wait_closed,,unknown,,,,,False,False,False,False,False,False,False
35,34,0x22,libssh2_channel_wait_eof,,unknown,,,,,False,False,False,False,False,False,False
36,35,0x23,libssh2_channel_window_read_ex,,unknown,,,,,False,False,False,False,False,False,False
37,36,0x24,libssh2_channel_window_write_ex,,unknown,,,,,False,False,False,False,False,False,False
38,37,0x25,libssh2_channel_write_ex,,unknown,,,,,False,False,False,False,False,False,False
39,38,0x26,libssh2_channel_x11_req_ex,,unknown,,,,,False,False,False,False,False,False,False
40,39,0x27,libssh2_exit,,unknown,,,,,False,False,False,False,False,False,False
41,40,0x28,libssh2_free,,unknown,,,,,False,False,False,False,False,False,False
42,41,0x29,libssh2_hostkey_hash,,unknown,,,,,False,False,False,False,False,False,False
43,42,0x2A,libssh2_init,,unknown,,,,,False,False,False,False,False,False,False
44,43,0x2B,libssh2_keepalive_config,,unknown,,,,,False,False,False,False,False,False,False
45,44,0x2C,libssh2_keepalive_send,,unknown,,,,,False,False,False,False,False,False,False
46,45,0x2D,libssh2_knownhost_add,,unknown,,,,,False,False,False,False,False,False,False
47,46,0x2E,libssh2_knownhost_addc,,unknown,,,,,False,False,False,False,False,False,False
48,47,0x2F,libssh2_knownhost_check,,unknown,,,,,False,False,False,False,False,False,False
49,48,0x30,libssh2_knownhost_checkp,,unknown,,,,,False,False,False,False,False,False,False
50,49,0x31,libssh2_knownhost_del,,unknown,,,,,False,False,False,False,False,False,False
51,50,0x32,libssh2_knownhost_free,,unknown,,,,,False,False,False,False,False,False,False
52,51,0x33,libssh2_knownhost_get,,unknown,,,,,False,False,False,False,False,False,False
53,52,0x34,libssh2_knownhost_init,,unknown,,,,,False,False,False,False,False,False,False
54,53,0x35,libssh2_knownhost_readfile,,unknown,,,,,False,False,False,False,False,False,False
55,54,0x36,libssh2_knownhost_readline,,unknown,,,,,False,False,False,False,False,False,False
56,55,0x37,libssh2_knownhost_writefile,,unknown,,,,,False,False,False,False,False,False,False
57,56,0x38,libssh2_knownhost_writeline,,unknown,,,,,False,False,False,False,False,False,False
58,57,0x39,libssh2_poll,,unknown,,,,,False,False,False,False,False,False,False
59,58,0x3A,libssh2_poll_channel_read,,unknown,,,,,False,False,False,False,False,False,False
60,59,0x3B,libssh2_publickey_add_ex,,unknown,,,,,False,False,False,False,False,False,False
61,60,0x3C,libssh2_publickey_init,,unknown,,,,,False,False,False,False,False,False,False
62,61,0x3D,libssh2_publickey_list_fetch,,unknown,,,,,False,False,False,False,False,False,False
63,62,0x3E,libssh2_publickey_list_free,,unknown,,,,,False,False,False,False,False,False,False
64,63,0x3F,libssh2_publickey_remove_ex,,unknown,,,,,False,False,False,False,False,False,False
65,64,0x40,libssh2_publickey_shutdown,,unknown,,,,,False,False,False,False,False,False,False
66,65,0x41,libssh2_scp_recv,,unknown,,,,,False,False,False,False,False,False,False
67,66,0x42,libssh2_scp_recv2,,unknown,,,,,False,False,False,False,False,False,False
68,67,0x43,libssh2_scp_send64,,unknown,,,,,False,False,False,False,False,False,False
69,68,0x44,libssh2_scp_send_ex,,unknown,,,,,False,False,False,False,False,False,False
70,69,0x45,libssh2_session_abstract,,unknown,,,,,False,False,False,False,False,False,False
71,70,0x46,libssh2_session_banner_get,,unknown,,,,,False,False,False,False,False,False,False
72,71,0x47,libssh2_session_banner_set,,unknown,,,,,False,False,False,False,False,False,False
73,72,0x48,libssh2_session_block_directions,,unknown,,,,,False,False,False,False,False,False,False
74,73,0x49,libssh2_session_callback_set,,unknown,,,,,False,False,False,False,False,False,False
75,74,0x4A,libssh2_session_disconnect_ex,,unknown,,,,,False,False,False,False,False,False,False
76,75,0x4B,libssh2_session_flag,,unknown,,,,,False,False,False,False,False,False,False
77,76,0x4C,libssh2_session_free,,unknown,,,,,False,False,False,False,False,False,False
78,77,0x4D,libssh2_session_get_blocking,,unknown,,,,,False,False,False,False,False,False,False
79,78,0x4E,libssh2_session_get_timeout,,unknown,,,,,False,False,False,False,False,False,False
80,79,0x4F,libssh2_session_handshake,,unknown,,,,,False,False,False,False,False,False,False
81,80,0x50,libssh2_session_hostkey,,unknown,,,,,False,False,False,False,False,False,False
82,81,0x51,libssh2_session_init_ex,,unknown,,,,,False,False,False,False,False,False,False
83,82,0x52,libssh2_session_last_errno,,unknown,,,,,False,False,False,False,False,False,False
