ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,luaopen_librs232,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,luaopen_rs232_core,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,rs232_close,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,rs232_end,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,rs232_fd,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,rs232_flush,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,rs232_get_baud,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,rs232_get_data,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,rs232_get_device,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,rs232_get_dtr,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,rs232_get_flow,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,rs232_get_parity,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,rs232_get_rts,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,rs232_get_stop,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,rs232_in_queue,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,rs232_in_queue_clear,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,rs232_init,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,rs232_open,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,rs232_port_open,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,rs232_read,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,rs232_read_timeout,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,rs232_read_timeout_forced,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,rs232_set_baud,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,rs232_set_data,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,rs232_set_device,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,rs232_set_dtr,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,rs232_set_flow,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,rs232_set_parity,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,rs232_set_rts,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,rs232_set_stop,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,rs232_strbaud,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,rs232_strdata,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,rs232_strdtr,,unknown,,,,,False,False,False,False,False,False,False
34,33,0x21,rs232_strerror,,unknown,,,,,False,False,False,False,False,False,False
35,34,0x22,rs232_strflow,,unknown,,,,,False,False,False,False,False,False,False
36,35,0x23,rs232_strparity,,unknown,,,,,False,False,False,False,False,False,False
37,36,0x24,rs232_strrts,,unknown,,,,,False,False,False,False,False,False,False
38,37,0x25,rs232_strstop,,unknown,,,,,False,False,False,False,False,False,False
39,38,0x26,rs232_to_string,,unknown,,,,,False,False,False,False,False,False,False
40,39,0x27,rs232_write,,unknown,,,,,False,False,False,False,False,False,False
41,40,0x28,rs232_write_timeout,,unknown,,,,,False,False,False,False,False,False,False
