ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0BaseBinder@@QEAA@$$QEAV0@@Z,public: __cdecl BaseBinder::BaseBinder(class BaseBinder &&),method,,BaseBinder,BaseBinder,class BaseBinder &&,False,False,False,False,False,False,True
2,1,0x1,??0BaseBinder@@QEAA@AEBV0@@Z,public: __cdecl BaseBinder::BaseBinder(class BaseBinder const &),method,,BaseBinder,BaseBinder,class BaseBinder const &,False,False,False,False,False,False,True
3,2,0x2,??0BaseBinder@@QEAA@XZ,public: __cdecl BaseBinder::BaseBinder(void),method,,BaseBinder,BaseBinder,void,False,False,False,False,False,False,True
4,3,0x3,??0BinderFactory@render@@AEAA@XZ,private: __cdecl render::BinderFactory::BinderFactory(void),method,render,BinderFactory,BinderFactory,void,False,False,False,False,False,False,True
5,4,0x4,??0MetaContext@render@@QEAA@HPEBX@Z,"public: __cdecl render::MetaContext::MetaContext(int, void const *)",method,render,MetaContext,MetaContext,"int, void const *",False,False,False,False,False,False,True
6,5,0x5,??0MetaContext@render@@QEAA@HPEBXH0@Z,"public: __cdecl render::MetaContext::MetaContext(int, void const *, int, void const *)",method,render,MetaContext,MetaContext,"int, void const *, int, void const *",False,False,False,False,False,False,True
7,6,0x6,??0MetaContext@render@@QEAA@HPEBXH0H0@Z,"public: __cdecl render::MetaContext::MetaContext(int, void const *, int, void const *, int, void const *)",method,render,MetaContext,MetaContext,"int, void const *, int, void const *, int, void const *",False,False,False,False,False,False,True
8,7,0x7,??0MetaContext@render@@QEAA@HPEBXH0H0H0@Z,"public: __cdecl render::MetaContext::MetaContext(int, void const *, int, void const *, int, void const *, int, void const *)",method,render,MetaContext,MetaContext,"int, void const *, int, void const *, int, void const *, int, void const *",False,False,False,False,False,False,True
9,8,0x8,??0MetaContext@render@@QEAA@XZ,public: __cdecl render::MetaContext::MetaContext(void),method,render,MetaContext,MetaContext,void,False,False,False,False,False,False,True
10,9,0x9,??0MetaShader@render@@QEAA@AEBV01@@Z,public: __cdecl render::MetaShader::MetaShader(class render::MetaShader const &),method,render,MetaShader,MetaShader,class render::MetaShader const &,False,False,False,False,False,False,True
11,10,0xA,??0MetaShader@render@@QEAA@XZ,public: __cdecl render::MetaShader::MetaShader(void),method,render,MetaShader,MetaShader,void,False,False,False,False,False,False,True
