ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,mupAddValIdent,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,mupClearConst,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,mupClearFun,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,mupClearOprt,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,mupClearVar,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,mupCreate,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,mupCreateVar,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,mupDefineBulkFun0,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,mupDefineBulkFun1,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,mupDefineBulkFun10,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,mupDefineBulkFun2,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,mupDefineBulkFun3,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,mupDefineBulkFun4,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,mupDefineBulkFun5,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,mupDefineBulkFun6,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,mupDefineBulkFun7,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,mupDefineBulkFun8,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,mupDefineBulkFun9,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,mupDefineBulkVar,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,mupDefineConst,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,mupDefineFun0,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,mupDefineFun1,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,mupDefineFun10,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,mupDefineFun2,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,mupDefineFun3,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,mupDefineFun4,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,mupDefineFun5,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,mupDefineFun6,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,mupDefineFun7,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,mupDefineFun8,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,mupDefineFun9,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,mupDefineInfixOprt,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,mupDefineInfixOprtChars,,unknown,,,,,False,False,False,False,False,False,False
34,33,0x21,mupDefineMultFun,,unknown,,,,,False,False,False,False,False,False,False
35,34,0x22,mupDefineNameChars,,unknown,,,,,False,False,False,False,False,False,False
36,35,0x23,mupDefineOprt,,unknown,,,,,False,False,False,False,False,False,False
37,36,0x24,mupDefineOprtChars,,unknown,,,,,False,False,False,False,False,False,False
38,37,0x25,mupDefinePostfixOprt,,unknown,,,,,False,False,False,False,False,False,False
39,38,0x26,mupDefineStrConst,,unknown,,,,,False,False,False,False,False,False,False
40,39,0x27,mupDefineStrFun1,,unknown,,,,,False,False,False,False,False,False,False
41,40,0x28,mupDefineStrFun2,,unknown,,,,,False,False,False,False,False,False,False
42,41,0x29,mupDefineStrFun3,,unknown,,,,,False,False,False,False,False,False,False
43,42,0x2A,mupDefineVar,,unknown,,,,,False,False,False,False,False,False,False
44,43,0x2B,mupError,,unknown,,,,,False,False,False,False,False,False,False
45,44,0x2C,mupErrorReset,,unknown,,,,,False,False,False,False,False,False,False
46,45,0x2D,mupEval,,unknown,,,,,False,False,False,False,False,False,False
47,46,0x2E,mupEvalBulk,,unknown,,,,,False,False,False,False,False,False,False
48,47,0x2F,mupEvalMulti,,unknown,,,,,False,False,False,False,False,False,False
49,48,0x30,mupGetConst,,unknown,,,,,False,False,False,False,False,False,False
50,49,0x31,mupGetConstNum,,unknown,,,,,False,False,False,False,False,False,False
51,50,0x32,mupGetErrorCode,,unknown,,,,,False,False,False,False,False,False,False
52,51,0x33,mupGetErrorMsg,,unknown,,,,,False,False,False,False,False,False,False
53,52,0x34,mupGetErrorPos,,unknown,,,,,False,False,False,False,False,False,False
54,53,0x35,mupGetErrorToken,,unknown,,,,,False,False,False,False,False,False,False
55,54,0x36,mupGetExpr,,unknown,,,,,False,False,False,False,False,False,False
56,55,0x37,mupGetExprVar,,unknown,,,,,False,False,False,False,False,False,False
57,56,0x38,mupGetExprVarNum,,unknown,,,,,False,False,False,False,False,False,False
58,57,0x39,mupGetVar,,unknown,,,,,False,False,False,False,False,False,False
59,58,0x3A,mupGetVarNum,,unknown,,,,,False,False,False,False,False,False,False
60,59,0x3B,mupGetVersion,,unknown,,,,,False,False,False,False,False,False,False
61,60,0x3C,mupRelease,,unknown,,,,,False,False,False,False,False,False,False
62,61,0x3D,mupReleaseVar,,unknown,,,,,False,False,False,False,False,False,False
63,62,0x3E,mupRemoveVar,,unknown,,,,,False,False,False,False,False,False,False
64,63,0x3F,mupResetLocale,,unknown,,,,,False,False,False,False,False,False,False
65,64,0x40,mupSetArgSep,,unknown,,,,,False,False,False,False,False,False,False
66,65,0x41,mupSetDecSep,,unknown,,,,,False,False,False,False,False,False,False
67,66,0x42,mupSetErrorHandler,,unknown,,,,,False,False,False,False,False,False,False
68,67,0x43,mupSetExpr,,unknown,,,,,False,False,False,False,False,False,False
69,68,0x44,mupSetThousandsSep,,unknown,,,,,False,False,False,False,False,False,False
70,69,0x45,mupSetVarFactory,,unknown,,,,,False,False,False,False,False,False,False
