ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,NGX_SNIPPETS_GetRequiredDriverSupport,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,NVSDK_NGX_D3D11_CreateFeature,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,NVSDK_NGX_D3D11_EvaluateFeature,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,NVSDK_NGX_D3D11_GetFeatureRequirements,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,NVSDK_NGX_D3D11_GetScratchBufferSize,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,NVSDK_NGX_D3D11_Init,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,NVSDK_NGX_D3D11_Init_Ext,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,NVSDK_NGX_D3D11_PopulateParameters_Impl,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,NVSDK_NGX_D3D11_ReleaseFeature,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,NVSDK_NGX_D3D11_Shutdown,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,NVSDK_NGX_D3D11_Shutdown1,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,NVSDK_NGX_D3D12_CreateFeature,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,NVSDK_NGX_D3D12_EvaluateFeature,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,NVSDK_NGX_D3D12_GetFeatureRequirements,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,NVSDK_NGX_D3D12_GetScratchBufferSize,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,NVSDK_NGX_D3D12_Init,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,NVSDK_NGX_D3D12_Init_Ext,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,NVSDK_NGX_D3D12_PopulateParameters_Impl,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,NVSDK_NGX_D3D12_ReleaseFeature,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,NVSDK_NGX_D3D12_Shutdown,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,NVSDK_NGX_D3D12_Shutdown1,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,NVSDK_NGX_DirectSR_Create,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,NVSDK_NGX_DirectSR_Destroy,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,NVSDK_NGX_DirectSR_Execute,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,NVSDK_NGX_DirectSR_Init,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,NVSDK_NGX_DirectSR_Query,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,NVSDK_NGX_GetAPIVersion,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,NVSDK_NGX_GetApplicationId,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,NVSDK_NGX_GetDriverVersion,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,NVSDK_NGX_GetDriverVersionEx,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,NVSDK_NGX_GetGPUArchitecture,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,NVSDK_NGX_GetSnippetVersion,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,NVSDK_NGX_SetInfoCallback,,unknown,,,,,False,False,False,False,False,False,False
34,33,0x21,NVSDK_NGX_SetTelemetryEvaluateCallback,,unknown,,,,,False,False,False,False,False,False,False
35,34,0x22,NVSDK_NGX_VULKAN_CreateFeature,,unknown,,,,,False,False,False,False,False,False,False
36,35,0x23,NVSDK_NGX_VULKAN_CreateFeature1,,unknown,,,,,False,False,False,False,False,False,False
37,36,0x24,NVSDK_NGX_VULKAN_EvaluateFeature,,unknown,,,,,False,False,False,False,False,False,False
38,37,0x25,NVSDK_NGX_VULKAN_GetFeatureDeviceExtensionRequirements,,unknown,,,,,False,False,False,False,False,False,False
39,38,0x26,NVSDK_NGX_VULKAN_GetFeatureInstanceExtensionRequirements,,unknown,,,,,False,False,False,False,False,False,False
40,39,0x27,NVSDK_NGX_VULKAN_GetFeatureRequirements,,unknown,,,,,False,False,False,False,False,False,False
41,40,0x28,NVSDK_NGX_VULKAN_GetScratchBufferSize,,unknown,,,,,False,False,False,False,False,False,False
42,41,0x29,NVSDK_NGX_VULKAN_Init,,unknown,,,,,False,False,False,False,False,False,False
43,42,0x2A,NVSDK_NGX_VULKAN_Init_Ext,,unknown,,,,,False,False,False,False,False,False,False
44,43,0x2B,NVSDK_NGX_VULKAN_Init_Ext2,,unknown,,,,,False,False,False,False,False,False,False
45,44,0x2C,NVSDK_NGX_VULKAN_PopulateParameters_Impl,,unknown,,,,,False,False,False,False,False,False,False
46,45,0x2D,NVSDK_NGX_VULKAN_ReleaseFeature,,unknown,,,,,False,False,False,False,False,False,False
47,46,0x2E,NVSDK_NGX_VULKAN_Shutdown,,unknown,,,,,False,False,False,False,False,False,False
48,47,0x2F,NVSDK_NGX_VULKAN_Shutdown1,,unknown,,,,,False,False,False,False,False,False,False
