ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0CompressionOptions@nvtt@@QEAA@XZ,public: __cdecl nvtt::CompressionOptions::CompressionOptions(void),method,nvtt,CompressionOptions,CompressionOptions,void,False,False,False,False,False,False,True
2,1,0x1,??0Compressor@nvtt@@QEAA@XZ,public: __cdecl nvtt::Compressor::Compressor(void),method,nvtt,Compressor,Compressor,void,False,False,False,False,False,False,True
3,2,0x2,??0CubeSurface@nvtt@@QEAA@AEBU01@@Z,public: __cdecl nvtt::CubeSurface::CubeSurface(struct nvtt::CubeSurface const &),method,nvtt,CubeSurface,CubeSurface,struct nvtt::CubeSurface const &,False,False,False,False,False,False,True
4,3,0x3,??0CubeSurface@nvtt@@QEAA@XZ,public: __cdecl nvtt::CubeSurface::CubeSurface(void),method,nvtt,CubeSurface,CubeSurface,void,False,False,False,False,False,False,True
5,4,0x4,??0InputOptions@nvtt@@QEAA@XZ,public: __cdecl nvtt::InputOptions::InputOptions(void),method,nvtt,InputOptions,InputOptions,void,False,False,False,False,False,False,True
6,5,0x5,??0OutputOptions@nvtt@@QEAA@XZ,public: __cdecl nvtt::OutputOptions::OutputOptions(void),method,nvtt,OutputOptions,OutputOptions,void,False,False,False,False,False,False,True
7,6,0x6,??0Surface@nvtt@@QEAA@AEBU01@@Z,public: __cdecl nvtt::Surface::Surface(struct nvtt::Surface const &),method,nvtt,Surface,Surface,struct nvtt::Surface const &,False,False,False,False,False,False,True
8,7,0x7,??0Surface@nvtt@@QEAA@XZ,public: __cdecl nvtt::Surface::Surface(void),method,nvtt,Surface,Surface,void,False,False,False,False,False,False,True
9,8,0x8,??1CompressionOptions@nvtt@@QEAA@XZ,public: __cdecl nvtt::CompressionOptions::~CompressionOptions(void),method,nvtt,CompressionOptions,~CompressionOptions,void,False,False,False,False,False,False,True
10,9,0x9,??1Compressor@nvtt@@QEAA@XZ,public: __cdecl nvtt::Compressor::~Compressor(void),method,nvtt,Compressor,~Compressor,void,False,False,False,False,False,False,True
11,10,0xA,??1CubeSurface@nvtt@@QEAA@XZ,public: __cdecl nvtt::CubeSurface::~CubeSurface(void),method,nvtt,CubeSurface,~CubeSurface,void,False,False,False,False,False,False,True
12,11,0xB,??1InputOptions@nvtt@@QEAA@XZ,public: __cdecl nvtt::InputOptions::~InputOptions(void),method,nvtt,InputOptions,~InputOptions,void,False,False,False,False,False,False,True
13,12,0xC,??1OutputOptions@nvtt@@QEAA@XZ,public: __cdecl nvtt::OutputOptions::~OutputOptions(void),method,nvtt,OutputOptions,~OutputOptions,void,False,False,False,False,False,False,True
14,13,0xD,??1Surface@nvtt@@QEAA@XZ,public: __cdecl nvtt::Surface::~Surface(void),method,nvtt,Surface,~Surface,void,False,False,False,False,False,False,True
15,14,0xE,??4CubeSurface@nvtt@@QEAAXAEBU01@@Z,public: void __cdecl nvtt::CubeSurface::operator=(struct nvtt::CubeSurface const &),symbol,,,,,False,False,False,False,False,False,True
16,15,0xF,??4Surface@nvtt@@QEAAXAEBU01@@Z,public: void __cdecl nvtt::Surface::operator=(struct nvtt::Surface const &),symbol,,,,,False,False,False,False,False,False,True
17,16,0x10,?abs@Surface@nvtt@@QEAAXH@Z,public: void __cdecl nvtt::Surface::abs(int),method,nvtt,Surface,abs,int,False,False,False,False,False,False,True
18,17,0x11,?addChannel@Surface@nvtt@@QEAA_NAEBU12@HHM@Z,"public: bool __cdecl nvtt::Surface::addChannel(struct nvtt::Surface const &, int, int, float)",method,nvtt,Surface,addChannel,"struct nvtt::Surface const &, int, int, float",False,False,False,False,False,False,True
19,18,0x12,?alphaMode@Surface@nvtt@@QEBA?AW4AlphaMode@2@XZ,public: enum nvtt::AlphaMode __cdecl nvtt::Surface::alphaMode(void) const,method,nvtt,Surface,alphaMode,void,True,False,False,False,False,False,True
20,19,0x13,?alphaTestCoverage@Surface@nvtt@@QEBAMMH@Z,"public: float __cdecl nvtt::Surface::alphaTestCoverage(float, int) const",method,nvtt,Surface,alphaTestCoverage,"float, int",True,False,False,False,False,False,True
21,20,0x14,?angularError@nvtt@@YAMAEBUSurface@1@0@Z,"float __cdecl nvtt::angularError(struct nvtt::Surface const &, struct nvtt::Surface const &)",method,,nvtt,angularError,"struct nvtt::Surface const &, struct nvtt::Surface const &",False,False,False,False,False,False,True
22,21,0x15,?average@CubeSurface@nvtt@@QEBAMH@Z,public: float __cdecl nvtt::CubeSurface::average(int) const,method,nvtt,CubeSurface,average,int,True,False,False,False,False,False,True
23,22,0x16,?average@Surface@nvtt@@QEBAMHHM@Z,"public: float __cdecl nvtt::Surface::average(int, int, float) const",method,nvtt,Surface,average,"int, int, float",True,False,False,False,False,False,True
24,23,0x17,?binarize@Surface@nvtt@@QEAAXHM_N@Z,"public: void __cdecl nvtt::Surface::binarize(int, float, bool)",method,nvtt,Surface,binarize,"int, float, bool",False,False,False,False,False,False,True
25,24,0x18,?blend@Surface@nvtt@@QEAAXMMMMM@Z,"public: void __cdecl nvtt::Surface::blend(float, float, float, float, float)",method,nvtt,Surface,blend,"float, float, float, float, float",False,False,False,False,False,False,True
26,25,0x19,?blockScaleCoCg@Surface@nvtt@@QEAAXHM@Z,"public: void __cdecl nvtt::Surface::blockScaleCoCg(int, float)",method,nvtt,Surface,blockScaleCoCg,"int, float",False,False,False,False,False,False,True
27,26,0x1A,?buildNextMipmap@Surface@nvtt@@QEAA_NW4MipmapFilter@2@H@Z,"public: bool __cdecl nvtt::Surface::buildNextMipmap(enum nvtt::MipmapFilter, int)",method,nvtt,Surface,buildNextMipmap,"enum nvtt::MipmapFilter, int",False,False,False,False,False,False,True
28,27,0x1B,?buildNextMipmap@Surface@nvtt@@QEAA_NW4MipmapFilter@2@MPEBMH@Z,"public: bool __cdecl nvtt::Surface::buildNextMipmap(enum nvtt::MipmapFilter, float, float const *, int)",method,nvtt,Surface,buildNextMipmap,"enum nvtt::MipmapFilter, float, float const *, int",False,False,False,False,False,False,True
29,28,0x1C,?buildNextMipmapSolidColor@Surface@nvtt@@QEAA_NQEBM@Z,public: bool __cdecl nvtt::Surface::buildNextMipmapSolidColor(float const *const),method,nvtt,Surface,buildNextMipmapSolidColor,float const *const,False,False,False,False,False,False,True
30,29,0x1D,?canMakeNextMipmap@Surface@nvtt@@QEAA_NH@Z,public: bool __cdecl nvtt::Surface::canMakeNextMipmap(int),method,nvtt,Surface,canMakeNextMipmap,int,False,False,False,False,False,False,True
31,30,0x1E,?canvasSize@Surface@nvtt@@QEAAXHHH@Z,"public: void __cdecl nvtt::Surface::canvasSize(int, int, int)",method,nvtt,Surface,canvasSize,"int, int, int",False,False,False,False,False,False,True
