ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,??0History@offshore@@QEAA@XZ,public: __cdecl offshore::History::History(void),method,offshore,History,History,void,False,False,False,False,False,False,True
2,1,0x1,??0Mesh@offshore@@QEAA@XZ,public: __cdecl offshore::Mesh::Mesh(void),method,offshore,Mesh,Mesh,void,False,False,False,False,False,False,True
3,2,0x2,??0MeshTreeNode@MeshesTree@offshore@@QEAA@AEBUMesh@2@@Z,public: __cdecl offshore::MeshesTree::MeshTreeNode::MeshTreeNode(struct offshore::Mesh const &),method,offshore::MeshesTree,MeshTreeNode,MeshTreeNode,struct offshore::Mesh const &,False,False,False,False,False,False,True
4,3,0x3,??0MeshTreeNode@MeshesTree@offshore@@QEAA@XZ,public: __cdecl offshore::MeshesTree::MeshTreeNode::MeshTreeNode(void),method,offshore::MeshesTree,MeshTreeNode,MeshTreeNode,void,False,False,False,False,False,False,True
5,4,0x4,??0Remap@offshore@@QEAA@AEBV?$vector@HV?$allocator@H@ed@@@ed@@@Z,"public: __cdecl offshore::Remap::Remap(class ed::vector<int, class ed::allocator<int>> const &)",method,offshore,Remap,Remap,"class ed::vector<int, class ed::allocator<int>> const &",False,False,False,False,False,False,True
6,5,0x5,??0RoughCutInSplines@offshore@@QEAA@AEAUMesh@1@N@Z,"public: __cdecl offshore::RoughCutInSplines::RoughCutInSplines(struct offshore::Mesh &, double)",method,offshore,RoughCutInSplines,RoughCutInSplines,"struct offshore::Mesh &, double",False,False,False,False,False,False,True
7,6,0x6,??0Scene@offshore@@QEAA@_N@Z,public: __cdecl offshore::Scene::Scene(bool),method,offshore,Scene,Scene,bool,False,False,False,False,False,False,True
8,7,0x7,??0SegmentSpline@offshore@@QEAA@AEBUSpline@1@@Z,public: __cdecl offshore::SegmentSpline::SegmentSpline(struct offshore::Spline const &),method,offshore,SegmentSpline,SegmentSpline,struct offshore::Spline const &,False,False,False,False,False,False,True
9,8,0x8,??0SimpleLaplacianDeform@offshore@@QEAA@XZ,public: __cdecl offshore::SimpleLaplacianDeform::SimpleLaplacianDeform(void),method,offshore,SimpleLaplacianDeform,SimpleLaplacianDeform,void,False,False,False,False,False,False,True
10,9,0x9,??0Spline@offshore@@QEAA@AEBV?$vector@VVec3d@osg@@V?$allocator@VVec3d@osg@@@ed@@@ed@@@Z,"public: __cdecl offshore::Spline::Spline(class ed::vector<class osg::Vec3d, class ed::allocator<class osg::Vec3d>> const &)",method,offshore,Spline,Spline,"class ed::vector<class osg::Vec3d, class ed::allocator<class osg::Vec3d>> const &",False,False,False,False,False,False,True
11,10,0xA,??0Spline@offshore@@QEAA@AEBVVec3d@osg@@0@Z,"public: __cdecl offshore::Spline::Spline(class osg::Vec3d const &, class osg::Vec3d const &)",method,offshore,Spline,Spline,"class osg::Vec3d const &, class osg::Vec3d const &",False,False,False,False,False,False,True
12,11,0xB,??0Spline@offshore@@QEAA@H@Z,public: __cdecl offshore::Spline::Spline(int),method,offshore,Spline,Spline,int,False,False,False,False,False,False,True
13,12,0xC,??0TreeNode@offshore@@QEAA@HHAEBV?$basic_string@D@ed@@0H_K@Z,"public: __cdecl offshore::TreeNode::TreeNode(int, int, class ed::basic_string<char> const &, class ed::basic_string<char> const &, int, unsigned __int64)",method,offshore,TreeNode,TreeNode,"int, int, class ed::basic_string<char> const &, class ed::basic_string<char> const &, int, unsigned __int64",False,False,False,False,False,False,True
14,13,0xD,??0TreeNode@offshore@@QEAA@HHPEBD0H_K@Z,"public: __cdecl offshore::TreeNode::TreeNode(int, int, char const *, char const *, int, unsigned __int64)",method,offshore,TreeNode,TreeNode,"int, int, char const *, char const *, int, unsigned __int64",False,False,False,False,False,False,True
15,14,0xE,??0TreeNode@offshore@@QEAA@XZ,public: __cdecl offshore::TreeNode::TreeNode(void),method,offshore,TreeNode,TreeNode,void,False,False,False,False,False,False,True
16,15,0xF,??0uvSet@offshore@@QEAA@AEBV?$basic_string@D@ed@@AEBV?$vector@HV?$allocator@H@ed@@@3@@Z,"public: __cdecl offshore::uvSet::uvSet(class ed::basic_string<char> const &, class ed::vector<int, class ed::allocator<int>> const &)",method,offshore,uvSet,uvSet,"class ed::basic_string<char> const &, class ed::vector<int, class ed::allocator<int>> const &",False,False,False,False,False,False,True
17,16,0x10,??0uvSet@offshore@@QEAA@AEBV?$basic_string@D@ed@@AEBV?$vector@IV?$allocator@I@ed@@@3@@Z,"public: __cdecl offshore::uvSet::uvSet(class ed::basic_string<char> const &, class ed::vector<unsigned int, class ed::allocator<unsigned int>> const &)",method,offshore,uvSet,uvSet,"class ed::basic_string<char> const &, class ed::vector<unsigned int, class ed::allocator<unsigned int>> const &",False,False,False,False,False,False,True
18,17,0x11,??0uvSet@offshore@@QEAA@AEBV?$basic_string@D@ed@@AEBV?$vector@MV?$allocator@M@ed@@@3@@Z,"public: __cdecl offshore::uvSet::uvSet(class ed::basic_string<char> const &, class ed::vector<float, class ed::allocator<float>> const &)",method,offshore,uvSet,uvSet,"class ed::basic_string<char> const &, class ed::vector<float, class ed::allocator<float>> const &",False,False,False,False,False,False,True
19,18,0x12,??0uvSet@offshore@@QEAA@AEBV?$basic_string@D@ed@@AEBV?$vector@NV?$allocator@N@ed@@@3@@Z,"public: __cdecl offshore::uvSet::uvSet(class ed::basic_string<char> const &, class ed::vector<double, class ed::allocator<double>> const &)",method,offshore,uvSet,uvSet,"class ed::basic_string<char> const &, class ed::vector<double, class ed::allocator<double>> const &",False,False,False,False,False,False,True
20,19,0x13,??0uvSet@offshore@@QEAA@AEBV?$basic_string@D@ed@@AEBV?$vector@VVec2d@osg@@V?$allocator@VVec2d@osg@@@ed@@@3@@Z,"public: __cdecl offshore::uvSet::uvSet(class ed::basic_string<char> const &, class ed::vector<class osg::Vec2d, class ed::allocator<class osg::Vec2d>> const &)",method,offshore,uvSet,uvSet,"class ed::basic_string<char> const &, class ed::vector<class osg::Vec2d, class ed::allocator<class osg::Vec2d>> const &",False,False,False,False,False,False,True
21,20,0x14,??0uvSet@offshore@@QEAA@AEBV?$basic_string@D@ed@@AEBV?$vector@VVec2i@osg@@V?$allocator@VVec2i@osg@@@ed@@@3@@Z,"public: __cdecl offshore::uvSet::uvSet(class ed::basic_string<char> const &, class ed::vector<class osg::Vec2i, class ed::allocator<class osg::Vec2i>> const &)",method,offshore,uvSet,uvSet,"class ed::basic_string<char> const &, class ed::vector<class osg::Vec2i, class ed::allocator<class osg::Vec2i>> const &",False,False,False,False,False,False,True
22,21,0x15,??0uvSet@offshore@@QEAA@AEBV?$basic_string@D@ed@@AEBV?$vector@VVec3d@osg@@V?$allocator@VVec3d@osg@@@ed@@@3@@Z,"public: __cdecl offshore::uvSet::uvSet(class ed::basic_string<char> const &, class ed::vector<class osg::Vec3d, class ed::allocator<class osg::Vec3d>> const &)",method,offshore,uvSet,uvSet,"class ed::basic_string<char> const &, class ed::vector<class osg::Vec3d, class ed::allocator<class osg::Vec3d>> const &",False,False,False,False,False,False,True
23,22,0x16,??0uvSet@offshore@@QEAA@AEBV?$basic_string@D@ed@@AEBV?$vector@VVec3i@osg@@V?$allocator@VVec3i@osg@@@ed@@@3@@Z,"public: __cdecl offshore::uvSet::uvSet(class ed::basic_string<char> const &, class ed::vector<class osg::Vec3i, class ed::allocator<class osg::Vec3i>> const &)",method,offshore,uvSet,uvSet,"class ed::basic_string<char> const &, class ed::vector<class osg::Vec3i, class ed::allocator<class osg::Vec3i>> const &",False,False,False,False,False,False,True
24,23,0x17,??0uvSet@offshore@@QEAA@AEBV?$basic_string@D@ed@@AEBV?$vector@VVec4d@osg@@V?$allocator@VVec4d@osg@@@ed@@@3@@Z,"public: __cdecl offshore::uvSet::uvSet(class ed::basic_string<char> const &, class ed::vector<class osg::Vec4d, class ed::allocator<class osg::Vec4d>> const &)",method,offshore,uvSet,uvSet,"class ed::basic_string<char> const &, class ed::vector<class osg::Vec4d, class ed::allocator<class osg::Vec4d>> const &",False,False,False,False,False,False,True
