ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,ogg_packet_clear,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,ogg_page_bos,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,ogg_page_checksum_set,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,ogg_page_continued,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,ogg_page_eos,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,ogg_page_granulepos,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,ogg_page_packets,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,ogg_page_pageno,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,ogg_page_serialno,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,ogg_page_version,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,ogg_stream_clear,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,ogg_stream_destroy,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,ogg_stream_eos,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,ogg_stream_flush,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,ogg_stream_init,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,ogg_stream_packetin,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,ogg_stream_packetout,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,ogg_stream_packetpeek,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,ogg_stream_pagein,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,ogg_stream_pageout,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,ogg_stream_reset,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,ogg_stream_reset_serialno,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,ogg_sync_buffer,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,ogg_sync_clear,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,ogg_sync_destroy,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,ogg_sync_init,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,ogg_sync_pageout,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,ogg_sync_pageseek,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,ogg_sync_reset,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,ogg_sync_wrote,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,oggpackB_adv,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,oggpackB_adv1,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,oggpackB_bits,,unknown,,,,,False,False,False,False,False,False,False
34,33,0x21,oggpackB_bytes,,unknown,,,,,False,False,False,False,False,False,False
35,34,0x22,oggpackB_get_buffer,,unknown,,,,,False,False,False,False,False,False,False
36,35,0x23,oggpackB_look,,unknown,,,,,False,False,False,False,False,False,False
37,36,0x24,oggpackB_look1,,unknown,,,,,False,False,False,False,False,False,False
38,37,0x25,oggpackB_read,,unknown,,,,,False,False,False,False,False,False,False
39,38,0x26,oggpackB_read1,,unknown,,,,,False,False,False,False,False,False,False
40,39,0x27,oggpackB_readinit,,unknown,,,,,False,False,False,False,False,False,False
41,40,0x28,oggpackB_reset,,unknown,,,,,False,False,False,False,False,False,False
42,41,0x29,oggpackB_write,,unknown,,,,,False,False,False,False,False,False,False
43,42,0x2A,oggpackB_writealign,,unknown,,,,,False,False,False,False,False,False,False
44,43,0x2B,oggpackB_writeclear,,unknown,,,,,False,False,False,False,False,False,False
45,44,0x2C,oggpackB_writecopy,,unknown,,,,,False,False,False,False,False,False,False
46,45,0x2D,oggpackB_writeinit,,unknown,,,,,False,False,False,False,False,False,False
47,46,0x2E,oggpackB_writetrunc,,unknown,,,,,False,False,False,False,False,False,False
48,47,0x2F,oggpack_adv,,unknown,,,,,False,False,False,False,False,False,False
49,48,0x30,oggpack_adv1,,unknown,,,,,False,False,False,False,False,False,False
50,49,0x31,oggpack_bits,,unknown,,,,,False,False,False,False,False,False,False
51,50,0x32,oggpack_bytes,,unknown,,,,,False,False,False,False,False,False,False
52,51,0x33,oggpack_get_buffer,,unknown,,,,,False,False,False,False,False,False,False
53,52,0x34,oggpack_look,,unknown,,,,,False,False,False,False,False,False,False
54,53,0x35,oggpack_look1,,unknown,,,,,False,False,False,False,False,False,False
55,54,0x36,oggpack_read,,unknown,,,,,False,False,False,False,False,False,False
56,55,0x37,oggpack_read1,,unknown,,,,,False,False,False,False,False,False,False
57,56,0x38,oggpack_readinit,,unknown,,,,,False,False,False,False,False,False,False
58,57,0x39,oggpack_reset,,unknown,,,,,False,False,False,False,False,False,False
59,58,0x3A,oggpack_write,,unknown,,,,,False,False,False,False,False,False,False
60,59,0x3B,oggpack_writealign,,unknown,,,,,False,False,False,False,False,False,False
61,60,0x3C,oggpack_writeclear,,unknown,,,,,False,False,False,False,False,False,False
62,61,0x3D,oggpack_writecopy,,unknown,,,,,False,False,False,False,False,False,False
63,62,0x3E,oggpack_writeinit,,unknown,,,,,False,False,False,False,False,False,False
64,63,0x3F,oggpack_writetrunc,,unknown,,,,,False,False,False,False,False,False,False
