ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,LiquidVR,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,VRCompositorSystemInternal,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,VRControlPanel,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,VRDashboardManager,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,VROculusDirect,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,VROverlayView,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,VRPaths,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,VRRenderModelsInternal,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,VRSceneGraph,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,VRTrackedCameraInternal,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,VRVirtualDisplay,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,VR_GetGenericInterface,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,VR_GetInitToken,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,VR_GetStringForHmdError,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,VR_GetVRInitErrorAsEnglishDescription,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,VR_GetVRInitErrorAsSymbol,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,VR_InitInternal,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,VR_InitInternal2,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,VR_IsHmdPresent,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,VR_IsInterfaceVersionValid,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,VR_IsRuntimeInstalled,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,VR_RuntimePath,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,VR_ShutdownInternal,,unknown,,,,,False,False,False,False,False,False,False
