ordinal,rva,rva_hex,name,demangled,symbol_type,namespace,class_name,function_name,parameters,const,static,virtual,is_vftable,is_vbtable,is_rtti,demangle_ok
1,0,0x0,png_access_version_number,,unknown,,,,,False,False,False,False,False,False,False
2,1,0x1,png_benign_error,,unknown,,,,,False,False,False,False,False,False,False
3,2,0x2,png_build_grayscale_palette,,unknown,,,,,False,False,False,False,False,False,False
4,3,0x3,png_calloc,,unknown,,,,,False,False,False,False,False,False,False
5,4,0x4,png_chunk_benign_error,,unknown,,,,,False,False,False,False,False,False,False
6,5,0x5,png_chunk_error,,unknown,,,,,False,False,False,False,False,False,False
7,6,0x6,png_chunk_warning,,unknown,,,,,False,False,False,False,False,False,False
8,7,0x7,png_convert_from_struct_tm,,unknown,,,,,False,False,False,False,False,False,False
9,8,0x8,png_convert_from_time_t,,unknown,,,,,False,False,False,False,False,False,False
10,9,0x9,png_convert_to_rfc1123,,unknown,,,,,False,False,False,False,False,False,False
11,10,0xA,png_convert_to_rfc1123_buffer,,unknown,,,,,False,False,False,False,False,False,False
12,11,0xB,png_create_info_struct,,unknown,,,,,False,False,False,False,False,False,False
13,12,0xC,png_create_read_struct,,unknown,,,,,False,False,False,False,False,False,False
14,13,0xD,png_create_read_struct_2,,unknown,,,,,False,False,False,False,False,False,False
15,14,0xE,png_create_write_struct,,unknown,,,,,False,False,False,False,False,False,False
16,15,0xF,png_create_write_struct_2,,unknown,,,,,False,False,False,False,False,False,False
17,16,0x10,png_data_freer,,unknown,,,,,False,False,False,False,False,False,False
18,17,0x11,png_destroy_info_struct,,unknown,,,,,False,False,False,False,False,False,False
19,18,0x12,png_destroy_read_struct,,unknown,,,,,False,False,False,False,False,False,False
20,19,0x13,png_destroy_write_struct,,unknown,,,,,False,False,False,False,False,False,False
21,20,0x14,png_error,,unknown,,,,,False,False,False,False,False,False,False
22,21,0x15,png_free,,unknown,,,,,False,False,False,False,False,False,False
23,22,0x16,png_free_data,,unknown,,,,,False,False,False,False,False,False,False
24,23,0x17,png_free_default,,unknown,,,,,False,False,False,False,False,False,False
25,24,0x18,png_get_IHDR,,unknown,,,,,False,False,False,False,False,False,False
26,25,0x19,png_get_PLTE,,unknown,,,,,False,False,False,False,False,False,False
27,26,0x1A,png_get_bKGD,,unknown,,,,,False,False,False,False,False,False,False
28,27,0x1B,png_get_bit_depth,,unknown,,,,,False,False,False,False,False,False,False
29,28,0x1C,png_get_cHRM,,unknown,,,,,False,False,False,False,False,False,False
30,29,0x1D,png_get_cHRM_XYZ,,unknown,,,,,False,False,False,False,False,False,False
31,30,0x1E,png_get_cHRM_XYZ_fixed,,unknown,,,,,False,False,False,False,False,False,False
32,31,0x1F,png_get_cHRM_fixed,,unknown,,,,,False,False,False,False,False,False,False
33,32,0x20,png_get_channels,,unknown,,,,,False,False,False,False,False,False,False
34,33,0x21,png_get_chunk_cache_max,,unknown,,,,,False,False,False,False,False,False,False
35,34,0x22,png_get_chunk_malloc_max,,unknown,,,,,False,False,False,False,False,False,False
36,35,0x23,png_get_color_type,,unknown,,,,,False,False,False,False,False,False,False
37,36,0x24,png_get_compression_buffer_size,,unknown,,,,,False,False,False,False,False,False,False
38,37,0x25,png_get_compression_type,,unknown,,,,,False,False,False,False,False,False,False
39,38,0x26,png_get_copyright,,unknown,,,,,False,False,False,False,False,False,False
40,39,0x27,png_get_current_pass_number,,unknown,,,,,False,False,False,False,False,False,False
41,40,0x28,png_get_current_row_number,,unknown,,,,,False,False,False,False,False,False,False
42,41,0x29,png_get_error_ptr,,unknown,,,,,False,False,False,False,False,False,False
43,42,0x2A,png_get_filter_type,,unknown,,,,,False,False,False,False,False,False,False
44,43,0x2B,png_get_gAMA,,unknown,,,,,False,False,False,False,False,False,False
45,44,0x2C,png_get_gAMA_fixed,,unknown,,,,,False,False,False,False,False,False,False
